date,strat_ret,bench_ret,mom12_ret,pi,year
2011-01-31,0.039578679799069025,0.04436762738888236,0.04083109198003728,0.24499294106336933,2011
2011-02-28,-0.059101018307889476,-0.07512230348113189,-0.06572812237632181,0.012737509985927358,2011
2011-03-31,-0.02797269067818573,-0.015448548052071773,0.01970948617402463,0.05139743867371603,2011
2011-04-30,-0.014444106542029328,-0.011908720821994151,-0.03670886506209669,0.05179457613258245,2011
2011-05-31,0.027291006258875396,0.011583104390491625,0.01135449740318587,0.09964246258176916,2011
2011-06-30,0.005065816856538751,-0.008955498779358488,0.01491997066118081,0.07000820817155344,2011
2011-07-31,-0.05232367755881575,-0.0806103356463155,-0.07949821169710863,0.08892841886704093,2011
2011-08-31,-0.05838774980133782,0.00033660963649603456,-0.05770070998292751,0.9710712792843925,2011
2011-09-30,-0.007918492875490282,0.003860647301572654,0.04221983567660615,0.9995036365940542,2011
2011-10-31,-0.02743367917382365,-0.04703783235894583,-0.06645008966544644,0.9995938890423233,2011
2011-11-30,0.013784108335160696,0.0033044801824951924,0.012844885309362421,0.9999942946271073,2011
2011-12-31,0.037276736433486814,0.030062231580825848,-0.0030944386290828445,0.9999908574962609,2011
2012-01-31,0.19193307205738644,0.10406022092857466,0.06100411478526259,0.9995027802585242,2012
2012-02-29,0.059270868704817604,0.034685904321549534,0.05884894618480779,0.24738174124656567,2012
2012-03-31,-0.06712843405205911,-0.055585481409203684,-0.039534791326973254,0.008260913915206398,2012
2012-04-30,-0.14034447122703883,-0.10082298078539087,-0.06515511987901598,0.006194691168013099,2012
2012-05-31,0.06956880102248708,0.06752382183886294,0.0517653421205213,0.6688909781013146,2012
2012-06-30,0.013259846632969939,-0.03922684801822562,0.022400476321665686,0.41932078704534065,2012
2012-07-31,0.018302626030283656,-0.0018709677769742049,0.006005563893407991,0.7490134456056619,2012
2012-08-31,0.03011076850820467,0.018093449149053323,0.021655501026691164,0.9232665662854115,2012
2012-09-30,-0.017618238884444925,0.006103066598712927,-0.010185439785354782,0.9128800826003726,2012
2012-10-31,0.06382892221464792,0.05026680375906324,0.052886619375039086,0.8732488575796477,2012
2012-11-30,0.1656519088167532,0.09294562696381788,0.040552408477352545,0.3335039408813186,2012
2012-12-31,0.09207247423623716,0.09498091617403248,0.11262345174230783,0.011548659690416508,2012
2013-01-31,0.04360688636484071,0.04094252312125263,0.0649662775153364,0.002039842756385434,2013
2013-02-28,0.10909642235031317,0.07520232026583828,0.1296083595911031,0.0018997123701534574,2013
2013-03-31,0.2433008863039091,0.12598060245719966,0.24395831378736468,0.001896595337498401,2013
2013-04-30,-0.055155694461788626,-0.025610729512917655,-0.0349969655775186,0.0018965259215197488,2013
2013-05-31,-0.0008011920156993397,5.499147288619234e-05,-0.03505261338652231,0.0028518237217158215,2013
2013-06-30,0.008428030537024246,-0.0018646504490491928,0.006951884872356203,0.0032092961433589228,2013
2013-07-31,-0.021512155163891676,-0.022983786014623628,-0.07348942785267813,0.003142404674558218,2013
2013-08-31,0.09385425423460081,0.086761879429914,0.1386581437420418,0.0059563801876896805,2013
2013-09-30,-0.01668095960706931,-0.001082143076071192,-0.033157906661822424,0.0019865903300394054,2013
2013-10-31,0.02869191126961931,0.054223041663107395,0.08261079946590144,0.0019149627510426203,2013
2013-11-30,0.035366042368891876,0.03529486214698017,0.06362534637062255,0.0018969317274706765,2013
2013-12-31,-0.09143019151178307,-0.060888745119518764,-0.09851248247010268,0.0018965333507993084,2013
2014-01-31,0.007460898654284887,-0.004686649110229374,-0.022367423780059497,0.008851253696682578,2014
2014-02-28,-0.01947575765750765,-0.00032958711137887,-0.005690894861013078,0.012587338277203366,2014
2014-03-31,-0.04196822048881661,-0.03247582113871068,-0.05807870881176145,0.012578615478270647,2014
2014-04-30,0.029705382984009543,0.03504384097901551,0.02387655423814763,0.058002187883079814,2014
2014-05-31,0.0571044676234998,0.05008862873305534,0.06401551064316852,0.01826118255863967,2014
2014-06-30,0.03690711300169462,0.021938843875165443,0.050151304077395646,0.0032298266102419775,2014
2014-07-31,0.006797832347238347,-0.009943045453295012,0.014111265974726476,0.0024580904590016783,2014
2014-08-31,0.07469094745407785,0.04382044514935684,0.018050854511239302,0.002597644401130554,2014
