date,strat_ret,bench_ret,mom12_ret,pi,year
2011-01-31,0.0527744778011593,0.02476868243078025,0.08802063254946524,0.0060412338600322295,2011
2011-02-28,-0.020961394258098672,-0.013159737221687427,-0.014544502639226058,0.006051604891787887,2011
2011-03-31,0.027248687338258328,0.030222900475314195,0.08737229428679152,0.00910298095600838,2011
2011-04-30,0.021250585504238667,-0.0054883402966335254,-0.01925296321635487,0.006219588729378738,2011
2011-05-31,-0.0006501910558071745,-0.004893847789382376,0.015278100432695677,0.006156768167291014,2011
2011-06-30,-0.052774777747100744,-0.021556461481787047,0.004729774609291242,0.007770388398980454,2011
2011-07-31,-0.12863939389908394,-0.06929478819861715,-0.08157785871646776,0.11194921017541336,2011
2011-08-31,-0.0785545422313348,-0.04393020572761163,-0.10146976745388307,0.9999999999997522,2011
2011-09-30,0.08117433720677292,0.07649681814448202,0.07558401680771415,1.0,2011
2011-10-31,-0.013130455274523532,-0.006143791358150457,0.01289354607402118,0.9999999916152007,2011
2011-11-30,-0.027734348784370623,0.008716246745443558,-0.019324680190134464,0.9999999998079813,2011
2011-12-31,0.15075294942966758,0.024560978908163316,0.026461125633196633,0.9999999920003052,2011
2012-01-31,0.057221296994897544,0.04190189016221839,0.07030116923553661,0.9997645854848076,2012
2012-02-29,-0.02731840387056243,-0.007309887465983963,0.0048623041246202686,0.3602234397058702,2012
2012-03-31,-0.05427701808358321,-0.006278375741256378,0.02666442414105687,0.06791135453079031,2012
2012-04-30,-0.1501160027178874,-0.06270508272401246,-0.017305777284938012,0.02097504001665008,2012
2012-05-31,0.05827807184316979,0.05274196503032822,0.010066423607714179,0.9999999343370726,2012
2012-06-30,0.04584262026875695,0.011475239792337178,0.008207229224915485,0.905712964044083,2012
2012-07-31,-0.003154185550555047,0.01887136177891945,0.011975241447748562,0.3379482487155869,2012
2012-08-31,0.06982180835378797,0.010701003287785185,0.02456154064148487,0.030689222485241557,2012
2012-09-30,0.046118666289640564,0.011122668356040585,0.04136888711789897,0.0076141273377506695,2012
2012-10-31,0.06037511048490648,0.02000673853671079,0.021987261824758898,0.006327673595153968,2012
2012-11-30,-0.0060572444650562,0.009071951292102705,0.023381177097021637,0.006257400633941299,2012
2012-12-31,0.06171914633626077,0.06282643211792736,0.05816811265783659,0.00625356610027834,2012
2013-01-31,0.050877852226055176,0.02389913119497337,0.059302823983608935,0.006573037353142074,2013
2013-02-28,-0.030811146063404796,0.013481897133992865,-0.015006652494233198,0.006573026936095306,2013
2013-03-31,0.0016129398344267363,0.01102152574993431,0.057567130517704346,0.006573026369527607,2013
2013-04-30,0.059499850428875636,0.02481974783320329,0.0660647157984719,0.006573026338711998,2013
2013-05-31,-0.02125505273957478,-0.0485076415674453,-0.06975143840178774,0.006573026337035892,2013
2013-06-30,0.07933304124493933,0.06680079029912658,0.08733322539247876,0.9590539053536306,2013
2013-07-31,-0.005877099413211382,-0.02709117598670723,-0.008865370977620576,0.23755597363927347,2013
2013-08-31,0.02938660874392568,0.008476888604486178,0.029830796432268138,0.12268316930200962,2013
2013-09-30,0.051844888685611615,0.03983734851332053,0.055872044792846104,0.021209395712667143,2013
2013-10-31,0.02480069010800237,-0.010987226272471794,0.0069049681445954485,0.007378555610473938,2013
2013-11-30,0.04569216214772073,0.018144485733177132,0.031236176879722816,0.007119343273521912,2013
2013-12-31,-0.02264271169414172,-0.03138474893825345,0.023484597996976015,0.00660274689497943,2013
2014-01-31,0.06397404910869661,0.051063507223396074,0.06235421984762342,0.07164914603382148,2014
2014-02-28,-0.027606800621421655,-0.025658797810515634,-0.04761867633872761,0.01018299582890747,2014
2014-03-31,-0.00430853663569728,0.02207609094412359,-0.056559038970728885,0.05968906306332187,2014
2014-04-30,0.07462018540263615,0.021742459336376366,0.00559239370449627,0.013111033759319116,2014
2014-05-31,-0.0028244384088513177,-0.016411014687610703,-0.013835071388447407,0.006833852770750069,2014
2014-06-30,-0.03779302936187213,-0.007387999797956849,-0.029756992492583765,0.01420241088737369,2014
2014-07-31,0.04793623375895538,0.016294445951009765,0.030271424629535706,0.05733459748191985,2014
2014-08-31,-0.07012070574473528,-0.025491292142741054,-0.024042447081388967,0.010208214204378768,2014
2014-09-30,0.00023914253798524134,-0.00848344409286965,0.020221882247593678,0.29815855114994333,2014
2014-10-31,0.039186810858365326,0.03605167627154437,0.06974959862307423,0.9436786734320834,2014
2014-11-30,-0.028567424769169614,-0.01737240073363456,-0.010495067038376016,0.25110146889064017,2014
2014-12-31,0.05104843210244495,0.02897473245193301,0.026059095149369178,0.1094634586975705,2014
2015-01-31,0.008911092214784888,0.026125275607007163,-0.0012556341368842629,0.006662994063937702,2015
