strategy,to_mo,gross_ir,cost_bp_mo,net_ir_spread,net_ann_active,d_vs_mom_band40_CI
"pi_band(30,15)",0.557,0.315,2.093,0.29,0.028,"[-0.024,+0.060]"
panic_no_sell,0.545,0.277,1.976,0.253,0.025,"[-0.025,+0.061]"
calm_bench,0.269,0.195,1.002,0.174,0.01,"[-0.063,+0.046]"
pi_monthly,0.739,0.186,2.723,0.153,0.015,"[-0.041,+0.053]"
mom_band40,0.109,0.144,0.414,0.14,0.016,"[+0.000,+0.000]"
mom_band30,0.132,0.096,0.499,0.091,0.01,"[-0.016,+0.005]"
mom_monthly,0.315,0.065,1.163,0.053,0.006,"[-0.029,+0.007]"
