regime,entry,exit_rank,exit_univ,weight,months,active_earned_mo,traded_mo
calm,93.8443,91.8137,1.1467,12.0661,134,0.0004,1.4841
panic,34.5247,33.9851,0.4564,3.0399,45,0.0072,1.6001
