name,combo,sharpe,ann_ret,ann_vol,mdd,seed_mean,seed_std,stab_mean,stab_std,stab_min,stab_max,stability
DD+ADR+TERM,"['DD_z', 'ADR_z', 'TERM_z']",0.5713646444525637,0.10234546476821205,0.20738222930161668,-0.24157601773709655,0.6277495945419513,0.09072915340938578,0.6848056922920235,0.07176429207847224,0.5843940128416251,0.8021777753108597,STABLE
DD+VOL+CS,"['DD_z', 'VOL_z', 'CS_z']",0.692204094275422,0.1259745618580137,0.20015289509785147,-0.3612729431144452,0.6724126380512339,0.07746688228118571,0.4296095050591676,0.13114526205594348,0.19038604002548903,0.5684894991679178,MODERATE
DD+DISP+REL_N,"['DD_z', 'DISP_z', 'REL_N_z']",0.7703799847149945,0.1381879308166103,0.19205130490555272,-0.27528117309403943,0.7175058809144695,0.058861583897550876,0.7720635646896374,0.103474068099338,0.5764937789826985,0.8591735116461534,MODERATE
DD,['DD_z'],0.6823387314796981,0.11391711845827102,0.18217460850532788,-0.23672121471343746,0.6495999699135669,0.08645084179651313,0.6740239207096541,0.13767572473722023,0.5223787643449105,0.9257174583063003,MODERATE
DD+CS+TERM,"['DD_z', 'CS_z', 'TERM_z']",0.7483457093552495,0.14007590265294056,0.20291241490642406,-0.3873599177288649,0.6906021995201123,0.1268045047918377,0.6392700167100395,0.057200366312303554,0.5625832107811701,0.7149022810040325,STABLE
DD+VOL+DISP,"['DD_z', 'VOL_z', 'DISP_z']",0.5243053437961296,0.09171012997422912,0.20739789870652384,-0.24796629466567935,0.45882637944320875,0.09662749210929643,0.536107778849672,0.11339724339088064,0.35331673830838406,0.7012639559037983,MODERATE
DD+VOL+ADR,"['DD_z', 'VOL_z', 'ADR_z']",0.6259849789312019,0.11146173165250128,0.2005921055014331,-0.35294872009309275,0.52273926115223,0.05632482585990304,0.4906927365695147,0.18014248750135922,0.14921361225898663,0.6477307852613111,UNSTABLE
DD+ADR,"['DD_z', 'ADR_z']",0.5983507541050895,0.10443257478513712,0.19828883121815574,-0.2465059250955693,0.5831072239646871,0.07292773255857518,0.7111311598375638,0.14546301690931782,0.49493808924669,0.8437322009588712,MODERATE
DD+CS+ADR,"['DD_z', 'CS_z', 'ADR_z']",0.8541881489907328,0.16464482254608992,0.20245674633523647,-0.2958276540681363,0.8662509824815368,0.05974216716894502,0.7247892880491434,0.08637210952832018,0.5665449815850574,0.8275288693140892,STABLE
DD+TERM,"['DD_z', 'TERM_z']",0.9084088905044578,0.16439303972134067,0.18686914492951648,-0.2757719375037088,0.7694425799228659,0.047118543751683964,0.6864315517179204,0.08235999150289093,0.6107082110610872,0.8225621843138478,STABLE
