year,scope,n,mom_1,mom_2,mom_3,mom_4,mom_5,mom_6,mom_7,mom_8,mom_9,mom_10,mom_11,mom_12,pi
2011,overall,12000,15.557570153410692,12.729218361636901,12.001711150569468,34.10715801145739,12.126314696640303,10.571793280354054,12.376205281662795,22.24256309022689,10.417324264697163,15.955512364629842,76.69444265412076,49.59185306919698,98.96358612091569
2011,calm,7000,5.172733883924973,5.698783369807145,4.502672375070725,14.945080337384782,5.869036426322836,3.9836890017664452,3.558490421088332,11.158823515933294,4.211823903745879,6.688690671472365,47.146372190787694,30.893041519364456,56.023462357130875
2011,panic,5000,10.384836269485728,7.030434991829806,7.499038775498746,19.162077674072613,6.257278270317391,6.588104278587599,8.817714860574485,11.083739574293606,6.205500360951247,9.266821693157475,29.54807046333306,18.69881154983256,42.940123763784904
2011,long_leg,1200,2.5316652143904608,1.7165156728811635,2.06493033795627,5.188122821425161,2.233334247186499,1.4118137851251804,1.9541750899581969,3.8724121566806375,1.8359763227543546,1.7816960631740812,18.360952099365765,11.435457446746108,13.285012742303474
2012,overall,12000,9.993956841537868,13.531281383689397,6.796511724344685,25.062054083039005,10.096780758216937,9.300055048513569,9.786422587402653,19.465037316128324,8.94144150672645,28.470758510741558,55.4457546771986,43.79336606251812,217.53355133115969
2012,calm,9000,7.2751539015089675,9.669119449680778,5.016382747398697,17.282383787829158,7.433774392462475,7.047862949316144,6.297610698076165,13.598895859349255,6.300899266077857,18.803146841585686,43.025504013703156,32.636794797968115,159.628651403579
2012,panic,3000,2.718802940028878,3.8621619340085607,1.780128976945968,7.779670295209827,2.663006365754519,2.252192099197427,3.488811889326517,5.866141456779058,2.6405422406486005,9.667611669155994,12.420250663495601,11.156571264550175,57.904899927580196
2012,long_leg,1200,1.6565041004317378,2.2914881542604504,1.718641045011282,5.831480081145101,2.3643102019346633,1.6111899934950689,2.583424108884248,4.40516530341673,3.6189839386407225,8.34789274838022,11.934986274093333,10.70808688775295,23.36597400998603
2013,overall,12000,9.138088317658447,8.642654391351263,4.810374071696236,21.00419483031617,6.95599059727659,5.315580702068555,6.1571560913649055,14.900934556420964,6.4345437596503,17.53988677533075,76.65306711263098,51.12150224681758,117.43631007705551
2013,calm,12000,9.138088317658447,8.642654391351263,4.810374071696236,21.00419483031617,6.95599059727659,5.315580702068555,6.1571560913649055,14.900934556420964,6.4345437596503,17.53988677533075,76.65306711263098,51.12150224681758,117.43631007705551
2013,long_leg,1200,1.0839203375291695,1.1054695247357824,1.0209200822542146,3.2229673644538552,1.3323946673937521,0.694400271236893,1.0857123488186693,2.7065888759803807,1.3068825197357592,2.2753902689018997,14.562429714712696,9.56115763212164,13.434366094356085
