date,ret
2000-01-31,0.2560946976577451
2000-02-29,-0.12336945596023621
2000-03-31,0.10225987221344504
2000-04-28,-0.14695601100942576
2000-05-31,0.1600547037499852
2000-06-30,-0.015622054239733296
2000-07-31,0.09289787857924334
2000-08-31,-0.1510626395372811
2000-09-29,-0.17442883090492708
2000-10-31,-0.1992713205158067
2000-11-30,-0.11347220667531763
2000-12-29,0.15577971815795108
2001-01-31,-0.22404701486603548
2001-02-28,-0.06306477834197272
2001-03-30,0.10657038587063544
2001-04-30,-0.011063375326782898
2001-05-31,-0.03007823787568113
2001-06-29,-0.017918638125621986
2001-07-31,-0.013034496478890729
2001-08-31,-0.03362979864378399
2001-09-28,0.1126941771489384
2001-10-31,0.1640048560431535
2001-11-30,0.034598894940308024
2001-12-31,-0.01350030152398835
2002-01-31,-0.1011145490910508
2002-02-28,-0.026190868269077718
2002-03-28,-0.07861508214579636
2002-04-30,-0.03231750395819226
2002-05-31,-0.08694052202439098
2002-06-28,-0.029320669917209163
2002-07-31,-0.004945923767262909
2002-08-30,-0.07207566672804376
2002-09-30,0.07378431774591708
2002-10-31,0.2067737342309814
2002-11-29,-0.06069632461826324
2002-12-31,0.06553546863256536
2003-01-31,0.046169202463258695
2003-02-28,0.012279915676004217
2003-03-31,0.02704228065099431
2003-04-30,0.13450090453439967
2003-05-30,0.02882947715363097
2003-06-30,0.03448426001814232
2003-07-31,0.022927727036251882
2003-08-29,0.01409713437983802
2003-09-30,0.05839515720930074
2003-10-31,0.025234048599682347
2003-11-28,-0.0803418725799725
2003-12-31,0.04649556970602238
2004-01-30,-0.012522684099535619
2004-02-27,0.009008583195567407
2004-03-31,-0.09264840667612881
2004-04-30,0.07097951267725183
2004-05-28,0.018243344528357575
2004-06-30,-0.0799395003314713
2004-07-30,-0.018970464461303724
2004-08-31,0.07852286148422032
2004-09-30,0.014645696342365531
2004-10-29,0.06870100465821298
2004-11-30,-0.02452618605968275
2004-12-31,0.006736587656761341
2005-01-31,0.033925345906362044
2005-02-28,-0.00012756625902159407
2005-03-31,-0.06747030869231165
2005-04-29,0.04008245233204716
2005-05-31,0.05006990374521799
2005-06-30,0.047093818712893976
2005-07-29,0.03019666834262543
2005-08-31,0.051025390366211704
2005-09-30,-0.03583200014464719
2005-10-31,-0.0010295838608367094
2005-11-30,0.02852179305433262
2005-12-30,0.08981753878750828
2006-01-31,-0.07038999508935513
2006-02-28,0.03265018433027865
2006-03-31,-0.007196959322091865
2006-04-28,-0.07752808387886499
2006-05-31,0.009483152909463393
2006-06-30,-0.05396156187696377
2006-07-31,-0.026781024656821625
2006-08-31,-0.0286899468466386
2006-09-29,0.025378979863733067
2006-10-31,0.005353792997394211
2006-11-30,0.005305064295755955
2006-12-29,0.021552203158834538
2007-01-31,-0.0157967844498069
2007-02-28,0.03753003898929786
2007-03-30,-0.009217706806293371
2007-04-30,-0.0011705829744852081
2007-05-31,0.00460780001315036
2007-06-29,0.03957348468140671
2007-07-31,-0.016228772908186764
2007-08-31,0.05789066961468031
2007-09-28,0.061579807209264426
2007-10-31,-0.02187212294458464
2007-11-30,0.07094011706379891
2007-12-31,-0.12871677339300194
2008-01-31,0.028770594019312097
2008-02-29,0.0038990668359530608
2008-03-31,0.09200627110524773
2008-04-30,-0.04423724427118964
2008-05-30,0.028115115062081933
2008-06-30,-0.0753324587605946
2008-07-31,-0.059826708389279545
2008-08-29,-0.17096203791235243
2008-09-30,-0.07873992771540039
2008-10-31,-0.11393282522554403
2008-11-28,0.05958946387704271
2008-12-31,0.01914501380014402
2009-01-30,-0.01632501314123876
2009-02-27,0.2190367263737872
2009-03-31,0.4669507816511275
2009-04-30,0.03426390577059964
2009-05-29,0.072100397883718
2009-06-30,0.013798983729134857
2009-07-31,-0.11267705194816358
2009-08-31,0.014443839958206372
2009-09-30,-0.1115739045936632
2009-10-30,0.008339227756584746
2009-11-30,0.004202185038328236
2009-12-31,0.00030855943647703206
2010-01-29,0.05310816345704361
2010-02-26,0.07794132411959062
2010-03-31,0.06843646173283828
2010-04-30,0.003289328501597576
2010-05-28,-0.053769555975475516
2010-06-30,0.033504287473137356
2010-07-30,-0.05572080949464524
2010-08-31,0.07387255019768241
2010-09-30,0.0036074516157232083
2010-10-29,0.08256982855056795
2010-11-30,-0.030502182655584083
2010-12-31,-0.010924790036933946
