strategy,subperiod,start,end,n,sharpe,cum,mdd,sharpe_lo,sharpe_med,sharpe_hi
M2 (1990-1999 train),Overall,2000-01-31,2010-12-31,132,0.24495479062463088,0.39705736034944494,-0.6490938520042043,-0.5015482841929784,0.21264765186419962,0.8637093737736345
M2 (1990-1999 train),Dot-com bust,2000-03-01,2002-10-31,32,-0.41969524705283534,-0.4664080918136131,-0.6490938520042041,-2.110307609832246,-0.8551544249892975,0.36142081291484396
M2 (1990-1999 train),2003-2007 bull,2002-11-01,2007-09-30,59,0.8559942450684332,0.8375240828982848,-0.2063179148294609,-0.11857576517733318,0.7864971948960885,1.7759153220225776
M2 (1990-1999 train),GFC crash,2007-10-01,2009-02-28,17,-0.4077900784734286,-0.22944326662334114,-0.4319301206498775,-3.6646236433925323,-1.1999814353938016,0.5428901196831005
M2 (1990-1999 train),GFC rebound,2009-03-01,2009-12-31,10,0.8367188082924752,0.33575577209244667,-0.2002927575299488,-2.730512773627932,0.04983981940508564,2.303019193680184
M2 (1990-1999 train),Post-GFC calm,2010-01-01,2010-12-31,12,1.379116084387674,0.2571911144287897,-0.07655800985978418,-0.23904251867603568,1.185195635392111,3.3272762523065373
M2 (1990-2004 train),Overall,2005-01-31,2010-12-31,72,0.3052918039627515,0.3238680717716169,-0.4082892836260708,-0.5755230567855018,0.32037707438441937,1.036400144882705
M2 (1990-2004 train),2003-2007 bull,2002-11-01,2007-09-30,33,0.9587886659295279,0.2713990260360746,-0.06482507695838753,-0.009797432095375657,0.8714093780036162,1.8323957174374266
M2 (1990-2004 train),GFC crash,2007-10-01,2009-02-28,17,-0.2779721709674128,-0.20156187564300088,-0.40828928362607053,-1.9916978316560752,-0.8573731638757183,0.6541713997087331
M2 (1990-2004 train),GFC rebound,2009-03-01,2009-12-31,10,0.5735947540663481,0.164198380232355,-0.17314234048323493,-2.887790717356747,-0.7704000705593371,2.0558259069279554
M2 (1990-2004 train),Post-GFC calm,2010-01-01,2010-12-31,12,0.8188051073282608,0.12019744398876608,-0.06698952934639547,-0.09798050431465409,1.0039456669073978,2.0471028470969688
Fixed 12-mo mom,Overall,2000-01-31,2010-12-31,132,-0.17625125633045113,-0.730706291931055,-0.7890018784461527,-0.7446617981486974,-0.16619026823522715,0.4709769683022577
Fixed 12-mo mom,Dot-com bust,2000-03-01,2002-10-31,32,-0.14943706615852004,-0.3681083031672987,-0.4281857386747042,-0.5917778224026207,0.08393576439331432,1.217753014416041
Fixed 12-mo mom,2003-2007 bull,2002-11-01,2007-09-30,59,-0.16022395587276464,-0.17506610658415045,-0.4674672364215899,-1.3387084070459618,-0.5424820250107589,0.41135740939456655
Fixed 12-mo mom,GFC crash,2007-10-01,2009-02-28,17,0.5539196549035901,0.22028110816435964,-0.28416321068667677,0.1058364385656408,1.3261974461791284,2.7361765017777895
Fixed 12-mo mom,GFC rebound,2009-03-01,2009-12-31,10,-1.8634355728339314,-0.6258026826622143,-0.3699701005098624,-4.009395063261258,-1.8822683062397327,0.634821009616501
Fixed 12-mo mom,Post-GFC calm,2010-01-01,2010-12-31,12,0.25312234206758377,0.03023186359685015,-0.12618925333124367,-1.413174762603416,0.2872488601343366,2.468428319275127
Fixed 1-mo mom,Overall,2000-01-31,2010-12-31,132,-0.2560431886752761,-0.64589021517678,-0.7391213241122834,-0.8119270513435197,-0.3117472937735498,0.20698310093444058
Fixed 1-mo mom,Dot-com bust,2000-03-01,2002-10-31,32,-0.40419224941389625,-0.3885399160029147,-0.39299413620015583,-0.9631832191814654,-0.19432464329173654,0.5338729177375022
Fixed 1-mo mom,2003-2007 bull,2002-11-01,2007-09-30,59,-0.25606393941378724,-0.18632803695838773,-0.33372656274293816,-1.249871879898142,-0.4006556500501151,0.5163973770678241
Fixed 1-mo mom,GFC crash,2007-10-01,2009-02-28,17,0.24863246581518,0.04605141754847586,-0.19874077140861146,-0.9219984717053634,0.4256486117324336,2.0328332059603724
Fixed 1-mo mom,GFC rebound,2009-03-01,2009-12-31,10,-1.9626421663353166,-0.3911470895695066,-0.2025354881380938,-4.638783904674229,-2.335310620983598,-1.2322762202939956
Fixed 1-mo mom,Post-GFC calm,2010-01-01,2010-12-31,12,-0.1443058432854332,-0.037370053572229,-0.13064002159818217,-1.4669610654205711,-0.12591206791646564,1.9769844000459817
Market (VW buy-hold),Overall,2000-01-31,2010-12-31,132,0.19310083391815883,0.22090277876301623,-0.5002622166593998,-0.5275193851501047,0.14742921437881074,0.8826542533445625
Market (VW buy-hold),Dot-com bust,2000-03-01,2002-10-31,32,-0.7605045741535196,-0.3651726944810344,-0.4460033112607907,-1.8737243585296692,-0.9272582908327743,-0.11365660052615542
Market (VW buy-hold),2003-2007 bull,2002-11-01,2007-09-30,59,1.4571514273981296,0.900395668039794,-0.048444499594231416,0.995813348688953,1.7452936544585977,2.5731808086089063
Market (VW buy-hold),GFC crash,2007-10-01,2009-02-28,17,-1.789126000005316,-0.45566164397626285,-0.4768685387051642,-3.70071546168966,-2.072083239670918,-0.6446065295108292
Market (VW buy-hold),GFC rebound,2009-03-01,2009-12-31,10,2.7120994982439375,0.3774227733378075,-0.03357208083704523,1.8249518715742292,3.272700289952664,5.9298047816867685
Market (VW buy-hold),Post-GFC calm,2010-01-01,2010-12-31,12,1.2361748825878323,0.24134535117742106,-0.12952760374500624,-0.9821253601885941,0.7673520743887604,3.4666585374065426
