subperiod,start,end,n,sharpe,ann_ret,cum,mdd,monthly_mean
Dot-com bust,2000-03-01,2002-10-31,32,-0.41969524705283595,-0.2098610642127965,-0.4664080918136142,-0.6490938520042048,-0.013414123477678569
2003-2007 bull,2002-11-01,2007-09-30,59,0.8559942450684338,0.13172865746017193,0.8375240828982857,-0.20631791482946116,0.011413567954586496
GFC crash,2007-10-01,2009-02-28,17,-0.40779007847342863,-0.16804970766138416,-0.22944326662334125,-0.43193012064987757,-0.011084867271518722
GFC rebound,2009-03-01,2009-12-31,10,0.8367188082924752,0.4153780997427714,0.3357557720924469,-0.2002927575299488,0.039015692468234955
Post-GFC calm,2010-01-01,2010-12-31,12,1.3791160843876737,0.25719111442879017,0.25719111442879017,-0.07655800985978423,0.02045100479046185
