strategy,arm,lam,oos_start,n_mo,net_ann,to_mo,net_ir,minus_static,ci_lo,ci_hi,p,net_ir_2013,obj
investment,monthly,0.0,2001,299,0.0178320396543921,0.0990592196082559,0.2377162275003407,-0.0731975182599167,-0.217094210520817,0.0557507817463704,0.2598,0.0585266921190233,0.0178320396543921
investment,static,0.0,2001,299,0.0214867362470427,0.0676105292869353,0.3109137457602575,0.0,0.0,0.0,1.0,0.074527901791255,0.0214867362470427
investment,gbm_conservative,0.0,2001,299,0.0211976651031349,0.071089591510713,0.3015825436032443,-0.0093312021570131,-0.048672418400122,0.0261955336912675,0.6494,0.0698257014886153,0.0211976651031349
investment,gbm_flexible,0.0,2001,299,0.0214867362470427,0.0676105292869353,0.3109137457602575,0.0,0.0,0.0,1.0,0.074527901791255,0.0214867362470427
investment,ridge_conservative,0.0,2001,299,0.0215898278349619,0.068508655050481,0.2967364217882017,-0.0141773239720557,-0.0876147943027301,0.0586479378332095,0.7622,0.074527901791255,0.0215898278349619
investment,ridge_flexible,0.0,2001,299,0.0226155072825959,0.0685227254051442,0.3112928914867782,0.0003791457265207,-0.0900170100238947,0.0819071207736639,0.9092,0.074527901791255,0.0226155072825959
investment,mlp_conservative,0.0,2001,299,0.0210038661102006,0.0676631424756658,0.3028488360842493,-0.0080649096760081,-0.0260102058782338,0.0012208318476219,0.4026,0.0613201241774306,0.0210038661102006
investment,mlp_flexible,0.0,2001,299,0.0214867362470427,0.0676105292869353,0.3109137457602575,0.0,0.0,0.0,1.0,0.074527901791255,0.0214867362470427
investment,rebound_rule,0.0,2001,299,0.0218577255075289,0.0682920347330815,0.3201123649966413,0.0091986192363838,-0.0296093802348421,0.0580462113201338,0.7514,0.0631681998958455,0.0218577255075289
investment,cluster_rule,0.0,2001,299,0.0191212253973345,0.0699604589161063,0.2785847008307076,-0.0323290449295499,-0.0681294707262603,-0.0027325669295706,0.0282,0.0457353641177086,0.0191212253973345
investment,monthly,0.5,2001,299,0.0178320396543921,0.0990592196082559,0.2377162275003407,0.0031254958875391,-0.2151385580915028,0.2082614546036237,0.99,0.0585266921190233,-0.5765232779951439
investment,static,0.5,2001,299,0.0137807699485011,0.0467072151025966,0.2345907316128016,0.0,0.0,0.0,1.0,-0.0859229186299552,-0.2664625206670789
investment,gbm_conservative,0.5,2001,299,0.0137807699485011,0.0467072151025966,0.2345907316128016,0.0,0.0,0.0,1.0,-0.0859229186299552,-0.2664625206670789
