strategy,cluster,E,share_mo,n_mo_c,cost_base_bpyr,cost_saved_bpyr,cost_saved_pct,saved_per_treated_mo_bp,turnover_removed,uniform_saved_matched_bpyr,cluster_minus_uniform_bpyr,net_base_pctyr,net_delta_pctyr
profitability,C0-winner,25,0.314,37,2.4,0.075,3.11,0.202,0.0225,0.066,0.009,16.763,-0.068
profitability,C0-winner,30,0.314,37,2.4,0.072,2.99,0.1944,0.0212,0.062,0.01,16.763,-0.068
profitability,C0-winner,40,0.314,37,2.4,0.076,3.18,0.2062,0.0223,0.065,0.011,16.763,-0.084
profitability,C0-winner,60,0.314,37,2.4,0.073,3.05,0.1982,0.0201,0.059,0.015,16.763,-0.045
profitability,C0-winner,100,0.314,37,2.4,0.055,2.3,0.1494,0.0084,0.025,0.031,16.763,-0.189
profitability,C1,10,0.373,44,2.4,0.0,0.0,0.0,0.0,0.0,0.0,16.763,0.0
profitability,C1,15,0.373,44,2.4,0.008,0.32,0.0175,0.001,0.003,0.005,16.763,0.041
profitability,C1,20,0.373,44,2.4,0.007,0.31,0.017,0.0004,0.001,0.006,16.763,-0.017
profitability,C1,25,0.373,44,2.4,0.006,0.25,0.0138,-0.0003,0.0,0.006,16.763,-0.029
profitability,C1,30,0.373,44,2.4,0.0,0.02,0.0008,-0.0028,0.0,0.0,16.763,-0.07
profitability,C1,40,0.373,44,2.4,-0.001,-0.03,-0.0018,-0.0032,0.0,-0.001,16.763,-0.079
profitability,C1,60,0.373,44,2.4,-0.012,-0.48,-0.0265,-0.0062,0.0,-0.012,16.763,-0.288
profitability,C1,100,0.373,44,2.4,-0.028,-1.17,-0.0641,-0.0136,0.0,-0.028,16.763,-0.293
profitability,C2,10,0.169,20,2.4,0.0,0.0,0.0,0.0,0.0,0.0,16.763,0.0
profitability,C2,15,0.169,20,2.4,0.048,1.99,0.2393,0.0137,0.04,0.008,16.763,-0.084
profitability,C2,20,0.169,20,2.4,0.034,1.42,0.1702,0.0091,0.027,0.007,16.763,-0.083
profitability,C2,25,0.169,20,2.4,0.033,1.38,0.1658,0.0087,0.025,0.008,16.763,-0.094
profitability,C2,30,0.169,20,2.4,0.023,0.97,0.1168,0.0062,0.018,0.005,16.763,-0.127
profitability,C2,40,0.169,20,2.4,0.02,0.84,0.1003,0.0051,0.015,0.005,16.763,-0.118
profitability,C2,60,0.169,20,2.4,0.016,0.67,0.0804,0.0037,0.011,0.005,16.763,-0.112
profitability,C2,100,0.169,20,2.4,-0.014,-0.57,-0.0684,-0.0068,0.0,-0.014,16.763,-0.254
profitability,C3-deeploser,10,0.144,17,2.4,0.0,0.0,0.0,0.0,0.0,0.0,16.763,0.0
profitability,C3-deeploser,15,0.144,17,2.4,0.003,0.11,0.0152,-0.0013,0.0,0.003,16.763,0.035
profitability,C3-deeploser,20,0.144,17,2.4,0.001,0.02,0.003,-0.0023,0.0,0.001,16.763,0.052
