strategy,family,params,gross_ir,net_ir_0,net_ir_meas,to_mo,to_calm,to_crash,to_recovery,n_names,breakeven_bp,alpha_ff5lo,t_ff5lo,alpha_ff6lo,t_ff6lo,mean_hs_bp,hs_fallback_frac,net_ir_meas_pre,net_ir_meas_post,net_ir_stress3,net_ir_stress5
momentum,diag,"(10, 10)",0.22347460440475247,0.22347460440475247,0.16631248741883492,0.33326729041532127,0.3269969925047931,0.3476773728708056,0.34784386216211416,100.0,47.85359923548938,0.03603258296599972,1.3769685267636824,-0.018656417972661793,-1.2581891290603051,12.586428245284699,0.026928508721706934,0.1785679868797008,0.15211651016566372,0.12165898710301197,0.07708628843402153
momentum,regime2,"(10, 20)",0.18588091473871104,0.18588091473871104,0.1352790227231649,0.2934105638270599,0.333167370766719,0.209961570492791,0.18942743067782827,107.63144963144963,44.365089075881016,0.03062544425007259,1.1894957658958216,-0.022850234475575874,-1.6206644299214539,12.492398662448544,0.027112830243760034,0.15701874588923467,0.10061628006120334,0.1068279597553831,0.07836005672515628
momentum,regime2,"(10, 15)",0.20356572022859626,0.20356572022859626,0.1512578901078302,0.3034529617209511,0.3302173399174831,0.2480602196670615,0.23230469696332784,104.61916461916462,47.26341702841537,0.033810158093033844,1.3175271533615847,-0.020194377575132483,-1.4174147731889448,12.541975427959017,0.027020493175140402,0.19244491413017564,0.07894488194302603,0.11819063286757224,0.08512274775288756
momentum,diag,"(20, 20)",0.17033581120301589,0.17033581120301589,0.1359823536418524,0.18089230173245896,0.1772406903442651,0.19067840536626487,0.18734574311204344,131.63636363636363,60.57211556665912,0.028735654058972646,1.1305958242354959,-0.0232349577719785,-1.7217175549417931,12.814765580391347,0.027511503067484663,0.21963991043574904,-0.025459014074805057,0.1073128947512483,0.07861507505265818
momentum,diag,"(15, 15)",0.19645006605542478,0.19645006605542478,0.1554175436294963,0.22828565943144277,0.22441811171652037,0.2386513241742811,0.23511945992765831,117.28255528255528,58.611437477596425,0.03558430713774035,1.3615289949220037,-0.018277522312888955,-1.3096766453106334,12.721666445924752,0.027298301670544926,0.23910923778375667,-0.00919745750853587,0.12209803829274725,0.08877239991489823
momentum,diag,"(40, 40)",0.19927878386829193,0.19927878386829193,0.1730514595024734,0.11358027422052333,0.11172333221240154,0.1092737807246319,0.13041518533065655,174.24570024570025,93.18582446452088,0.022639880299667885,1.1869064994523744,-0.017857025314437336,-1.5806859675205134,13.102365823605453,0.027175015209896573,0.20471482942459332,0.12220929910394115,0.151072976743959,0.12912871348317143
momentum,diag,"(30, 30)",0.18677339204984905,0.18677339204984905,0.1574945287068165,0.13942218432979095,0.13670690624484885,0.14734502927872922,0.14327761022681215,154.13513513513513,78.35722531750926,0.02633734097144646,1.1882493089355695,-0.020666030586943804,-1.7868873557465188,13.002803887493817,0.02763628176624546,0.22143114363446412,0.04092751689409824,0.1340567917187131,0.11063861609316972
momentum,regime2,"(10, 30)",0.19195277196140365,0.19195277196140365,0.14342065322436864,0.2861533762072685,0.33616088528945465,0.18620995824763448,0.14802811484151673,111.8009828009828,46.77353897366584,0.03100368714846737,1.2020949520352382,-0.021325486197209274,-1.504988727174315,12.266772675269863,0.027184810575814036,0.16561202486639068,0.1083630755298624,0.1201441920064076,0.09683798236664964
momentum,regime2,"(15, 10)",0.2097807703026496,0.2097807703026496,0.16197137014496957,0.264935745412218,0.22823990377010842,0.35091126854734567,0.34784386216211416,111.98280098280098,54.43753672066886,0.035741947316015155,1.3537075172346797,-0.018562960103324488,-1.2737052474273858,12.807118564237436,0.027075780036077225,0.21221541445716186,0.07080323217934988,0.11567669116043783,0.06946368572077265
momentum,regime2,"(10, 40)",0.19383088360441209,0.19383088360441209,0.14625144664007325,0.2811528186907993,0.33817325845569324,0.16319886106180262,0.12948949896453668,115.0933660933661,47.91778542669323,0.0313451257934548,1.2168272469522519,-0.019698513479718096,-1.3691968189646833,12.215110522283478,0.027058455984448764,0.17807635007285652,0.0926383703020409,0.12549601465104004,0.1047107176340346
