bin,exit_width,n,avg_pi,frac_panic,avg_zc_level,avg_cs_mom
0,40,45,0.592921752087828,0.6,-0.7905030084049176,0.05157257843056918
1,40,45,0.14583240404242812,0.13333333333333333,0.00689740506663997,0.13679279212066012
2,40,44,0.13495645265384315,0.13636363636363635,0.46455008282368176,0.15744309058740075
3,40,45,0.1764457263527719,0.13333333333333333,1.2710493237518061,0.12543931784435
