date,xgb_lo,xgb_ls
2011-01-31,0.013686291895065684,-0.008956085022403172
2011-02-28,0.011208405398605714,0.03295258727976503
2011-03-31,0.012353803609478343,0.009894411182847673
2011-04-29,-0.02560750883678632,-0.011941684422750305
2011-05-31,-0.009644373452282117,0.010871208346497054
2011-06-30,-0.01676741889369646,0.008604516090601318
2011-07-29,-0.08740258893443392,-0.09228016995004133
2011-08-31,-0.16781809158732142,-0.0838934414306456
2011-09-30,0.20588629010258463,0.15077453107355387
2011-10-31,-0.049096179908662,-0.04614504979380165
2011-11-30,-0.002324134829075168,0.036827902613241405
2011-12-30,0.04994405532714083,-0.07287038560096064
2012-01-31,0.04435347377125727,-0.0028286567906687606
2012-02-29,0.018437351569531968,-0.025106952576963215
2012-03-30,-0.014637944792929129,-0.008610015758118362
2012-04-30,-0.05009745928938908,0.044812412586585186
2012-05-31,0.019896750311981733,3.895503209382697e-05
2012-06-29,0.018382886526027042,0.02475601368635829
2012-07-31,0.06789921812299717,0.05817611923206922
2012-08-31,0.020066416554593017,0.008518094541877477
2012-09-28,-0.023774513796919017,-0.006019116935298861
2012-10-31,0.013816779430368959,0.03404444253471643
2012-11-30,-0.017815704187128245,-0.040662982837216116
2012-12-31,-0.0013407580884567361,-0.08433879972070052
2013-01-31,0.01058744617772666,0.01066078772953659
2013-02-28,0.04578873737780244,0.00912652723971086
2013-03-28,0.00876002166421409,-0.0322978742727921
2013-04-30,0.0676948197123649,0.03769401758141981
2013-05-31,-0.04897697560266957,-0.05853968446335061
2013-06-28,0.06780906331750676,0.04382419441844266
2013-07-31,-0.011778308221146484,0.019545165794231045
2013-08-30,0.04165646706752231,0.020068216561060514
2013-09-30,0.03117700964184213,-0.015865805456026224
2013-10-31,0.04276185982453782,0.004611919905328515
2013-11-29,0.024467238452728513,-0.004155466768309035
2013-12-31,0.00037722620831255875,0.058900449169271535
2014-01-31,0.07817094508764867,0.029684256636450586
2014-02-28,-0.06350764604953672,-0.09093978535251618
2014-03-31,-0.0019130449457946618,-0.030810201909693136
2014-04-30,0.039856197831226035,0.03592314170971025
2014-05-30,0.02149882721452003,0.004751288384416282
2014-06-30,0.0007313016694971309,0.022255497120007513
2014-07-31,0.04055798843285653,0.004303208282060026
2014-08-29,-0.00877275545787326,0.02294548918476947
2014-09-30,0.02938624039114535,0.014902426494167583
2014-10-31,0.022114462691662846,-0.011506250030188445
2014-11-28,-0.014032071255282835,-0.030792471224565625
2014-12-31,0.00909263515952311,0.018887569557961507
2015-01-30,0.03544197181322672,-0.03755197218244929
2015-02-27,-0.024853456510566144,-0.020324854016440796
2015-03-31,-0.01435011104671522,-0.029815623874263168
2015-04-30,0.02070650012425584,0.03986735278050557
2015-05-29,-0.03964704138264323,-0.011480252658406473
2015-06-30,0.008519794878309122,0.0327714938860024
2015-07-31,-0.05048306749298999,0.025407606660329637
2015-08-31,-0.02965595633264226,0.011171659660863593
2015-09-30,0.07824645622884122,-0.018251700829433403
2015-10-30,-0.010490986511393968,-0.011284917259720853
2015-11-30,-0.011099563341821673,-0.0037289206355413333
2015-12-31,-0.07039741242316433,-0.02733037338770091
2016-01-29,0.023752137337395975,0.012690330324645664
2016-02-29,0.09129341868466387,0.03694575073385045
2016-03-31,-0.007564421003264277,-0.016596703205443653
2016-04-29,0.03717626042315924,0.03402575163098872
2016-05-31,-0.026626142282212842,-0.028008130667129913
2016-06-30,0.07018881305045255,-0.0025561273289467674
2016-07-29,-0.015898082510805014,-0.05331743549090158
2016-08-31,0.00773409227704742,0.01157453752439364
2016-09-30,-0.035466916803463366,-0.05082048374929394
2016-10-31,0.05000785255277485,-0.0033819156542925434
2016-11-30,0.012448736267979262,-0.017525482838922024
2016-12-30,0.03197301063101121,0.0019829444077054162
2017-01-31,0.02819030319570183,0.00829184811186932
2017-02-28,0.010051876277583378,0.009472815768996145
2017-03-31,0.0017450981618067501,-0.013219629206237348
2017-04-28,0.01786727837607566,0.005556761462663609
2017-05-31,0.03089548916053214,0.017853410039593762
2017-06-30,0.017832422476406196,0.012090269980932244
2017-07-31,-0.0009648295027469497,0.020733876834324875
