date,S&P500 proxy (cap-wt),XGB long-only (monthly),XGB long-only (quarterly)
2011-01-31,0.03239546653454345,0.019352192471246806,
2011-02-28,0.00042464920140013174,0.013167935276602571,
2011-03-31,0.029204382015520162,0.007571719408672125,0.007697916610176582
2011-04-29,-0.012050929810847112,-0.01464121461235995,-0.009441513612837779
2011-05-31,-0.01616459217347629,-0.009302946016862582,-0.022512325487672246
2011-06-30,-0.020049205594775122,-0.010489691724657555,-0.010668533943106405
2011-07-29,-0.05394557865154675,-0.08990256174601115,-0.08587597247946799
2011-08-31,-0.06789714005462849,-0.15174149921881017,-0.17221947902940232
2011-09-30,0.10546456177311336,0.20531653469980643,0.20515848029349382
2011-10-31,-0.001756825566040138,-0.005956653894653644,-0.004652359767034572
2011-11-30,0.008675546703524266,-0.0060525437695655784,-0.03745572822851398
2011-12-30,0.04593444226536425,0.08303049811209456,0.08273109717305452
2012-01-31,0.045216181355634655,0.03245250087022819,0.05997019859390167
2012-02-29,0.03314302882570162,0.014356130798149238,0.06617305585656467
2012-03-30,-0.007230908207558269,-0.047272761035299045,-0.04753513252791294
2012-04-30,-0.05897472537642777,-0.06852949916592024,-0.1346986401225596
2012-05-31,0.039265571354642974,0.021386142396029786,0.02917503780041792
2012-06-29,0.011874460865012886,0.011258697707055515,0.01061300743054987
2012-07-31,0.023608561243513085,0.04684538749812768,0.06562105306920922
2012-08-31,0.02644788970669638,0.013918393997277007,0.019128484750897325
2012-09-28,-0.017898016011431622,-0.01590234135463681,-0.01594333997048506
2012-10-31,0.005238729968061459,0.025546552099896962,-0.008083905889358688
2012-11-30,0.0086550808418204,-0.021491767221148157,0.045194095283138946
2012-12-31,0.052767173431601984,0.001837355997799715,0.0014659860595939286
2013-01-31,0.013331590540426633,-9.650745173191101e-06,-0.0021027369891196725
2013-02-28,0.03879754044942066,0.04370919926235177,0.04078306917019068
2013-03-28,0.018840330075752844,0.0019236570280175952,0.0018160399904260764
2013-04-30,0.025025835311716184,0.06159020860390805,0.0365706815652762
2013-05-31,-0.013035942688189335,-0.04265491515572241,-0.0572031820329918
2013-06-28,0.053267544740024104,0.07740900496974058,0.0773847622015064
2013-07-31,-0.026801009990641726,-0.02142004635232422,0.0013941207370127687
2013-08-30,0.033251557930356695,0.043462166955984254,0.0391387990330838
2013-09-30,0.043988791250549795,0.0369823306113268,0.03671536169111337
2013-10-31,0.030730402262116225,0.04625899195760341,0.052941449705403466
2013-11-29,0.02641301717784864,0.02725361042183377,0.03083170511829723
2013-12-31,-0.03459712248172585,0.007874775823436892,0.007714484985608844
2014-01-31,0.04594540417673308,0.06809118410554456,0.06238451608222294
2014-02-28,0.006291245464722741,-0.06442009408663917,-0.04986051784923041
2014-03-31,0.005085406847577312,0.0008451934274286084,0.000802931178297619
2014-04-30,0.022724101947017922,0.039774320943684764,0.03934470235108181
2014-05-30,0.020154515596939038,0.022593233249662656,0.04246816427992073
2014-06-30,-0.013389811629077986,-0.005657579676584715,-0.006039345954968314
2014-07-31,0.04161934152718109,0.03779135528255514,0.03933295884451887
2014-08-29,-0.013531120956636859,-0.019966665736820734,-0.005638556935165591
2014-09-30,0.02341541924267285,0.026739265576670338,0.026601914658147305
2014-10-31,0.029769766537888487,0.03402623798142991,0.01626894946429071
2014-11-28,-0.0034771912241905976,-0.023082918611160578,-0.020001172057226565
2014-12-31,-0.03040391231784425,0.010579725555801146,0.010479199917549876
2015-01-30,0.05916297027905422,0.05483849365396052,0.05803767528681116
2015-02-27,-0.015421088643524273,-0.025086173906475846,-0.018893799085854993
2015-03-31,0.009602553798809026,-0.008281234292239472,-0.008457369799094453
