permno,ticker,company,avg_wt,pct_months
86580,NVDA,NVIDIA CORP,0.07103748019204267,0.7272727272727273
55976,WMT,WALMART INC,0.06910875520048766,1.0
84788,AMZN,AMAZON COM INC,0.06515496484903024,0.7272727272727273
13407,META,META PLATFORMS INC,0.06371862763855703,0.8181818181818182
47896,JPM,JPMORGAN CHASE & CO,0.05155911165356835,1.0
14542,GOOG,ALPHABET INC,0.040210711641058064,0.7272727272727273
19788,PLTR,PALANTIR TECHNOLOGIES INC,0.03387322494643892,0.8181818181818182
90319,GOOGL,ALPHABET INC,0.03049945956970648,0.5454545454545454
93436,TSLA,TESLA INC,0.02892243578072873,0.5454545454545454
89393,NFLX,NETFLIX INC,0.028212005017474385,0.8181818181818182
12060,GE,GENERAL ELECTRIC CO,0.019598184777531405,1.0
87055,COST,COSTCO WHOLESALE CORP NEW,0.018322414127253783,0.7272727272727273
93002,AVGO,BROADCOM INC,0.016066279687654613,0.18181818181818182
66093,T,A T & T INC,0.015961873068669873,1.0
91937,TMUS,T MOBILE U S INC,0.01512063057399058,0.7272727272727273
