w,ann,vol,sharpe
0.0,0.14247845779142998,0.1417575424331346,1.00508555203428
0.01,0.142655702021941,0.14170407091861223,1.0067156228974914
0.02,0.14283236082523265,0.14165449166996294,1.00831508511579
0.03,0.1430084339824862,0.14160880877539908,1.0098837439506112
0.04,0.1431839212751389,0.1415670260069162,1.011421411566163
0.05,0.1433588224848843,0.14152914681874423,1.0129279071291464
0.06,0.14353313739367146,0.14149517434592548,1.0144030569040015
0.07,0.14370686578370506,0.14146511140302204,1.0158466943435718
0.08,0.1438800074374471,0.14143896048295346,1.0172586601750926
0.09,0.14405256213761497,0.14141672375596487,1.0186388024813715
0.1,0.14422452966718313,0.14139840306872895,1.0199869767771033
0.11,0.14439590980938277,0.14138399994357917,1.021303046080218
0.12,0.1445667023477013,0.14137351557787856,1.0225868809781682
0.13,0.14473690706588327,0.14136695084352194,1.0238383596891152
0.14,0.14490652374793056,0.14136430628657384,1.0250573681179176
0.15,0.14507555217810197,0.14136558212704098,1.0262437999068752
0.16,0.14524399214091321,0.14137077825878125,1.0273975564811704
0.17,0.14541184342113822,0.14137989424954753,1.0285185470889797
0.18,0.14557910580380784,0.1413929293411675,1.0296066888361828
0.19,0.14574577907421093,0.14140988244985908,1.030661906715673
0.2,0.14591186301789394,0.14143075216668036,1.0316841336312237
0.21,0.14607735742066152,0.14145553675811473,1.0326733104159083
0.22,0.1462422620685755,0.14148423416679035,1.0336293858450412
0.23,0.1464065767479572,0.14151684201233222,1.0345523166436887
0.24,0.1465703012453854,0.14155335759234758,1.0354420674886842
0.25,0.14673343534769723,0.14159377788354294,1.0362986110052204
0.26,0.1468959788419888,0.14163809954297102,1.0371219277580226
0.27,0.14705793151561442,0.141686318909408,1.0379120062371086
0.28,0.14721929315618754,0.141738432004858,1.0386688428382056
0.29,0.14738006355157984,0.14179443453618507,1.0393924418378309
0.3,0.14754024248992303,0.1418543218968693,1.0400828153631265
0.31,0.14769982975960705,0.1419180891688869,1.0407399833564537
0.32,0.14785882514928117,0.14198573112471233,1.0413639735348494
0.33,0.14801722844785448,0.1420572422294389,1.0419548213444092
0.34,0.1481750394444945,0.14213261664301846,1.0425125699096376
0.35000000000000003,0.14833225792862992,0.14221184822261637,1.0430372699779047
0.36,0.1484888836899474,0.14229493052507908,1.0435289798590306
0.37,0.1486449165183943,0.1423818568095146,1.043987765360152
0.38,0.14880035620417753,0.14247262003998015,1.0444136997159295
0.39,0.1489552025377643,0.1425672128882774,1.0448068635142136
0.4,0.14910945530988107,0.14266562773685076,1.0451673446172758
0.41000000000000003,0.14926311431151618,0.14276785668178732,1.0454952380787366
0.42,0.1494161793339157,0.14287389153591526,1.045790646056252
0.43,0.14956865016858845,0.1429837238319977,1.046053677720185
0.44,0.14972052660730295,0.14309734482602018,1.046284449158266
