permno,ticker,comnam,namedt,nameenddt
89565,CMCSK,COMCAST CORP NEW,2002-11-19,2015-12-11
75577,ALTR,ALTERA CORP,1988-03-31,2015-12-24
93223,TW,TOWERS WATSON & CO,2015-03-13,2016-01-04
92421,SD,SANDRIDGE ENERGY INC,2007-11-06,2016-01-06
75326,ACI,ARCH COAL INC,2015-08-04,2016-01-08
59192,CB,CHUBB CORP,1998-09-01,2016-01-14
63830,PCP,PRECISION CASTPARTS CORP,2001-12-03,2016-01-29
85963,BRCM,BROADCOM CORP,1998-04-17,2016-01-29
79588,GMCR,KEURIG GREEN MOUNTAIN INC,2014-03-11,2016-03-02
23501,POM,PEPCO HOLDINGS INC,2004-11-10,2016-03-23
81857,CAM,CAMERON INTERNATIONAL CORP,2011-06-10,2016-04-01
76584,ATML,ATMEL CORP,1991-03-19,2016-04-04
88991,BTU,PEABODY ENERGY CORP,2015-10-01,2016-04-13
78977,JAH,JARDEN CORP,2014-01-08,2016-04-15
81776,SUNE,SUNEDISON INC,2013-06-03,2016-04-20
82618,SNDK,SANDISK CORP,1995-11-08,2016-05-11
91883,TWC,TIME WARNER CABLE INC,2009-03-13,2016-05-17
70308,ARG,AIRGAS INC,2011-06-10,2016-05-20
70500,CCE,COCA COLA ENTERPRISES INC NEW,2014-02-04,2016-05-27
86097,WCN,WASTE CONNECTIONS INC,2002-10-24,2016-05-31
68857,CVC,CABLEVISION SYSTEMS CORP,1999-12-07,2016-06-21
15553,GAS,A G L RESOURCES INC,2011-12-16,2016-06-30
37161,TE,T E C O ENERGY INC,1981-04-15,2016-06-30
90992,IHS,I H S INC,2014-10-24,2016-07-12
42534,JCI,JOHNSON CONTROLS INC,2014-01-23,2016-09-02
10147,EMC,E M C CORP MA,1998-10-01,2016-09-06
91207,HOT,STARWOOD HOTELS & REST WLDWD INC,2006-04-10,2016-09-22
83405,PLCM,POLYCOM INC,1996-04-30,2016-09-26
91141,MDVN,MEDIVATION INC,2007-03-20,2016-09-27
14570,IMS,I M S HEALTH HOLDINGS INC,2014-04-04,2016-09-30
90786,ITC,I T C HOLDINGS CORP,2005-08-02,2016-10-13
92765,RAX,RACKSPACE HOSTING INC,2015-11-20,2016-11-02
92497,N,NETSUITE INC,2007-12-20,2016-11-07
13711,SCTY,SOLARCITY CORP,2012-12-13,2016-11-18
12742,LNKD,LINKEDIN CORP,2014-07-22,2016-12-07
68591,STJ,ST JUDE MEDICAL INC,2001-03-01,2017-01-04
89004,FTI,F M C TECHNOLOGIES INC,2001-06-14,2017-01-13
91650,SE,SPECTRA ENERGY CORP,2007-01-03,2017-02-24
75224,HAR,HARMAN INTL INDS INC NEW,2016-12-22,2017-03-10
10299,LLTC,LINEAR TECHNOLOGY CORP,1986-05-28,2017-03-10
89105,JOY,JOY GLOBAL INC,2011-12-06,2017-04-05
13627,WWAV,WHITEWAVE FOODS CO,2014-06-18,2017-04-11
76138,BEAV,B E AEROSPACE INC,2000-08-01,2017-04-12
37807,VAL,VALSPAR CORP,2011-06-13,2017-05-31
92890,MJN,MEAD JOHNSON NUTRITION CO,2011-06-17,2017-06-14
