train_universe,train_rows,lo_sharpe_full,lo_ann_full,lo_sharpe_ovlp,ls_sharpe_full,ls_ann_full,ls_sharpe_ovlp
Top-500,120000,0.8638701088514933,0.16818429780922362,1.0142998721624368,0.27689198077645466,0.029770705088004723,0.5369346082569516
Top-1000,240000,0.9981015589311756,0.19612326392823687,1.2158164755269731,0.5624200315646432,0.07753091146267344,0.8398311211629987
Top-2000,480000,0.9965421923262604,0.1908246747779001,1.086703733344981,0.6204514014209025,0.09395636962806808,0.7348528969913014
Top-3000,720000,1.0364955283951558,0.19472275364856273,1.132421186470141,0.645447506984629,0.09942889304533886,0.7371887371543102
Full (~3.3k),1161014,1.0705799279233068,0.21088308964428215,1.1594654167847918,0.7776636283144658,0.11556212898795626,0.9173733887148926
