date,xs_std,p90_p10,iqr,n,year
2011-05-31,0.0588252777242558,0.1329981,0.06635625,500.0,2011
2011-06-30,0.0517135384178474,0.1053267,0.0569885,500.0,2011
2011-07-29,0.0727730692311092,0.1650968,0.077309,499.0,2011
2011-08-31,0.0841700414747329,0.1961827,0.10814125,500.0,2011
2011-09-30,0.0895647187204784,0.2134029999999999,0.1091605,499.0,2011
2011-10-31,0.0984594369542188,0.2447961,0.128328,500.0,2011
2011-11-30,0.0727443817238576,0.1453084,0.0706985,498.0,2011
2011-12-30,0.0621054150322187,0.1426503,0.074788,500.0,2011
2012-01-31,0.0960328133139463,0.2077024,0.1124569999999999,500.0,2012
2012-02-29,0.0759934486085946,0.153556,0.0781077499999999,500.0,2012
2012-03-30,0.0548091287638162,0.1261195,0.0584585,500.0,2012
2012-04-30,0.062725226080891,0.1359038,0.07033625,500.0,2012
2012-05-31,0.077722528233534,0.1758045,0.09068575,498.0,2012
2012-06-29,0.0624719316333388,0.152661,0.072871,499.0,2012
2012-07-31,0.0689628461792423,0.1572732,0.07183675,500.0,2012
2012-08-31,0.0660458363191847,0.148032,0.06993925,500.0,2012
2012-09-28,0.0473974335957829,0.1134644,0.0560235,500.0,2012
2012-10-31,0.0691527164977146,0.1610702,0.0723584999999999,498.0,2012
2012-11-30,0.0666257925412541,0.1462545,0.068751,500.0,2012
2012-12-31,0.053838377104639,0.1106226,0.0559155,500.0,2012
2013-01-31,0.0713771288855156,0.1474983,0.06412625,498.0,2013
2013-02-28,0.0622973532984971,0.1261731000000001,0.0587009999999999,500.0,2013
2013-03-28,0.0539945700893474,0.1154082,0.0550665,500.0,2013
2013-04-30,0.0661809869308988,0.1424136,0.07283375,500.0,2013
2013-05-31,0.0745308024031198,0.1619437999999999,0.076623,499.0,2013
2013-06-28,0.0511726343686928,0.1209024,0.057688,500.0,2013
2013-07-31,0.0683469365608186,0.1356606,0.0630785,498.0,2013
2013-08-30,0.0518378502338499,0.107474,0.0499325,500.0,2013
2013-09-30,0.058778703051556,0.1270629,0.06443975,500.0,2013
2013-10-31,0.0612797959189824,0.1413456,0.0654645,499.0,2013
2013-11-29,0.0607441170325258,0.1318606,0.0607884999999999,499.0,2013
2013-12-31,0.0595395993964273,0.1154473999999999,0.0588249999999999,499.0,2013
2014-01-31,0.0847908734861496,0.157962,0.0846485,499.0,2014
2014-02-28,0.0657558660188799,0.1334068,0.063897,500.0,2014
2014-03-31,0.0578362763295878,0.1308606,0.0653345,500.0,2014
2014-04-30,0.0594666146693355,0.1377974,0.0673479999999999,497.0,2014
2014-05-30,0.0499071338474947,0.1091064,0.054091,500.0,2014
2014-06-30,0.0528782984978414,0.1153995,0.0529415,500.0,2014
2014-07-31,0.060518972895448,0.1375532,0.072929,498.0,2014
2014-08-29,0.0564904759665812,0.0969213,0.047894,500.0,2014
2014-09-30,0.0538874931821024,0.1200342,0.058715,499.0,2014
