universe,leg,ew_lm,vw_lm,ew_pr,vw_pr
full,long,5.685153758366404,9.93535934104902,0.3633671410470624,0.84448084308828
full,short,6.431438768818979,10.328898401290813,0.4633693456252313,0.892354287946821
full,uni,6.700551338830869,11.024019242144627,0.5001501189346373,0.9324531357513477
top500,long,9.90456949871377,11.144181526778116,0.43756324547087766,0.7226980630811516
top500,short,9.982475018255181,11.173731065808418,0.4651529680498369,0.7474449399963417
top500,uni,10.10129882174001,11.520450678695255,0.501,0.801603712661796
