date,ret
2011-01-31,0.026034914081554006
2011-02-28,0.0278505009206063
2011-03-31,-0.003240409523467565
2011-04-29,-0.027037707436983752
2011-05-31,0.0006599107166904497
2011-06-30,0.03172388391523292
2011-07-29,-0.06406087869332702
2011-08-31,-0.005659521251371612
2011-09-30,0.13536043183338106
2011-10-31,-0.08155564377243968
2011-11-30,0.01470225552065866
2011-12-30,-0.022738886280425318
2012-01-31,0.01951085154984765
2012-02-29,0.018736217393564833
2012-03-30,0.04548630078480365
2012-04-30,0.0653887153448375
2012-05-31,-0.02381099300297159
2012-06-29,0.010898172832898626
2012-07-31,0.016717425071684323
2012-08-31,0.009527227449950007
2012-09-28,0.008593937240807084
2012-10-31,0.016742685556301647
2012-11-30,-0.012026682531258099
2012-12-31,0.002525419631933698
2013-01-31,0.04020732116122959
2013-02-28,0.021056539586311093
2013-03-28,-0.05315456670610015
2013-04-30,0.04286783314722441
2013-05-31,-0.0031247331529870364
2013-06-28,0.04112437716609409
2013-07-31,-0.014543109313387825
2013-08-30,0.061506684965275886
2013-09-30,-0.005623646022780517
2013-10-31,0.013740808489261869
2013-11-29,-0.016648354871047055
2013-12-31,0.04409423695805842
2014-01-31,0.03107996288678225
2014-02-28,-0.08900678502995081
2014-03-31,-0.04252900524704606
2014-04-30,0.010089001538446218
2014-05-30,0.018648962504575543
2014-06-30,0.017928663517303857
2014-07-31,0.008179965954771431
2014-08-29,0.025547679624718038
2014-09-30,-0.011570097529296162
2014-10-31,0.06802000304448659
2014-11-28,-0.027495713902556604
2014-12-31,0.024154213968463165
2015-01-30,-0.015391548736149343
2015-02-27,0.01710823035261638
2015-03-31,-0.04809158034919102
2015-04-30,0.06312699611279154
2015-05-29,0.031912473436583655
2015-06-30,0.09817392964098966
2015-07-31,-0.02829932881410051
2015-08-31,-0.03327160038360001
2015-09-30,0.03338788720625316
2015-10-30,-0.0277970624846612
2015-11-30,0.014030555562273646
2015-12-31,-0.10274394074600467
2016-01-29,0.005290784844761167
2016-02-29,0.07519033394145436
2016-03-31,0.09731204364371322
2016-04-29,0.047609944079279216
2016-05-31,0.07352784344826273
2016-06-30,0.009182639680728629
2016-07-29,-0.027218085426740504
2016-08-31,0.05994685865571782
2016-09-30,-0.036282300111795784
2016-10-31,0.08566992727975363
2016-11-30,-0.03718912694008692
2016-12-30,0.021753672912461282
2017-01-31,-0.016545862979330216
2017-02-28,0.007681150825507958
2017-03-31,-0.005549405221887179
2017-04-28,0.027281008154652224
2017-05-31,-0.015502607805200347
2017-06-30,0.010063848919877539
2017-07-31,0.0745011997509945
2017-08-31,0.000856022861422783
2017-09-29,-0.023624443476730168
2017-10-31,-0.0025080668253351177
2017-11-30,-0.049822120966168774
2017-12-29,0.08700014991753753
2018-01-31,0.03183339847829665
2018-02-28,-0.013309030893003755
2018-03-29,0.02653463430415812
2018-04-30,0.08335055152130955
2018-05-31,-0.009344198166667105
2018-06-29,-0.034310928498195434
2018-07-31,0.08753165747827707
2018-08-31,-0.002273062799526975
2018-09-28,-0.13654074019319354
2018-10-31,-0.04823244423132313
2018-11-30,-0.014042234158512669
2018-12-31,0.08737341457195537
2019-01-31,0.03817737703988995
2019-02-28,-0.02262653590001444
2019-03-29,-0.06443129986153873
2019-04-30,0.046994789215918695
2019-05-31,-0.048458667959612664
2019-06-28,-0.03328962910804393
2019-07-31,0.07314200650021335
2019-08-30,-0.0737339047046384
2019-09-30,-0.05210856138133971
2019-10-31,-0.0002187629305712552
2019-11-29,0.03743787355508668
2019-12-31,0.01794411468707761
2020-01-31,0.04013783583039493
2020-02-28,0.03502322909952231
2020-03-31,0.259809210712079
2020-04-30,0.002786242637776615
2020-05-29,0.09645892488255318
2020-06-30,-0.01610555149897355
2020-07-31,0.12432376647751978
2020-08-31,0.019391668496570324
2020-09-30,-0.036945119209252156
2020-10-30,0.07828850746671118
2020-11-30,0.014619409444788714
2020-12-31,0.026962905605231464
2021-01-29,-0.020916520980157394
2021-02-26,0.10308518819099549
2021-03-31,0.021018168916584597
2021-04-30,0.03299915228536936
2021-05-28,-0.02371044660314855
2021-06-30,0.08527584231590618
2021-07-30,-0.02766051459572331
2021-08-31,-0.0032835755417289147
2021-09-30,-0.01840813467633476
2021-10-29,-0.05690869919066451
2021-11-30,0.11274679487228734
2021-12-31,0.08368431734138067
2022-01-31,-0.06617417716285183
2022-02-28,0.050965166301406385
2022-03-31,0.036391453867997046
2022-04-29,0.07042675688527789
2022-05-31,-0.04032253793617323
2022-06-30,0.07369228094494618
2022-07-29,0.03663671515073373
2022-08-31,-0.02215736011292553
2022-09-30,-0.006024309414514757
2022-10-31,0.05581854296991577
2022-11-30,-0.01142482034842021
2022-12-30,0.1077558228255618
2023-01-31,0.10311584578621841
2023-02-28,-0.02021910323043353
2023-03-31,-0.04870643033157257
2023-04-28,0.24275927341260817
2023-05-31,0.01197614259994732
2023-06-30,0.06022526451216619
2023-07-31,0.027774965775432772
2023-08-31,-0.05828776981670028
2023-09-29,-0.024481430446110692
2023-10-31,0.13177856915884686
2023-11-30,0.04181450186617566
2023-12-29,0.056465831375527936
2024-01-31,0.09342891040371817
2024-02-29,0.00693019263953913
2024-03-28,-0.03780655404349064
2024-04-30,0.16511502015118762
2024-05-31,0.08165190883621361
2024-06-28,0.006789078745410831
2024-07-31,0.04847982020640544
2024-08-30,0.017221392761002922
2024-09-30,-0.0721864036527411
2024-10-31,0.01860798162317781
2024-11-29,0.0027186486791780503
