date,market,r2_sel_ew,r3_capscore_monthly_nocap,m1_monthly_cap,m2_semiann_cap_nofee,r4_full_spmo
2011-01-31,0.03239546653454345,0.04065765,0.034575013001952384,0.03382287733722129,0.03382287733722129,0.033322877337221286
2011-02-28,0.00042464920140013163,0.02383110439988,0.015435017107159521,0.018286065744257143,0.01060298858085983,0.01060298858085983
2011-03-31,0.02920438201552016,0.030315580000000005,0.02793846954911919,0.0314918674208732,0.0314918674208732,0.031072681477233553
2011-04-29,-0.012050929810847114,-0.007870640000000002,-0.015068531429400945,-0.016135863635012997,-0.016088647104508982,-0.016088647104508982
2011-05-31,-0.016164592173476294,-0.0012316099999999993,-0.005837648029023072,-0.004267209588189496,-0.0088524558764155,-0.0088524558764155
2011-06-30,-0.02004920559477512,-0.03465679,-0.01838163964382284,-0.019088451559873026,-0.011117088724645015,-0.011117088724645015
2011-07-29,-0.05394557865154675,-0.053907500000000004,-0.03738505088345545,-0.037393489142968396,-0.06515056184605209,-0.06515056184605209
2011-08-31,-0.06789714005462848,-0.08873961,-0.07157029791605674,-0.07453993163307776,-0.0862979886009599,-0.0862979886009599
2011-09-30,0.10546456177311336,0.12304475999999999,0.0928483703374595,0.09413705362533879,0.09413705362533879,0.09337750878066271
2011-10-31,-0.0017568255660401378,0.008232009999999998,0.0004302110241777683,0.0043860602765627785,0.011180968034033604,0.011180968034033604
2011-11-30,0.008675546703524268,0.00640667,0.015867383338497226,0.013757622861163544,0.00295892811318463,0.00295892811318463
2011-12-30,0.04557345261358848,0.02326749,0.02464028984187488,0.01756535782370817,0.02366090618693417,0.02366090618693417
2012-01-31,0.045216181355634655,0.04263357999999999,0.0411925679784964,0.041526869129416125,0.04336170893163117,0.04336170893163117
2012-02-29,0.03314302882570162,0.0358903,0.04712058545393575,0.04502850822479221,0.03170135757453628,0.03170135757453628
2012-03-30,-0.007337766615690741,0.02369467,0.011354327054031518,0.013814141428999643,0.013814141428999643,0.013186411296856179
2012-04-30,-0.05897472537642778,-0.017626750000000004,-0.027855779868405393,-0.02936435247871221,-0.029495985354436795,-0.029495985354436795
2012-05-31,0.03926557135464297,0.021537590000000006,0.02724506934136154,0.02871331269456833,0.027106639080575343,0.027106639080575343
2012-06-29,0.011874460865012884,0.016402970000000003,0.017875217886706415,0.015177523867343773,0.013371869216213228,0.013371869216213228
2012-07-31,0.023608561243513085,0.011191779999999998,0.015124783061268488,0.004411475329085666,0.01275986747363323,0.01275986747363323
2012-08-31,0.02644788970669638,0.02031854,0.02124017264898112,0.023859776752859264,0.024444130489509105,0.024444130489509105
2012-09-28,-0.017898016011431622,-0.010763630000000001,-0.027461228327238227,-0.02179380829604721,-0.02179380829604721,-0.02224897691029236
2012-10-31,0.005238729968061459,0.015524989999999999,0.006336597634599045,0.008432223320582664,0.007703582735071495,0.007703582735071495
2012-11-30,0.008483253839759184,0.008944339999999999,-0.016345102064687145,-0.012406588283512788,-0.023958745509630675,-0.023958745509630675
2012-12-31,0.05276717343160198,0.05270573,0.05264353780903272,0.05264353780903272,0.035105308623053284,0.035105308623053284
