,excess_contrib
NVDA,0.03873004122799182
AVGO,0.03323224303335107
META,0.02962638594052096
WMT,0.017105960833712804
JPM,0.015014125453180368
GE,0.014304273466173158
AMZN,0.012231737834116845
GOOG,0.011922358997878576
LLY,0.011627906394709748
APP,0.006359293752820921
