strategy,mo,ann,vol,sharpe,mdd,calm,panic
L/S  baseline (mom+pi),167,0.2109229699996329,0.19490226853756068,1.0826136742913888,-0.24289806310342585,0.8253609106617961,1.486137044740911
L/S  +log_me,167,0.18513940647542348,0.20034877286426025,0.9498778280689748,-0.2430022753968421,0.5674334383665617,1.5715241981308303
LongOnly baseline (mom+pi),167,0.295118528511942,0.27019887886868904,1.0943376729710694,-0.2822803824959741,0.8105301415666739,1.5132075463982173
LongOnly +log_me,167,0.25669025511566246,0.2503949938652787,1.0384807157273865,-0.30535416058816256,0.7120483774503893,1.4980338256255716
