year,uni_logme,long_logme,short_logme,long_pctile,short_pctile
2011,9.534073702621848,9.253247744322069,9.520307517021983,0.4145823614201421,0.4990111142880816
2012,9.563958485283012,9.364727339762455,9.410161731707413,0.43208737353414417,0.45635657748849523
2013,9.763159723740715,9.516017437315968,9.720711114502206,0.4183110745244381,0.49604796925529443
2014,9.926462406824028,9.764152801375113,9.799959678284052,0.45762354477292894,0.4627298521987062
2015,9.958398158222765,9.746629358057488,9.892740758075293,0.4386777869635346,0.4839402923770781
2016,9.924372191833735,9.618007345376826,9.839055365747539,0.4068225956954255,0.47584472582285514
2017,10.069728779281744,9.87824513218358,9.938504329665431,0.44531153649349947,0.4648723575029949
2018,10.149910636284526,9.955478982646786,10.051861617378627,0.43210095641465124,0.46675062202899514
2019,10.17553404867034,9.857735914862111,10.052701947080736,0.40377703752615624,0.4620398184918404
2020,10.225896919850603,10.02807223668091,10.074468720980908,0.44047007353555406,0.4569203972003306
2021,10.562602598723531,10.50873524066328,10.333774625244697,0.48282093447512214,0.4338358366978739
2022,10.483716612716037,10.3335273089036,10.370587629322225,0.4538389332727535,0.45786772719023333
2023,10.4866784078455,10.367937714706366,10.315435240778976,0.44817646828001817,0.4436760997365646
2024,10.638453742527354,10.52299378208371,10.47546224901222,0.45253217006692287,0.45107499827005776
