date,roll36_excess
2014-01-31,-0.01636295884959882
2014-02-28,-0.022503613786589716
2014-03-31,-0.03036085090460483
2014-04-30,-0.02151985566578629
2014-05-30,-0.02472223403951901
2014-06-30,-0.025041992682433678
2014-07-31,-0.01993338568107683
2014-08-29,-0.01233598715241857
2014-09-30,-0.013191583234333115
2014-10-31,-0.017619670203357085
2014-11-28,-0.01941032262761988
2014-12-31,-0.010550604948681874
2015-01-30,-0.008623883026061319
2015-02-27,-0.010560640324540072
2015-03-31,-0.02885119039993489
2015-04-30,-0.03141003291473832
2015-05-29,-0.027941639237202942
2015-06-30,-0.02496562552036996
2015-07-31,-0.019549149929376286
2015-08-31,-0.013454761318218211
2015-09-30,-0.014711642848024842
2015-10-30,-0.015887500670517474
2015-11-30,0.000372756165508914
2015-12-31,0.00232244310802332
2016-01-29,-0.0026292058972587906
2016-02-29,-0.012953073936285642
2016-03-31,-0.018722053503518077
2016-04-29,-0.013905963020862
2016-05-31,-0.010554418432347501
2016-06-30,-0.008645322247137432
2016-07-29,-0.00870269061082285
2016-08-31,-0.013185193296552766
2016-09-30,-0.012900392003459604
2016-10-31,-0.030748890512284244
2016-11-30,-0.02622543813222078
2016-12-30,-0.027727601453131134
2017-01-31,-0.026631861708996785
2017-02-28,-0.019866885571309778
2017-03-31,-0.013326302355178066
2017-04-28,-0.02060275493798991
2017-05-31,-0.01791581140433718
2017-06-30,-0.015586203360988371
2017-07-31,-0.01717055097405462
2017-08-31,-0.011528464591065268
2017-09-29,0.005167010399211414
2017-10-31,0.00267449733515579
2017-11-30,0.0035477945741098083
2017-12-29,0.009661286850922268
2018-01-31,0.01780564193749634
2018-02-28,0.01858843923347897
2018-03-29,0.03197551048089431
2018-04-30,0.027815880691450356
2018-05-31,0.0244675220482109
2018-06-29,0.0184737148195937
2018-07-31,0.018012142962613442
2018-08-31,0.014740208253910758
2018-09-28,0.00590322711714375
2018-10-31,0.007458684287452444
2018-11-30,0.004833729132126985
2018-12-31,0.010028420409488925
2019-01-31,0.020953257224294086
2019-02-28,0.030257243669659317
2019-03-29,0.02503679186867447
2019-04-30,0.03647306469834488
2019-05-31,0.028623064565142187
2019-06-28,0.027658238423706072
2019-07-31,0.037202185483551586
2019-08-30,0.027895702030059866
2019-09-30,0.02115643838999115
2019-10-31,0.029440500670135483
2019-11-29,0.022869457413972727
2019-12-31,0.032823253296383914
2020-01-31,0.03379305611784411
2020-02-28,0.042997467423283586
2020-03-31,0.035702117298489044
2020-04-30,0.03838189668330649
2020-05-29,0.0336750293199608
2020-06-30,0.0330672857616503
2020-07-31,0.030605480143234498
2020-08-31,0.024533514787236532
2020-09-30,0.006914619652204079
2020-10-30,0.010960602405830633
2020-11-30,0.017559212133541502
2020-12-31,0.019834638367735913
2021-01-29,-0.009609544660770797
2021-02-26,-0.021583127600099727
2021-03-31,-0.01990462260773096
2021-04-30,-0.0314112780082737
2021-05-28,-0.00635789366958095
2021-06-30,-0.0033469622520321263
2021-07-30,0.0003553905582647232
2021-08-31,-0.0035024355469444046
2021-09-30,0.010728683533941075
2021-10-29,0.0036763847510303815
2021-11-30,-0.0019720673422152224
2021-12-31,-0.011484694789210326
2022-01-31,-0.017203377511577855
2022-02-28,-0.025036558426416944
2022-03-31,-0.01674300985910704
2022-04-29,-0.018713441333259473
2022-05-31,-0.019000363972412004
2022-06-30,-0.021530705337778788
2022-07-29,-0.025220762409187913
2022-08-31,-0.014508615722039986
2022-09-30,0.014956221970131356
2022-10-31,0.01229682956749456
2022-11-30,0.023781600476772802
2022-12-30,-0.010234047557594939
2023-01-31,-0.017946290576796087
2023-02-28,-0.03931295165726556
2023-03-31,-0.025568980161270405
2023-04-28,-0.04755427686700375
2023-05-31,-0.0477539722134952
2023-06-30,-0.06055285499724883
2023-07-31,-0.045567625075202955
2023-08-31,-0.0348964053376668
2023-09-29,-0.028656367602358346
2023-10-31,-0.025956232934187473
2023-11-30,-0.024373382272653732
2023-12-29,-0.01856643499898003
2024-01-31,0.023402981702167924
2024-02-29,0.04287366430846862
2024-03-28,0.03909221109007932
2024-04-30,0.053602523892391174
2024-05-31,0.0432907717626656
2024-06-28,0.02607922403226648
2024-07-31,0.023594077832064242
2024-08-30,0.027163976601362938
2024-09-30,0.029732756523113357
2024-10-31,0.037624556729891845
2024-11-29,0.04697053747682034
2024-12-31,0.06914332826508973
2025-01-31,0.06752050165509882
2025-02-28,0.06787680186056444
2025-03-31,0.08237261345057445
2025-04-30,0.08623096513404382
2025-05-30,0.09531409984205341
2025-06-30,0.10456232781533537
2025-07-31,0.09905649312385467
2025-08-29,0.10656778599106698
2025-09-30,0.06710198316028193
2025-10-31,0.06612196006338023
2025-11-28,0.06093405900580895
