,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1. Dispersion (spread to capture),16.11670833333333,14.903867499999999,13.109920833333334,12.88219,14.298536666666664,15.721322500000001,13.559918333333332,15.693251666666667,15.613159999999999,21.0802025,18.581923333333332,19.946750833333336,18.32898416666667,17.256054166666665,19.407710833333333
2. Winner persistence (winners hold),13.0,9.0,22.0,22.0,21.0,7.000000000000001,15.0,21.0,16.0,28.999999999999996,21.0,19.0,4.0,27.0,22.0
3. Winner magnitude (top-3 bets paid),3.10809648193282,2.19189172337948,3.05369727624998,2.87317570094829,1.41388527277298,3.8874170720385703,6.735472086460099,1.99778813548247,4.43433716868065,10.87981493929127,5.33027440283635,5.17864730478584,8.692395804035739,10.15886702018638,6.61144889990309
4. Breadth (rest didn't drag),-6.06059046638402,-4.963319342776069,-1.44442802406707,-4.26193443600772,-0.3069015082117801,-11.29653898219096,3.2758045590113003,-0.7969780638281001,-4.96066147619254,-4.64511375131306,-13.02338789498366,-5.05416912003453,-4.598944172142929,7.752557458060311,-2.0682203025084798
OUTCOME: SPMO excess vs market,-2.9524939844511997,-2.7714276193965897,1.60926925218291,-1.38875873505943,1.1069837645612,-7.40912191015239,10.0112766454714,1.20081007165437,-0.52632430751189,6.23470118797821,-7.693113492147311,0.12447818475131,4.09345163189281,17.91142447824669,4.54322859739461
