label,months,n_calm,n_panic,ann_ret,vol,sharpe,mdd,calm_sharpe,panic_sharpe
Full universe,167,108,59,0.21092296999963267,0.19490226853756057,1.0826136742913886,-0.24289806310342577,0.825360910661796,1.4861370447409108
NYSE-median (~918/mo),167,108,59,0.07969335505496278,0.15486516605233178,0.5727115376086721,-0.1659921283747042,0.4171495374119255,0.8365290381626177
Top-3000,167,108,59,0.18067814030385043,0.20080582846875947,0.9311370995634523,-0.3369557418013238,0.42707526092647435,1.8887023163789958
Top-2000,167,108,59,0.15612680001990764,0.18369821395668132,0.8829497443986104,-0.19143060566339,0.5369342953747132,1.425862021971562
Top-1000,167,108,59,0.08318575483824842,0.15172767484686048,0.6029388693921489,-0.20670698357613498,0.2740359643665833,1.1637764326814681
Top-500,167,108,59,0.029770705088004723,0.14254805226389555,0.27689198077645466,-0.29828080200425117,-0.04890989997121755,0.7369756805264029
