year,uni_logme,long_logme,short_logme,long_pctile,short_pctile
2011,6.217908728569296,5.4638209392340995,5.792809103308234,0.39442157784841064,0.4372698721862322
2012,6.2892737477860825,5.406314017837854,6.058012868384739,0.3711512355298545,0.47030667155606
2013,6.510328658381229,5.794587223884762,5.915787996221932,0.4005331729461334,0.41510774621354707
2014,6.663394055399117,5.988357132938977,5.99138317285849,0.40517095028560224,0.4068416982623271
2015,6.686736064420196,5.842260817793698,6.4872245037424285,0.38117440265124675,0.4723843694478784
2016,6.6249482320640665,5.375798212144482,6.646937513507194,0.3261177205771102,0.5053002129140716
2017,6.7552113028404905,5.680143639642154,6.463259963008105,0.351997404130928,0.46120922377761947
2018,6.849400541444996,5.796785662901246,6.677395678137242,0.3590506611510306,0.47821545685967
2019,6.821002667011309,5.471321058771486,6.399214656204769,0.3201653731815847,0.443299032659706
2020,6.769027668245602,5.5428916560986226,6.546782362129334,0.337306240585784,0.47108062718925897
2021,7.131110138073698,6.613838498759141,6.646938735209324,0.425119070220012,0.4358436341876047
2022,6.913471893859952,5.627930385657226,7.0141937850013845,0.3257234118387884,0.5139488358729581
2023,6.73312704741756,5.321674146999003,6.721505921631102,0.3263885333284388,0.4956313591991705
2024,6.85570769441747,5.664726994112406,6.7011744800580235,0.3627705003236661,0.4823105305000348
