dp,spmo,oracle,n,gap
2011-03-01,-0.15067347907824313,0.10811599803490024,6.0,0.2587894771131434
2011-09-01,0.2218761440316963,0.5138491202099991,6.0,0.29197297617830276
2012-03-01,0.06185651317560881,0.20246929715488804,6.0,0.14061278397927923
2012-09-01,0.06187921805251739,0.3791690381708124,6.0,0.317289820118295
2013-03-01,0.08639432507552236,0.32924564977434434,6.0,0.24285132469882198
2013-09-01,0.11788408861063537,0.3212731383884919,6.0,0.20338904977785655
2014-03-01,0.07898483521918731,0.281593467180395,6.0,0.2026086319612077
2014-09-01,0.03554589039180467,0.33575217434474935,6.0,0.3002062839529447
2015-03-01,-0.04391449107698042,0.149712965618648,6.0,0.19362745669562842
2015-09-01,0.03718257574069184,0.2527971709406507,6.0,0.21561459519995885
2016-03-01,0.06363318049545197,0.3362218654887932,6.0,0.2725886849933412
2016-09-01,0.08267448261574395,0.33969329805520254,6.0,0.2570188154394586
2017-03-01,0.12649475650368713,0.30263776421088395,6.0,0.17614300770719682
2017-09-01,0.13910491803388947,0.3336265307017179,6.0,0.19452161266782841
2018-03-01,0.12304974679213454,0.3338232336826821,6.0,0.21077348689054753
2018-09-01,-0.015205733187621195,0.1947738141351536,6.0,0.2099795473227748
2019-03-01,0.049481092475227806,0.23333166303834774,6.0,0.18385057056311993
2019-09-01,-0.08486188531590766,0.1820191788709542,6.0,0.26688106418686186
2020-03-01,0.3311442880150257,0.961066764973681,6.0,0.6299224769586553
2020-09-01,0.10741015443856994,0.713354952691458,6.0,0.605944798252888
2021-03-01,0.15658707967038432,0.36581359141666336,6.0,0.20922651174627904
2021-09-01,-0.01605790186550715,0.35594669300758675,6.0,0.3720045948730939
2022-03-01,-0.18897182855395034,0.04305469901418135,6.0,0.2320265275681317
2022-09-01,0.09110532884036027,0.5467517842929659,6.0,0.4556464554526056
2023-03-01,0.06479662945884512,0.31140328758728586,6.0,0.24660665812844074
2023-09-01,0.4421507198199379,0.6007251368308222,6.0,0.15857441701088426
2024-03-01,0.12004084501715684,0.33568628151316937,6.0,0.21564543649601253
2024-09-01,0.02224165690366986,0.2959370909479615,6.0,0.27369543404429164
