date,S&P500 proxy (cap-wt),SPMO replica (risk-adj),Your algo (SPMO-style)
2011-01-31,0.03189546653454348,0.033322877337221286,0.016826429100433873
2011-02-28,0.0003876549936607295,0.010602988580859826,0.005800516909805786
2011-03-31,0.029192111449753953,0.031072681477233553,0.01284218144157963
2011-04-29,-0.011971980137319364,-0.016088647104508982,-0.018001444735013965
2011-05-31,-0.016063442387506666,-0.0088524558764155,-0.022276108794588394
2011-06-30,-0.0198912474341139,-0.011117088724645015,-0.022022642139438924
2011-07-29,-0.053704251332021134,-0.06515056184605209,-0.08143520995922364
2011-08-31,-0.06741667236047187,-0.0862979886009599,-0.15285859219262213
2011-09-30,0.10543862035069146,0.09337750878066271,0.2049426081317211
2011-10-31,-0.0016323432461111604,0.011180968034033602,-0.015904008821020617
2011-11-30,0.009067269009925107,0.0029589281131846288,-0.027743916554529097
2011-12-30,0.04512074081127036,0.02366090618693417,0.10580443528250312
2012-01-31,0.044354861935567966,0.04336170893163117,0.05468821136190709
2012-02-29,0.0335883458707837,0.03170135757453627,0.007157162825346894
2012-03-30,-0.007260722619291609,0.013187445494107403,-0.040922144243717956
2012-04-30,-0.05909900838928117,-0.02949690386380748,-0.12339750206447705
2012-05-31,0.039384751311731955,0.027110145437540662,0.03494644705655407
2012-06-29,0.012155508861575109,0.013373764466593467,-0.007405543172745606
2012-07-31,0.02327376772239389,0.01276016588730049,0.04303106433454298
2012-08-31,0.02608821125841053,0.02444405885850066,0.039667443912068716
2012-09-28,-0.017920060747968522,-0.022248959592705817,-0.018664195682033702
2012-10-31,0.00510080552018756,0.007703582735071493,0.0010504741449618852
2012-11-30,0.008525351152181749,-0.023958745509630678,0.03866099199143081
2012-12-31,0.052537211389881905,0.035105308623053284,0.0778179701088146
2013-01-31,0.01317127797984437,0.01876403946886111,-0.007803900990696802
2013-02-28,0.03858003924805723,0.04709894627707505,0.03414667662409135
2013-03-28,0.01881980335558591,0.018135535899282584,0.0009362877112859722
2013-04-30,0.024760963100238342,0.017136772042368107,0.037811043557259935
2013-05-31,-0.013381443442395889,-0.014920190336820958,-0.032565222947022264
2013-06-28,0.05185717799695157,0.04976901354388459,0.0776568982698255
2013-07-31,-0.02773966443874654,-0.031325741539879125,-0.015440445530178388
2013-08-30,0.03158033244173595,0.04776218393837845,0.04222813057886585
2013-09-30,0.04396189735782325,0.036878274543440615,0.04072696127943123
2013-10-31,0.030731219165570138,0.0407588336507481,0.0408223889943647
2013-11-29,0.02621975141443612,0.021582424911015776,0.02799237456274978
2013-12-31,-0.03447502549240719,-0.027572330785727166,0.0029063105959120455
2014-01-31,0.045843692921743576,0.04520614516882568,0.06150640511233174
2014-02-28,0.0075783269150908866,-0.0023315943469287906,-0.03972803891828748
2014-03-31,0.005060453262146269,-0.017012042298249538,-0.0015650625430030664
2014-04-30,0.023097098792338528,0.04617855100202249,0.0444162181668761
2014-05-30,0.020135706307974052,0.01760876547237226,0.04097185052343275
2014-06-30,-0.01311197968463311,-0.0054497475262983985,-0.024355422878669635
2014-07-31,0.04127491193855853,0.046039276312401685,0.04219226082978721
2014-08-29,-0.013106477663643739,-0.008926716769544851,-0.03860384853306008
2014-09-30,0.02339617351611278,0.008763154544550584,0.025620026525329395
2014-10-31,0.029651606703916145,0.029132646729251168,0.019079982745330404
2014-11-28,-0.0033364192402514084,-0.01462095216929474,-0.004071487497473689
2014-12-31,-0.03086068708338333,-0.025718797282031483,-0.01906331524109042
2015-01-30,0.05939516597316416,0.06315082651043738,0.06139302445339624
2015-02-27,-0.016398209320760075,-0.022703699638793207,-0.01933117126796064
2015-03-31,0.009578319701273161,-0.025429033690994966,-0.018053855963705626
2015-04-30,0.01281558341967211,0.033991971739599475,0.03850546982323748
2015-05-29,-0.017754080516708192,-0.019269955860491152,-0.012463832543012199
2015-06-30,0.018889776753736324,0.03157507331901034,0.013608324328714394
2015-07-31,-0.060534234387461076,-0.05450301388568511,-0.05117550301697215
2015-08-31,-0.025277009993654828,-0.00812799704967662,-0.04124673745551698
2015-09-30,0.08087398931867468,0.07275781339536608,0.07262708017907074
2015-10-30,0.002948695419820403,0.0018298530068955338,0.004099582497058225
2015-11-30,-0.017166976003504624,-0.0007606305512574611,-0.014443412204976863
2015-12-31,-0.052745524120428156,-0.06467091341156445,-0.06500143044803143
2016-01-29,-0.0015402909786065367,-0.011132154740025046,-0.005343500531998674
2016-02-29,0.06669856058644133,0.04420874229159249,0.05723146097129138
2016-03-31,0.006446229308674464,-0.011652075100803995,0.03104870852987991
2016-04-29,0.018034866493517654,0.024874524899203533,0.02522993624903907
2016-05-31,0.001557440594192375,0.009470256155616264,-0.040656930747143334
2016-06-30,0.037560663543754105,0.03970788011646011,0.052011702091479074
2016-07-29,0.0028924225926610283,-0.0014685599249458514,0.03453081418920351
2016-08-31,0.0005184128643453544,0.0019469269845734734,0.020413586507484763
2016-09-30,-0.015802715323435492,-0.022025980607041307,-0.03547905010940503
2016-10-31,0.03995714553830842,-0.0037035602029536416,0.03126020104216281
2016-11-30,0.01885186532927598,0.028113110361865135,0.009590511335738527
2016-12-30,0.02078664939278256,0.023204803028677685,0.02979646954460436
2017-01-31,0.03934675396584977,0.04192085149769684,0.023551963085688653
2017-02-28,0.0015202659683274764,0.01378020809228708,0.022423781706179122
2017-03-31,0.011721364976076402,0.009353935947357075,-0.0010702402830387986
2017-04-28,0.015658109111492683,0.016773529057190224,0.022893137772229243
2017-05-31,0.004788434693409799,0.010521091943425962,0.004074694038421878
2017-06-30,0.021371891233592285,0.03642686015189308,0.02854220844825828
2017-07-31,0.00486976475850495,0.004745694060553717,-0.010624029070126231
2017-08-31,0.021099636220547124,0.04308876211391301,0.04415260939051901
2017-09-29,0.02541748008270912,0.0615610326283511,0.025649618056000734
2017-10-31,0.03248100649012843,0.024233801950083022,0.02803655379302373
2017-11-30,0.012342035269163599,0.0037192619279738173,0.0329294111681932
2017-12-29,0.06111129762064741,0.08464395660755988,0.07773250742622374
2018-01-31,-0.03505275489342795,-0.006574893020424323,-0.027075293476906473
2018-02-28,-0.026853056719167375,-0.03130944982781294,-0.03253754338921719
2018-03-29,0.004335793441097963,0.00786993352953608,0.01658360058119006
2018-04-30,0.024031587740956886,0.03301071542797316,0.05099945595328125
2018-05-31,0.005540339110416439,-0.005505416908116777,0.006327228344359414
2018-06-29,0.03742898346520077,0.03018474173666936,-0.0038619050222720467
2018-07-31,0.03543184423002149,0.039867697251170425,0.050753202695788334
2018-08-31,0.0056857947771094056,0.012497724100926614,-0.012803698328217806
2018-09-28,-0.06884888990591763,-0.10266856954641901,-0.1239391093311203
2018-10-31,0.018305315224734765,0.02218028049734278,-0.009796861373895406
2018-11-30,-0.09014757742501402,-0.08177742910108403,-0.0801661383717487
2018-12-31,0.08099865160984394,0.08404446744682942,0.1281829451027058
2019-01-31,0.03307098981070964,0.05583160020426721,0.05092159668941173
2019-02-28,0.017427452378013093,0.021587137043742786,0.008455932098846462
2019-03-29,0.04244160749092763,0.009491475026975102,0.02301765230037107
2019-04-30,-0.06465447397257931,-0.02414517880522573,-0.0695959849333247
2019-05-31,0.06943187092890957,0.05518302081903581,0.08050852150707624
2019-06-28,0.015263396079429628,0.014655364466936969,-0.009111725487613923
2019-07-31,-0.018788688527979512,0.004978694718590383,-0.03939052139666839
2019-08-30,0.017647999581597983,-0.009889774318639556,-0.005951580214443475
2019-09-30,0.0234609764873861,-0.002178686303045205,0.01751139956637874
2019-10-31,0.039091399907967554,0.018705200251695104,0.03895801454140674
2019-11-29,0.028606141760863055,0.018743056069551768,0.025791923195334604
2019-12-31,0.004171126859056303,0.03611881847259169,0.027723282437334275
2020-01-31,-0.0794552648520177,-0.07387776598938504,-0.07304058189123615
2020-02-28,-0.11811454905352703,-0.0790356688221201,-0.15833490510058545
2020-03-31,0.13240194948643005,0.10924714064497541,0.1454163900241991
2020-04-30,0.05186479252818653,0.06108327153301279,0.05231642124108646
2020-05-29,0.022950398195876673,0.01600406021952095,0.03483935869356146
2020-06-30,0.061342422880404646,0.0744369293896573,0.07046190112861633
2020-07-31,0.07911496825001875,0.07175360816268997,0.12219741526733993
2020-08-31,-0.03968314485746352,-0.03333493744756762,-0.04810388583423456
2020-09-30,-0.026724393616480095,-0.04311202252646664,-0.03457200726436302
2020-10-30,0.11643160618740739,0.12034861009383854,0.11029461357892702
2020-11-30,0.0413922100574488,0.05280960784739838,0.03078016278844357
2020-12-31,-0.008526631828405679,0.022320886351665604,-0.0011448859974637824
2021-01-29,0.023526272151732537,-0.03458766663997526,0.019696311455343986
2021-02-26,0.03622132124948855,-0.00586741807464716,0.007364291022557782
2021-03-31,0.053905468632336646,0.06262122262768717,0.05132328561085243
2021-04-30,0.0033879931517057185,-0.022759368357269792,0.00821789128534151
2021-05-28,0.028405514189107896,0.09579542078434855,0.028698322344222506
2021-06-30,0.02199461881145285,0.02382421768256665,0.019877921981083103
2021-07-30,0.029718580343942175,0.04576742399131507,0.03337011157474188
2021-08-31,-0.046041566776081524,-0.05068936416242269,-0.04742798682418557
2021-09-30,0.0699785268087562,0.07814510123978365,0.024515594442720834
2021-10-29,-0.009904718365033269,-0.027006808026548815,-0.05081509671933266
2021-11-30,0.035800171470157266,0.02579961817928381,0.050564272134185524
2021-12-31,-0.05394529403643898,-0.0802744982013106,-0.0004608124636056131
2022-01-31,-0.02779260811942684,-0.02177628776220023,-0.010041733592300902
2022-02-28,0.036117824765348215,0.016303869763469894,0.01318010286299818
