permno,avg_wt,pct_months,avg_wt_when_held
14593,0.05136673097833771,0.16167664670658682,0.3177127434586073
84788,0.046639611459814816,0.23353293413173654,0.1997132080458737
86580,0.04054735118181493,0.38922155688622756,0.1041755022671245
13407,0.029686137752196914,0.24550898203592814,0.12091670742968011
93436,0.016215068487029586,0.25748502994011974,0.06297480086823118
59408,0.015444850429487657,0.1377245508982036,0.11214304442280168
89393,0.013580093495583569,0.40718562874251496,0.03335111196709494
77274,0.012357302664698406,0.20359281437125748,0.060696163088371585
19561,0.011436165367924966,0.20958083832335328,0.05456684618409913
10107,0.010271741495603507,0.03592814371257485,0.2858968049609643
90319,0.00972361342120844,0.09580838323353294,0.10149021508386309
70519,0.009570178673185626,0.11976047904191617,0.07991099192109997
50876,0.008160653994440287,0.11976047904191617,0.06814146085357639
14542,0.00770032513694078,0.0718562874251497,0.1071628581557592
59328,0.007537196851453003,0.1437125748502994,0.05244632809136048
55976,0.007122099458721877,0.059880239520958084,0.11893906096065535
15488,0.006826521342924765,0.17365269461077845,0.03931134704373917
38703,0.006740221002142242,0.08383233532934131,0.08040120766841104
65875,0.006206036133953089,0.08383233532934131,0.0740291453121547
11552,0.006174735281836285,0.1437125748502994,0.04296586633611082
12060,0.006067274585347326,0.17964071856287425,0.033774495191766785
53613,0.005947162971061914,0.3532934131736527,0.016833495189276942
86868,0.005882214585661878,0.11377245508982035,0.0517015703055544
93002,0.005820507054406591,0.08383233532934131,0.06943033414899291
69032,0.005815511042767009,0.15568862275449102,0.03735347477469579
90215,0.005790553039059269,0.16167664670658682,0.03581564287121844
26403,0.005575284637229175,0.09580838323353294,0.05819203340107951
75510,0.0055484596744481435,0.1377245508982036,0.040286641984036524
61241,0.005404326328890977,0.25748502994011974,0.02098889527732077
90505,0.005379973250904335,0.19161676646706588,0.028076735403157
77178,0.0052146865795799045,0.11377245508982035,0.04583435046262337
47896,0.005209085080062071,0.03592814371257485,0.144986201395061
76841,0.005167894962596149,0.19161676646706588,0.02696995183604865
86783,0.005053516762328061,0.16167664670658682,0.031256937011436524
27828,0.004942766427173284,0.17365269461077845,0.02846351701165305
91233,0.00469761309500814,0.07784431137724551,0.06034626052818149
22752,0.0046805380822734595,0.059880239520958084,0.07816498597396677
85269,0.0044437063615686175,0.25748502994011974,0.017258115404231607
92655,0.004354912022375717,0.05389221556886228,0.08080781197074942
11850,0.004295651586258906,0.041916167664670656,0.10248197355789104
13928,0.0042748474604615855,0.12574850299401197,0.0339952155189088
76614,0.004272934652427092,0.2934131736526946,0.014562858917455603
66093,0.004241718414437262,0.04790419161676647,0.08854587190137785
18542,0.004133931499129116,0.09580838323353294,0.043147910022160146
77702,0.004063929230718355,0.10778443113772455,0.037704232307220295
81774,0.004039667288340404,0.24550898203592814,0.016454254564703598
66181,0.004003855872032748,0.059880239520958084,0.06686439306294689
14702,0.003993911982807748,0.20359281437125748,0.0196171559155557
70332,0.0037702737265693387,0.16167664670658682,0.023319841197669614
19393,0.0037002933106660154,0.0658682634730539,0.056177180261929506
13721,0.003663621121962437,0.059880239520958084,0.0611824727367727
23819,0.003584000009276606,0.1317365269461078,0.027205818252236055
25785,0.0035073706037715003,0.09580838323353294,0.03660818067686503
75825,0.003506519892127577,0.11976047904191617,0.02927944109926527
14541,0.0035037210544574668,0.029940119760479042,0.1170242832188794
82800,0.0033996161494213506,0.19760479041916168,0.017204118089495925
13447,0.0033647460919765,0.2275449101796407,0.014787173614738828
64186,0.0033460354184091864,0.1377245508982036,0.0242951267336667
92611,0.003343184445165228,0.04790419161676647,0.06978897529282413
92221,0.003294299757052136,0.2934131736526946,0.011227511416891975
91926,0.0032863612902161612,0.2275449101796407,0.01444269303858155
76744,0.0032771805382073643,0.23952095808383234,0.013682228747015746
38156,0.0031624648118387722,0.17365269461077845,0.018211435295761205
61399,0.0031596355308912607,0.10179640718562874,0.03103877256816709
34833,0.003085456231466348,0.1497005988023952,0.020610847626195205
75241,0.0030778484378028055,0.19760479041916168,0.015575778457971774
10104,0.003073269010683806,0.05389221556886228,0.057026213864910615
21936,0.003008762985516348,0.03592814371257485,0.08374390309687169
12308,0.002995498193756377,0.17964071856287425,0.01667493994524383
66800,0.002982481807896961,0.07784431137724551,0.03831342014759943
88446,0.00297859925330977,0.281437125748503,0.010583533517079396
40539,0.002958102944495717,0.11377245508982035,0.02600016798583078
88352,0.0029506517017104375,0.15568862275449102,0.018952262853293964
12558,0.0029404584372419228,0.10778443113772455,0.027280919945522283
76076,0.002893843518803915,0.03592814371257485,0.08054531127337562
21207,0.0028469567702269624,0.20958083832335328,0.013584050875082935
77605,0.0028327765233002924,0.17964071856287425,0.015769122646371626
14008,0.002810187370940669,0.059880239520958084,0.04693012909470917
28484,0.002789054679911184,0.15568862275449102,0.01791431275173722
91068,0.0027808844182248458,0.2754491017964072,0.010095819518338028
48486,0.002748301639518115,0.19760479041916168,0.013908071933318946
57665,0.002697926270945854,0.08383233532934131,0.032182406231996974
12872,0.002683553356766614,0.1497005988023952,0.017926136423200983
12622,0.002630801952000051,0.16167664670658682,0.016271997258666984
83435,0.0025915111682018833,0.11377245508982035,0.022778019215248132
19502,0.0025682821344545905,0.10778443113772455,0.02382795091410648
89525,0.002567199108249283,0.041916167664670656,0.06124603586823289
49154,0.002541251788792796,0.11377245508982035,0.022336265722547204
91103,0.0025345908598766852,0.2874251497005988,0.008818264033320969
86356,0.00252871591650014,0.11377245508982035,0.02222608200292228
91983,0.002462411152960106,0.2215568862275449,0.011114126014711827
79678,0.0023908485336264426,0.1497005988023952,0.015970868204624636
62092,0.002371353217695423,0.0718562874251497,0.03300133227959464
66384,0.0022985306773598627,0.25748502994011974,0.008926851700444117
19350,0.0022653348762751778,0.0658682634730539,0.034391902212541334
75828,0.002257273541683655,0.2275449101796407,0.00992012319634659
75186,0.0022223341267047256,0.08383233532934131,0.026509271368549223
24205,0.002199692562127873,0.0658682634730539,0.03339533253412316
14040,0.0021984268048375858,0.1377245508982036,0.015962490278603338
86158,0.0021272268299562316,0.11976047904191617,0.017762344030134537
43449,0.0021215012295894807,0.03592814371257485,0.05904845089024055
58683,0.002058603343692254,0.16766467065868262,0.012278098514164514
87137,0.0020267690761765008,0.1437125748502994,0.01410293482172815
39490,0.002026477709808039,0.11377245508982035,0.017811672501996972
15069,0.0020252615720099515,0.15568862275449102,0.013008410866371611
83111,0.0020229528572218787,0.1317365269461078,0.01535605123436608
89179,0.0019862970252477186,0.0658682634730539,0.03015560029239718
89533,0.0019834882685485816,0.23353293413173654,0.008493398483272132
18576,0.0019794341511984643,0.10179640718562874,0.01944502960294962
15826,0.0019762637745274294,0.19760479041916168,0.010001092434729719
13356,0.0019672450757158323,0.08982035928143713,0.021901995176302935
87657,0.0019597273315676783,0.17365269461077845,0.011285326357648355
21178,0.0019570027317771742,0.059880239520958084,0.03268194562067881
13901,0.001956515237179992,0.041916167664670656,0.046676863515579814
92203,0.001933373876676787,0.2694610778443114,0.007174965275667188
76226,0.0019321085285130583,0.17365269461077845,0.011126280146954508
48653,0.0019272659353342107,0.11976047904191617,0.01609267056004066
45911,0.0019268039251883627,0.24550898203592814,0.007848201353816014
24643,0.0019132786531667189,0.2215568862275449,0.00863560905618492
79906,0.001909105992207903,0.23353293413173654,0.008174889761505636
18163,0.0018952019976474317,0.017964071856287425,0.10549957786904036
62148,0.0018777872941381423,0.07784431137724551,0.02412234447085152
17005,0.0018774333386690325,0.0658682634730539,0.02850285159615713
60628,0.0018491861033589458,0.10179640718562874,0.018165534074173175
90386,0.0018405172523112694,0.1317365269461078,0.013971199142544634
12490,0.0018242758855635682,0.029940119760479042,0.06093081457782318
24766,0.0017994634159649984,0.09580838323353294,0.01878189940413467
75034,0.001770577163087315,0.11377245508982035,0.015562441380820085
82598,0.0017580737118974975,0.19161676646706588,0.009174947183965065
84723,0.0017504799412466656,0.20359281437125748,0.008597945593770386
17478,0.0017443809013588988,0.08383233532934131,0.020807972180495436
49680,0.0017328025560453297,0.04790419161676647,0.036172253357446255
72726,0.001727801986970478,0.10179640718562874,0.01697311363670999
78975,0.0017265983636090088,0.059880239520958084,0.02883419267227045
79588,0.0017180319043661443,0.16167664670658682,0.010626345482560966
13511,0.0017155350564250005,0.17964071856287425,0.00954981181409917
92602,0.0017082866609327094,0.029940119760479042,0.05705677447515249
84032,0.0016883844639857784,0.09580838323353294,0.017622512842851563
82642,0.0016557306881293033,0.1317365269461078,0.012568501132617893
90664,0.001621868303684892,0.20359281437125748,0.007966235491628735
91937,0.0016187570839912215,0.08982035928143713,0.018022162201768933
81481,0.0016167468485184919,0.17964071856287425,0.008999890790086272
16678,0.0016011667218739228,0.10179640718562874,0.015729108385467358
88860,0.001581027461177374,0.2155688622754491,0.00733421072268393
18312,0.0015559772229991548,0.11976047904191617,0.012992409812042943
77730,0.0015520255656548214,0.1437125748502994,0.010799511227681467
14714,0.0015210820271447285,0.18562874251497005,0.008194216081715151
13628,0.0014829704032407924,0.1497005988023952,0.009906242293648494
76082,0.0014798637394250484,0.17365269461077845,0.008521973947723555
14295,0.0014625832370135483,0.12574850299401197,0.011631019075298217
87055,0.001456977375597752,0.041916167664670656,0.034759317389260656
89258,0.0014439053734003745,0.059880239520958084,0.024113219735786253
35044,0.0014294551026352307,0.17365269461077845,0.008231689728968396
85914,0.0014232233121929925,0.18562874251497005,0.007667041714071928
