year,excess,top3_contrib,top3_share_of_excess,pos_HHI
2011,-0.02952493984451203,0.031080964819328295,-1.0527020540265553,0.018435125405031713
2012,-0.02771427619396594,0.02191891723379489,-0.7908890378514436,0.023064311307446062
2013,0.016092692521829155,0.03053697276249983,1.8975676519685896,0.02356149797865989
2014,-0.013887587350594342,0.028731757009482942,-2.0688803810298495,0.029302505732743185
2015,0.011069837645612098,0.014138852727729852,1.277241200853046,0.012207856923386249
2016,-0.07409121910152391,0.038874170720385764,-0.5246798634412833,0.0596648148754795
2017,0.10011276645471408,0.06735472086460105,0.672788528874276,0.037029756859805196
2018,0.012008100716543794,0.019977881354824745,1.6637003491568678,0.017689177644225833
2019,-0.0052632430751189015,0.04434337168680654,-8.425104266309187,0.03591304842363321
2020,0.06234701187978211,0.10879814939291271,1.745041921218261,0.059513649407056265
2021,-0.0769311349214731,0.05330274402836355,-0.6928630922028114,0.06833772950190763
2022,0.0012447818475131503,0.05178647304785846,41.602850452325036,0.03261985768729926
2023,0.04093451631892815,0.0869239580403574,2.1234880940846415,0.06845519442941997
2024,0.17911424478246696,0.10158867020186384,0.5671724788011282,0.047542349734845446
2025,0.045432285973946135,0.06611448899903098,1.4552313972698927,0.0487658873080294
