date,alpha_ann,umd
2014-01-01,-0.03478481439218158,0.38583813009100904
2014-02-01,-0.034442225608444565,0.38106593402587996
2014-03-01,-0.02633537005738843,0.37097093512052126
2014-04-01,-0.02705747794756901,0.3717211013144202
2014-05-01,-0.023661333442496848,0.3893410289391126
2014-06-01,-0.026907009305025105,0.38880494538518684
2014-07-01,-0.0288846967830199,0.39493230561311626
2014-08-01,-0.020774943684185553,0.3813157063862404
2014-09-01,-0.005678913317331849,0.3367521714413487
2014-10-01,-0.014229152854646364,0.3530386322591996
2014-11-01,-0.015560101854504245,0.35739953507806865
2014-12-01,-0.01610569249021511,0.3580831314398335
2015-01-01,-0.03354554750249691,0.45558274719310066
2015-02-01,-0.025193707471316242,0.3825450449681266
2015-03-01,-0.028851453556463666,0.3866726943097394
2015-04-01,-0.03651113331517475,0.40537184483089694
2015-05-01,-0.04351505903461905,0.3836988762826957
2015-06-01,-0.044691795049388375,0.3742850698643302
2015-07-01,-0.04211399527698595,0.26295580952689307
2015-08-01,-0.028077112135187786,0.25759766037525894
2015-09-01,-0.028290746831059095,0.2681622942162396
2015-10-01,-0.028184188960996535,0.26577536228008625
2015-11-01,-0.03164643071630333,0.26659733365222726
2015-12-01,-0.021829169339236888,0.26660450056224555
2016-01-01,-0.026904223005719805,0.25115537318408615
2016-02-01,-0.027750211575241518,0.24767977321761483
2016-03-01,-0.03072601618130837,0.2533424797470216
2016-04-01,-0.030927099341659114,0.2534577723819298
2016-05-01,-0.030375894243943588,0.2529044530389572
2016-06-01,-0.03057697544043433,0.25294668565443146
2016-07-01,-0.024620633647006295,0.23967615821050414
2016-08-01,-0.019077742798960254,0.23137297345309746
2016-09-01,-0.019798060679445173,0.21815939070514176
2016-10-01,-0.01986864715218604,0.21489971627586182
2016-11-01,-0.02899298852835058,0.18462197798883054
2016-12-01,-0.02203396941596538,0.1963699197991531
2017-01-01,-0.023013611013264254,0.19663084349967172
2017-02-01,-0.02195854688171555,0.20114044301985484
2017-03-01,-0.018328172400199752,0.1809278393082323
2017-04-01,-0.015047357266107172,0.16558589388589806
2017-05-01,-0.02277492989109036,0.14184564619338555
2017-06-01,-0.018644457286169258,0.1440100800226056
2017-07-01,-0.017878657616701578,0.1596610471573537
2017-08-01,-0.02195550349834363,0.14768598612567976
2017-09-01,-0.012900783608506775,0.16978225732837243
2017-10-01,-0.0029948423741735525,0.21280763043164957
2017-11-01,-0.0026069892788767035,0.21040154428703564
2017-12-01,-7.772505779406799e-05,0.22005519029649645
2018-01-01,0.002273530430604486,0.24224522551893976
2018-02-01,0.009128545093330845,0.25006195197907644
2018-03-01,0.014620261562851717,0.2681426583780727
2018-04-01,0.022951173388291033,0.21274198038024109
2018-05-01,0.020400033200688873,0.19404215331860175
2018-06-01,0.0201354650881965,0.22265954184300846
2018-07-01,0.02290118862488596,0.31569893376163116
2018-08-01,0.010678573280969775,0.3038832220678972
2018-09-01,0.012565870721409779,0.29952973335512356
2018-10-01,-0.003444329651018124,0.34145287379744166
2018-11-01,0.0028346531113704184,0.35735221917634086
2018-12-01,0.005950635987513482,0.3537419466257422
2019-01-01,0.012209832888722297,0.28702332225267324
2019-02-01,0.015894918689402366,0.30202686532711537
2019-03-01,0.015494611945345406,0.2817288818906744
2019-04-01,0.009863379384665836,0.3167495153587926
2019-05-01,0.018245861978458944,0.37328044920937165
2019-06-01,0.019718791077595894,0.3956993963816446
2019-07-01,0.01425708899153621,0.38757880760023905
2019-08-01,0.007444187885972484,0.3826345431881728
2019-09-01,0.01326612612091411,0.3643036205603403
2019-10-01,0.005448967789697185,0.40252488769638645
2019-11-01,0.025552032847038837,0.48958711616116846
2019-12-01,0.01861737197348287,0.48449781963884786
2020-01-01,0.01881091706733884,0.4854423018713854
2020-02-01,0.020739896792055686,0.4766291987657398
2020-03-01,0.011051413629217357,0.3999467312245023
2020-04-01,0.012993882129321208,0.4060933754333456
2020-05-01,0.01297086389511963,0.402084182876222
2020-06-01,0.009587837461805967,0.4023114123840139
2020-07-01,0.003370029655503385,0.36077147197163617
2020-08-01,0.006732920239008145,0.3634970953278377
2020-09-01,-0.021830748148386505,0.32516015437682344
2020-10-01,-0.036765995449538444,0.2823180517829622
2020-11-01,-0.02698483798115167,0.20929429904133065
2020-12-01,-0.02317775001903815,0.2097836918782248
2021-01-01,-0.01756786900596949,0.2349979319739218
2021-02-01,-0.04378948694570992,0.23634139453190262
2021-03-01,-0.0402182003820125,0.23553134091106384
