date,turnover
2011-03-31,0.41986006474355214
2011-09-30,0.7594342498991089
2012-03-30,0.6276133504080307
2012-09-28,0.45436733153114384
2013-03-28,0.6410438572568826
2013-09-30,0.7037886078342402
2014-03-31,0.6296678684733266
2014-09-30,0.6571933809823817
2015-03-31,0.6677409493124623
2015-09-30,0.5650071958664937
2016-03-31,0.6892683190868413
2016-09-30,0.5072148449911521
2017-03-31,0.8707066119140939
2017-09-29,0.5921566970132086
2018-03-29,0.6116920265149145
2018-09-28,0.5973063463470839
2019-03-29,0.6585835505450506
2019-09-30,0.5487435692514518
2020-03-31,0.5109971468999983
2020-09-30,0.6747548150384274
2021-03-31,0.34269094493246294
2021-09-30,0.8664718529980711
2022-03-31,0.6810943569458369
2022-09-30,0.5787709625907489
2023-03-31,0.48321386547948203
2023-09-29,0.8165810841865616
2024-03-28,0.5001400620903863
2024-09-30,0.5093524377252494
2025-03-31,0.44851190244234646
2025-09-30,0.5708280902278839
