date,rule,combo,strat_ret,bench_ret,pi
2025-12-31,rule_r,DD,0.009731700874597644,0.010926003888449934,0.004069700970785637
2026-01-31,rule_r,DD,0.023267677121390315,-0.006380036864688931,0.004069700390418885
2026-02-28,rule_r,DD,-0.04838923747559025,-0.048468584431555065,0.004069700359614563
2026-03-31,rule_r,DD,0.25820200976532187,0.09892049878560713,0.32114131571531224
2026-04-30,rule_r,DD,0.20503232965239576,0.05583611114496334,0.026565212789171275
2026-05-31,rule_r,DD,0.06925128242877582,-0.006901540364245695,0.005285219622001764
2025-12-31,argmax,DD+DISP+TERM,-0.03235757135612945,0.010926003888449934,0.003210564907887142
2026-01-31,argmax,DD+DISP+TERM,-0.031709957146756375,-0.006380036864688931,0.001710240082343826
2026-02-28,argmax,DD+DISP+TERM,-0.047430379674235315,-0.048468584431555065,0.0038399950169673873
2026-03-31,argmax,DD+DISP+TERM,0.2505585925471709,0.09892049878560713,0.5279771145284708
2026-04-30,argmax,DD+DISP+TERM,0.18541836055442407,0.05583611114496334,0.04043974425891917
2026-05-31,argmax,DD+DISP+TERM,0.04428782034941549,-0.006901540364245695,0.0014947371032133616
