max_depth,learning_rate,n_estimators,fold,n_seeds,fee,val_sharpe,n_val_months,elapsed_sec
3,0.05,200,1,1,0.001,1.1623580640686106,24,3.8494439125061035
3,0.05,200,2,1,0.001,0.40375795366899003,24,5.294549942016602
4,0.05,200,1,1,0.001,1.2811656285801039,24,4.362720966339111
4,0.05,200,2,1,0.001,0.686681096925188,24,5.620543003082275
