name,combo,passed,min_ess,n_sig,pi_Dot-com,pi_GFC,pi_Eurozone,pi_COVID,pi_Calm 2003-06,pi_Calm 2013-19
DD,['DD_z'],True,156.79277521428264,1,0.9481802652411118,0.9041265449390912,0.725856417311916,0.9999999999983729,0.12769500181033663,0.25913982823980636
DD+VOL,"['DD_z', 'VOL_z']",True,606.6847432718289,2,0.9861664009375852,0.8532021796430914,0.8474781654449864,0.9999999999998863,0.115203025048019,0.22540808539197815
DD+DISP,"['DD_z', 'DISP_z']",True,297.2400064644487,2,0.9764420418850127,0.9650412138415566,0.7341644066708849,1.0,0.15817824735506636,0.31012321363135903
DD+REL_N,"['DD_z', 'REL_N_z']",False,190.59966256850544,1,0.8852384435094297,0.8774970498304828,0.6545477656140029,0.9999999994089706,0.11450596210776827,0.20838175850643267
DD+BANK_REL,"['DD_z', 'BANK_REL_z']",False,41.039818112511924,2,0.9129783312326191,0.8823261508776964,0.7089867256772582,0.9999999999978684,0.11961582144435044,0.26240524733403764
DD+VOL+DISP,"['DD_z', 'VOL_z', 'DISP_z']",True,786.3421528133077,3,0.9820995471660835,0.8570471035721084,0.825898587894439,1.0,0.1074297490431988,0.23772969115443446
DD+VOL+REL_N,"['DD_z', 'VOL_z', 'REL_N_z']",True,181.86617263512105,2,0.9665141673951532,0.8627207086491904,0.7485244854675864,0.9999999999998295,0.10978522970680737,0.2222986720701671
DD+VOL+BANK_REL,"['DD_z', 'VOL_z', 'BANK_REL_z']",False,5.569246253183131,2,0.9982660582081265,0.8502029862068297,0.9170260923362602,1.0,0.2537373698758482,0.2059177323348893
DD+DISP+REL_N,"['DD_z', 'DISP_z', 'REL_N_z']",False,133.7903640111631,1,0.8641381365853261,0.8583827807654643,0.6111785664284851,0.9999999820225589,0.11275836470574346,0.1986349402412483
DD+DISP+BANK_REL,"['DD_z', 'DISP_z', 'BANK_REL_z']",True,136.15394626859074,3,0.9547308512192709,0.9332094640906774,0.6952140588448253,1.0,0.12724018414773336,0.2843290506949091
DD+REL_N+BANK_REL,"['DD_z', 'REL_N_z', 'BANK_REL_z']",False,254.0781559497482,1,0.8164073636063224,0.8593072193735981,0.6020548185880573,0.9999999969611508,0.1117972827129225,0.19773422732714874
DD+VOL+DISP+REL_N,"['DD_z', 'VOL_z', 'DISP_z', 'REL_N_z']",True,258.8840544616473,4,0.9723693387518634,0.8525071773720458,0.7746255175324741,0.9999999999985789,0.10898819998077179,0.21557537282976943
DD+VOL+DISP+BANK_REL,"['DD_z', 'VOL_z', 'DISP_z', 'BANK_REL_z']",True,760.9587063867667,4,0.9871664289543418,0.8501401033381562,0.8144762727288078,1.0,0.10664213680517703,0.20460072256151643
DD+VOL+REL_N+BANK_REL,"['DD_z', 'VOL_z', 'REL_N_z', 'BANK_REL_z']",True,431.62077623745955,4,0.9803605770047537,0.8502410091230856,0.7785774260145417,1.0,0.10567886712452923,0.200420080078992
DD+DISP+REL_N+BANK_REL,"['DD_z', 'DISP_z', 'REL_N_z', 'BANK_REL_z']",False,14.15761772003835,2,0.8785295728126293,0.8529353128401643,0.5685119623038611,0.9999999677826871,0.11241301489159973,0.18985279661242055
