name,combo,sh_xgb,sh_lr,min_ess,n_sig
DD+VOL,"['DD_z', 'VOL_z']",0.5435041453916115,-0.02414660831848423,477.9498423933222,2
DD+VOL+DISP,"['DD_z', 'VOL_z', 'DISP_z']",0.5353904135608529,-0.0163459010622409,204.49692938440535,2
DD+VOL+REL_N+BANK_REL,"['DD_z', 'VOL_z', 'REL_N_z', 'BANK_REL_z']",0.3496494562911106,-0.04219734539659929,108.6943558703624,3
DD+VOL+REL_N,"['DD_z', 'VOL_z', 'REL_N_z']",0.24274293409407283,-0.022191694810704776,628.0158243502781,3
DD+REL_N+BANK_REL,"['DD_z', 'REL_N_z', 'BANK_REL_z']",0.11006408408295003,-0.045544871195090375,163.7208683062597,3
DD+BANK_REL,"['DD_z', 'BANK_REL_z']",0.0799878243632605,-0.02355501126599499,454.0395972077041,2
DD,['DD_z'],0.07174284338548884,-0.01755696757785189,455.7844109100115,1
DD+DISP+BANK_REL,"['DD_z', 'DISP_z', 'BANK_REL_z']",0.035239483649274504,-0.018097159007856852,109.99513363370316,2
