date,market,fixed_mom_12,fixed_mom_1,method0_formula,method1_lr,method1b_ridge,method2_xgb
2011-01-31,0.014651335134121458,0.017773781307471252,0.021199452136807635,-0.013328927679556984,0.00246436873971577,0.01335104988300874,-0.002509545225169953
2011-02-28,0.04458073807824869,-0.027439071198233245,0.017213784196849137,-0.012585259810706682,-0.037712011631050105,-0.044235540903112366,-0.02891718164477771
2011-03-31,-0.07182496215888101,0.044622195690560175,0.008136472096085135,0.04482530329454912,0.049102330907770435,0.02526871528696859,0.009607130236097786
2011-04-30,-0.015733873297442715,-0.023673202810670563,-0.03779915391396085,-0.023673202810670563,-0.001069324770563434,-0.021890545873223054,-0.012062042851746294
2011-05-31,-0.01243118202478979,0.02885227788832729,0.020712398807977848,0.02885227788832729,0.026286634821039184,-0.001743722863207481,0.009386690663755854
2011-06-30,0.013223535655923945,0.07242076078109379,0.0372291147592,0.07242076078109379,-0.008647798552217574,0.031191941619511762,0.011542132731869393
2011-07-31,-0.008434410875433826,-0.07912413546830166,0.061936275031663664,-0.07912413546830166,-0.03578686322771435,-0.08124072415551899,-0.06961064758723717
2011-08-31,-0.07592456705307948,-0.04617438236281008,0.001207943438057464,0.04021747014081113,-0.07507688387893238,-0.028967429230300927,-0.005563366551882061
2011-09-30,-0.0001493145290912259,0.020843986769657086,-0.0989380824169158,-0.09882597835297748,0.09581866830121552,0.027261183491628847,-0.03443627999070751
2011-10-31,0.0018153698160662283,0.012744703521198622,0.03280191005483717,0.03280191005483717,-0.032155586547778815,0.03386782085867412,0.05869635568052419
2011-11-30,-0.04482371589900504,0.023239755698342263,-0.06439365397456095,-0.06439365397456095,0.024349320374221675,0.01795985414019303,0.004734571844555368
2011-12-31,0.004832220890026067,-0.029782413251030836,-0.009280743811357564,-0.009280743811357564,0.0038997291676594807,0.0016100965766153977,0.0041753459109909
2012-01-31,0.03270905575094567,-0.14381550566978013,-0.0787546359324504,-0.0787546359324504,-0.004880934271226414,-0.021701629888064816,-0.05667302287840453
2012-02-29,0.10111159975484635,0.035916848443880406,-0.016568799559273262,0.04809026813649306,-0.05808970284730302,0.02828816617396386,0.04953576566621895
2012-03-31,0.0360822067616946,0.10122099979609503,-0.0333840168424638,0.10090313708840583,0.06927639959879466,0.010873700582592401,0.06689269447093946
2012-04-30,-0.05236004815834147,0.05387398958428837,0.0509430758982425,0.05387398958428837,-0.019178670451251968,-0.003862284322005589,-0.02044482734427432
2012-05-31,-0.1005657206025584,-0.01582540194637256,0.0020167719632834496,-0.014178128796969683,-0.0011177598453416602,0.03677056375155415,0.008439514117669808
2012-06-30,0.0675240575379501,0.11091206997050186,0.09628530373105351,0.11075556630720179,-0.010971455016731196,0.10110989213905718,0.1241483789289498
2012-07-31,-0.03884538855602092,0.03884276577147007,-0.000271678052581112,0.07419316524095657,0.01973037207853509,0.042579672751699014,0.07569697407511505
2012-08-31,-0.0031464239846078603,-0.01045048742683285,0.035800923700194706,0.0018745028508715574,0.001526660874178451,0.005508364058730616,0.011944247524082222
2012-09-30,0.01720649826053541,-0.02521671211078257,-0.027937286158240388,-0.052681256625597944,0.03460529311411534,0.019141020874178582,-0.018732478264686398
2012-10-31,0.005873401053311257,-0.020029742011845868,-0.03849077409151983,-0.06663215656166936,0.06816863491495134,0.025756324747022104,-0.03321184866457317
2012-11-30,0.04956783737479885,-0.09695610064706427,0.05961025642790231,-0.10974303177081778,0.08611342258986995,0.04918491126604067,0.0812390292780959
2012-12-31,0.09144667409418711,0.08601198958023687,-0.019259711452206774,0.04272241889896436,-0.01359719583556377,0.0021311243835296844,-0.020224387094609206
2013-01-31,0.0958316147546637,0.052124279285235,0.0034288946323136485,0.05927560616678407,-0.011279838628901171,0.018885556209266578,-0.045191508921522384
2013-02-28,0.040510307383350826,0.08356673569365204,0.09032217478522407,0.08357801792194298,0.02163218264528506,-0.01705626494176575,0.012587974684256762
2013-03-31,0.0773075755841251,0.11992005417276558,0.015723650710026404,0.11992005417276558,-0.07233049947793645,-0.02328887750634396,0.0005082638795150126
2013-04-30,0.12465849876731828,-0.07702281705462963,-0.07417931517768823,-0.07702281705462963,0.015117070655629885,-0.06541757033233139,0.006779683500099934
2013-05-31,-0.02541410845230959,-0.0025589592137597256,-0.023126945258793028,-0.0025589592137597256,0.01861443375858811,0.0480368465471878,-0.02014390231666788
2013-06-30,-0.004787998110307104,0.004877486265263647,0.01338875719320868,0.004877486265263647,-0.01860341973510822,-0.04727552209751208,0.020574281360509
2013-07-31,0.0010925667637588497,-0.05353267477245962,0.03522360318266326,-0.05353267477245962,-0.01730757178591927,-0.023187060214502127,0.01795111220512835
2013-08-31,-0.023047243701217576,0.07563785222414231,0.028586171951824755,0.07563785222414231,-0.004532652024113033,-0.00723322091853427,0.016325987224543453
2013-09-30,0.08956727152362882,-0.05624927331223988,0.0019338135019866772,-0.05624927331223988,-0.030889847600570206,-0.04674915597974912,0.004625488505372572
2013-10-31,-0.0008280811796588434,0.028350965491893854,-0.016987624862047575,0.028350965491893854,0.022726572636379366,-0.006321451790894374,-0.025193570970139762
