strategy,n_months,ann_ret,ann_vol,sharpe,max_dd
market,184,0.06708238216949414,0.11575821740355231,0.6205301183664502,-0.25162528949740803
fixed_mom_12,183,0.0933363365041775,0.2974560598987272,0.454949268183756,-0.6255017240082276
fixed_mom_1,183,-0.010609975350037937,0.19061789160025758,0.04366992555802749,-0.5144088628686876
method0_formula,183,0.11379639079573511,0.26964654849983355,0.5373538893377595,-0.5920662602855065
method1_lr,183,0.09327573880598505,0.27853911073826626,0.46833702172162367,-0.6669206235845087
method1b_ridge,183,0.0163430295013276,0.21403014918292942,0.18346295198165724,-0.4910941561317322
method2_xgb,183,0.16023854003382043,0.20218381848788128,0.8401236036998159,-0.21414372935581233
