name,combo,sh_xgb,sh_lr,min_ess,n_sig
DD+VOL+DISP+REL_N,"['DD_z', 'VOL_z', 'DISP_z', 'REL_N_z']",0.8586699672180479,0.4695717724102809,258.8840544616473,4
DD+VOL+DISP+BANK_REL,"['DD_z', 'VOL_z', 'DISP_z', 'BANK_REL_z']",0.6994760181382423,0.47279365362977044,760.9587063867667,4
DD+VOL+REL_N+BANK_REL,"['DD_z', 'VOL_z', 'REL_N_z', 'BANK_REL_z']",0.66526271563717,0.4746704816805474,431.6207762374595,4
DD+DISP+BANK_REL,"['DD_z', 'DISP_z', 'BANK_REL_z']",0.5717392406352558,0.507602172074899,136.15394626859074,3
DD+DISP,"['DD_z', 'DISP_z']",0.5693739773298799,0.4764312760555798,297.2400064644487,2
DD+VOL,"['DD_z', 'VOL_z']",0.5175480274305472,0.4803584895865945,606.6847432718289,2
DD+VOL+DISP,"['DD_z', 'VOL_z', 'DISP_z']",0.5024924884874412,0.4757663096750665,786.3421528133077,3
DD+VOL+REL_N,"['DD_z', 'VOL_z', 'REL_N_z']",0.4861428743623883,0.46373239009869727,181.86617263512105,2
DD,['DD_z'],0.46582206936017656,0.48895724271377733,156.79277521428264,1
