name,combo,passed,min_ess,n_sig,pi_Bubble,pi_NPL crisis,pi_GFC,pi_COVID,pi_Calm 2013-19
DD,['DD_z'],True,455.7844109100115,1,0.7795996925819052,0.9985387675895805,0.9999999999994285,0.7592796817312961,0.23352992048950533
DD+VOL,"['DD_z', 'VOL_z']",True,477.9498423933222,2,0.8853793439688714,0.998501919076242,0.9999999999978336,0.7444217842784326,0.22901173156435858
DD+DISP,"['DD_z', 'DISP_z']",False,385.9642873239148,1,0.7734016495625048,0.9997889028417605,1.0,0.8550340074099162,0.2472792299289544
DD+REL_N,"['DD_z', 'REL_N_z']",False,64.0711062160438,1,0.831033363121333,0.9981227224298195,0.9999999999999937,0.5932899389546773,0.19069433150237247
DD+BANK_REL,"['DD_z', 'BANK_REL_z']",True,454.0395972077041,2,0.8226572712376009,0.9989897830968033,0.9999999999990273,0.7791550213068412,0.2316995076517961
DD+VOL+DISP,"['DD_z', 'VOL_z', 'DISP_z']",True,204.49692938440535,2,0.9064214626740259,0.9994400214058347,1.0,0.7327543430115107,0.2248165257311416
DD+VOL+REL_N,"['DD_z', 'VOL_z', 'REL_N_z']",True,628.0158243502781,3,0.9944558831332774,0.9986497586086451,0.9999999999996968,0.6064001024560844,0.19234018271114645
DD+VOL+BANK_REL,"['DD_z', 'VOL_z', 'BANK_REL_z']",False,9.300710983068964,2,0.7969470387191636,0.9998804486770718,0.9999999999994821,0.9822257293256577,0.4314113168971463
DD+DISP+REL_N,"['DD_z', 'DISP_z', 'REL_N_z']",False,148.1981765674606,1,0.7769586476247977,0.9972253696122054,0.999999999967435,0.49486374342958883,0.1369851587267613
DD+DISP+BANK_REL,"['DD_z', 'DISP_z', 'BANK_REL_z']",True,109.99513363370316,2,0.8108144244108829,0.999960003308309,1.0,0.9365523433275864,0.2542708480869715
DD+REL_N+BANK_REL,"['DD_z', 'REL_N_z', 'BANK_REL_z']",True,163.7208683062597,3,0.8009219527376795,0.9999171042855103,0.9999999999993179,0.7165378764046727,0.21979155171079803
DD+VOL+DISP+REL_N,"['DD_z', 'VOL_z', 'DISP_z', 'REL_N_z']",False,3.332237510971881,2,0.9988427368226086,0.9997804662553714,1.0,0.6941856686803302,0.16223370025588518
DD+VOL+DISP+BANK_REL,"['DD_z', 'VOL_z', 'DISP_z', 'BANK_REL_z']",False,166.8127352626532,3,0.6272978774120788,0.9999218231051983,0.9999999999755447,0.9911245450350532,0.41716710281215585
DD+VOL+REL_N+BANK_REL,"['DD_z', 'VOL_z', 'REL_N_z', 'BANK_REL_z']",True,108.6943558703624,3,0.973255881571531,0.9999303275186433,1.0,0.7680940281632402,0.23981832574633194
DD+DISP+REL_N+BANK_REL,"['DD_z', 'DISP_z', 'REL_N_z', 'BANK_REL_z']",False,4.15269339800381,2,0.7878086450091271,0.9999409052342754,1.0,0.8461901301522281,0.23852936099763675
