strategy,arm,lam,oos_start,n_mo,net_ann,to_mo,net_ir,minus_static,ci_lo,ci_hi,p,net_ir_2013,obj
lowvol,monthly,0.0,2001,288,0.0022241287471267243,0.2116935676087745,0.03413940416209254,-0.06007337318492222,-0.17219331875825036,0.04404780440229876,0.2764,-0.16392404835307217,0.0022241287471267243
lowvol,static,0.0,2001,288,0.0058015219223375054,0.10675943991187845,0.09421277734701476,0.0,0.0,0.0,1.0,-0.06209785668684847,0.0058015219223375054
lowvol,gbm_conservative,0.0,2001,288,0.004450204889403884,0.10744341128312627,0.07114585557146318,-0.023066921775551585,-0.06907817156650595,0.026188165416943642,0.3078,-0.06209785668684847,0.004450204889403884
lowvol,gbm_flexible,0.0,2001,288,-1.5946525308670308e-05,0.11400993318981044,-0.00026405332557628364,-0.09447683067259105,-0.18829250976256423,-0.006746744023875453,0.0348,-0.20244330506622538,-1.5946525308670308e-05
lowvol,ridge_conservative,0.0,2001,288,0.005715866457693655,0.1068443258639341,0.09289629166907348,-0.0013164856779412787,-0.005108796233708572,0.0017401665615479549,0.6378,-0.06209785668684847,0.005715866457693655
lowvol,ridge_flexible,0.0,2001,288,0.0058015219223375054,0.10675943991187845,0.09421277734701476,0.0,0.0,0.0,1.0,-0.06209785668684847,0.0058015219223375054
lowvol,mlp_conservative,0.0,2001,288,0.006215972223628305,0.1070046530170308,0.10113768558030783,0.006924908233293073,-0.001197927585295607,0.020665175660363282,0.4566,-0.06209785668684847,0.006215972223628305
lowvol,mlp_flexible,0.0,2001,288,0.0019630898113323953,0.13341622942378706,0.03260462771781473,-0.06160814962920003,-0.16478286345567222,0.02515867246649369,0.1752,-0.17777041551226805,0.0019630898113323953
lowvol,rebound_rule,0.0,2001,288,0.004693408174930771,0.10576670166748119,0.07645385468409419,-0.017758922662920576,-0.05732390150436432,0.0,0.1102,-0.06209785668684847,0.004693408174930771
lowvol,cluster_rule,0.0,2001,288,0.003497086972355553,0.09824069118310168,0.0586786439369211,-0.03553413341009366,-0.11245629730176718,0.026758303187212628,0.262,-0.16929940090140083,0.003497086972355553
lowvol,monthly,0.5,2001,288,0.0022241287471267243,0.2116935676087745,0.03413940416209254,0.013327956517207137,-0.15216062832178956,0.19292700286045292,0.858,-0.16392404835307217,-1.2679372769055202
lowvol,static,0.5,2001,288,0.0011704912898663588,0.04349672077117311,0.020811447644885402,0.0,0.0,0.0,1.0,-0.23169233738375822,-0.25980983333717234
