strategy,arm,lam,oos_start,n_mo,net_ann,to_mo,net_ir,minus_static,ci_lo,ci_hi,p,net_ir_2013,obj
reversal,monthly,0.0,2001,299,-0.008599276661631816,0.9103443775764664,-0.060928125803988785,-0.06203106939082835,-0.1730949976962563,0.04527876168869113,0.262,-0.1815771839736147,-0.008599276661631816
reversal,static,0.0,2001,299,0.00013859288004994003,0.6561547238684526,0.0011029435868395655,0.0,0.0,0.0,1.0,-0.0953931129338667,0.00013859288004994003
reversal,gbm_conservative,0.0,2001,299,0.00013859288004994003,0.6561547238684526,0.0011029435868395655,0.0,0.0,0.0,1.0,-0.0953931129338667,0.00013859288004994003
reversal,gbm_flexible,0.0,2001,299,-0.0016942398283824266,0.6586735452166561,-0.013297358785952737,-0.014400302372792302,-0.04497296345094468,0.004141774355203777,0.2446,-0.12338472046713318,-0.0016942398283824266
reversal,ridge_conservative,0.0,2001,299,0.00013859288004994003,0.6561547238684526,0.0011029435868395655,0.0,0.0,0.0,1.0,-0.0953931129338667,0.00013859288004994003
reversal,ridge_flexible,0.0,2001,299,0.00013859288004994003,0.6561547238684526,0.0011029435868395655,0.0,0.0,0.0,1.0,-0.0953931129338667,0.00013859288004994003
reversal,mlp_conservative,0.0,2001,299,0.00013859288004994003,0.6561547238684526,0.0011029435868395655,0.0,0.0,0.0,1.0,-0.0953931129338667,0.00013859288004994003
reversal,mlp_flexible,0.0,2001,299,-0.006022799704266262,0.6632965424503736,-0.047587521091111334,-0.0486904646779509,-0.14537932655085023,0.01460702575806006,0.1934,-0.200553080328974,-0.006022799704266262
reversal,rebound_rule,0.0,2001,299,-0.003162826107176545,0.5815177813325382,-0.027456095545454223,-0.02855903913229379,-0.09414967120067352,0.03569422838203715,0.3808,-0.134684563759413,-0.003162826107176545
reversal,cluster_rule,0.0,2001,299,-0.0028524943234510634,0.6965890698711455,-0.02237755325044435,-0.023480496837283916,-0.07675539223537402,0.023161902189743153,0.3584,-0.12391195698959724,-0.0028524943234510634
reversal,monthly,0.5,2001,299,-0.008599276661631816,0.9103443775764664,-0.060928125803988785,-0.06203106939082835,-0.1730949976962563,0.04527876168869113,0.262,-0.1815771839736147,-5.470665542120429
