strategy,arm,lam,oos_start,n_mo,net_ann,to_mo,net_ir,minus_static,ci_lo,ci_hi,p,net_ir_2013,obj
profitability,monthly,0.0,2001,299,0.016465537346730178,0.05232431122789201,0.328759499114386,0.08192615160241601,-0.2170098114021663,0.34808307798681765,0.5548,0.35386407569630707,0.016465537346730178
profitability,static,0.0,2001,299,0.009885949034107194,0.025988884943960854,0.24683334751197,0.0,0.0,0.0,1.0,0.4469414588940396,0.009885949034107194
profitability,gbm_conservative,0.0,2001,299,0.01362715206128949,0.02728100471121481,0.34278224806536245,0.09594890055339245,-0.07281874684978175,0.30748529974986477,0.2914,0.4469414588940396,0.01362715206128949
profitability,gbm_flexible,0.0,2001,299,0.009885949034107194,0.025988884943960854,0.24683334751197,0.0,0.0,0.0,1.0,0.4469414588940396,0.009885949034107194
profitability,ridge_conservative,0.0,2001,299,0.01293455682225729,0.0281533233348619,0.3135221725127393,0.06668882500076928,-0.0821430222819542,0.21483453028257898,0.3654,0.4469414588940396,0.01293455682225729
profitability,ridge_flexible,0.0,2001,299,0.0075015132437975165,0.02620775809613363,0.18494065946452276,-0.06189268804744724,-0.17242844864452495,0.0,0.3,0.4469414588940396,0.0075015132437975165
profitability,mlp_conservative,0.0,2001,299,0.007638137738439807,0.02613159078369107,0.1877479160720892,-0.05908543143988079,-0.16504644748363367,0.0,0.3018,0.4469414588940396,0.007638137738439807
profitability,mlp_flexible,0.0,2001,299,0.009885949034107194,0.025988884943960854,0.24683334751197,0.0,0.0,0.0,1.0,0.4469414588940396,0.009885949034107194
profitability,rebound_rule,0.0,2001,299,0.009994566720373693,0.02594970852741453,0.2504242593363792,0.003590911824409182,-0.02328160077056934,0.032165016397751336,0.793,0.45518738190554797,0.009994566720373693
profitability,cluster_rule,0.0,2001,299,0.01301515232020283,0.028190540379098652,0.3143154782393629,0.0674821307273929,-0.052155715554497425,0.1928544849118649,0.27,0.5056607447595103,0.01301515232020283
profitability,monthly,0.5,2001,299,0.016465537346730178,0.05232431122789201,0.328759499114386,-0.08643726661057682,-0.45714290467866037,0.24777570969395216,0.635,0.35386407569630707,-0.2974803300206218
profitability,static,0.5,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.0940851270142147
profitability,gbm_conservative,0.5,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.0940851270142147
profitability,gbm_flexible,0.5,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.0940851270142147
profitability,ridge_conservative,0.5,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.0940851270142147
profitability,ridge_flexible,0.5,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.0940851270142147
profitability,mlp_conservative,0.5,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.0940851270142147
profitability,mlp_flexible,0.5,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.0940851270142147
profitability,rebound_rule,0.5,2001,299,0.015560642165489493,0.018385610654551944,0.4103323529155459,-0.0048644128094169625,-0.032900473155516294,0.016175639283651816,0.7488,0.5780831967717187,-0.0947530217618222
profitability,monthly,1.0,2001,299,0.016465537346730178,0.05232431122789201,0.328759499114386,-0.08643726661057682,-0.45714290467866037,0.24777570969395216,0.635,0.35386407569630707,-0.6114261973879739
profitability,static,1.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.20393502220858295
profitability,gbm_conservative,1.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.20393502220858295
profitability,gbm_flexible,1.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.20393502220858295
profitability,ridge_conservative,1.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.20393502220858295
profitability,ridge_flexible,1.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.20393502220858295
profitability,mlp_conservative,1.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.20393502220858295
profitability,mlp_flexible,1.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.20393502220858295
profitability,rebound_rule,1.0,2001,299,0.015451327418543968,0.01821091538345085,0.4074830992745817,-0.007713666450381129,-0.03482441145265496,0.010766062241873377,0.5392,0.5727895765410832,-0.20307965718286622
profitability,cluster_rule,1.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.20393502220858295
profitability,monthly,2.0,2001,299,0.016465537346730178,0.05232431122789201,0.328759499114386,-0.08643726661057682,-0.45714290467866037,0.24777570969395216,0.635,0.35386407569630707,-1.239317932122678
profitability,static,2.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.42363481259731933
profitability,gbm_conservative,2.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.42363481259731933
profitability,gbm_flexible,2.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.42363481259731933
profitability,ridge_conservative,2.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.42363481259731933
profitability,ridge_flexible,2.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.42363481259731933
profitability,mlp_conservative,2.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.42363481259731933
profitability,mlp_flexible,2.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-0.42363481259731933
profitability,rebound_rule,2.0,2001,299,0.015451327418543968,0.01821091538345085,0.4074830992745817,-0.007713666450381129,-0.03482441145265496,0.010766062241873377,0.5392,0.5727895765410832,-0.42161064178427643
profitability,monthly,5.0,2001,299,0.016465537346730178,0.05232431122789201,0.328759499114386,-0.08643726661057682,-0.45714290467866037,0.24777570969395216,0.635,0.35386407569630707,-3.122993136326791
profitability,static,5.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-1.0827341837635287
profitability,gbm_conservative,5.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-1.0827341837635287
profitability,gbm_flexible,5.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-1.0827341837635287
profitability,ridge_conservative,5.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-1.0827341837635287
profitability,ridge_flexible,5.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-1.0827341837635287
profitability,mlp_conservative,5.0,2001,299,0.015764768180153505,0.018308315865728033,0.41519676572496284,0.0,0.0,0.0,1.0,0.5753127859035648,-1.0827341837635287
