strategy,model,T,alpha_ann,t_nw6,t_nw3,t_nw12,t_nw24,LB6_stat,LB6_p,LB12_stat,LB12_p,BG6_stat,BG6_p,BG12_stat,BG12_p,HC_BG6_stat,HC_BG6_p,HC_BG12_stat,HC_BG12_p,CH_stat,CH_p
XGB,CAPM,167,0.23371439125928384,4.075844884437731,4.165115373867732,4.113610449408797,4.069246902065066,8.234234080173437,0.22144012677574243,15.588543953429859,0.21081636256998845,7.247869231514343,0.2985315582837358,15.852240383792697,0.19809785025750956,4.979127329253404,0.5464929791601552,14.020975664928576,0.29937081252778924,6.631837912333778,0.35623950873580656
XGB,FF3,167,0.23248219198429404,4.479923847515071,4.54960896250332,4.393929681871082,4.007973964872783,9.445072481505344,0.15005109329215596,17.606245356459418,0.12817978577053254,8.264530413600326,0.2193566773450609,17.519046151511656,0.13109335331896552,5.919562030628878,0.43226093746342353,14.198585034580216,0.2882072241509669,6.394498781474667,0.38047809609003336
XGB,Carhart,167,0.24337308457725285,4.751001812204018,4.727405919980009,4.734725478748417,4.328976827438537,10.462813110577644,0.10646674441093522,17.195218118162003,0.14240025050871513,8.929636212367532,0.17757412459090302,17.10624216214814,0.1456443530341021,5.7579872998932125,0.4508392846305532,11.6638261530093,0.47304174513133124,5.234759580099943,0.514075274339129
XGB,FF5,167,0.22928486613590499,4.6159984606786315,4.656012615085945,4.6135156167974785,4.456620937515805,9.654628210378512,0.13997020752614014,17.71834243671019,0.12451408271585045,8.49308875175564,0.20415666471460112,18.007552112137486,0.11546140508359273,5.947031784692184,0.4291497406541913,15.217354024725935,0.22976467798370515,6.52035026053443,0.36748712162938846
XGB,FF6,167,0.2413234447618722,4.812068495344633,4.770784260261217,4.879254199260569,4.7390708702951985,10.74238054853527,0.09667233208002325,17.506011911957444,0.13153357512359332,9.199732497322593,0.1626529271296826,17.824948868936637,0.12110997596221564,5.735668442041121,0.4534424407095531,12.68453688760247,0.39238065780976833,5.27462047053659,0.5091038812575033
LR,CAPM,167,-0.015866529740622387,-0.37035068686661393,-0.3608690590956309,-0.5122930682997339,-0.5588007961078806,2.6658700480152446,0.849461874142649,18.993018722122436,0.08869706596660043,2.9327531448967714,0.8172384920459452,20.388666353814337,0.06008173632719403,3.33319336089892,0.7660138595585081,20.094760471082154,0.06531451244583204,13.030169792067149,0.04255934216673407
LR,FF3,167,-0.01813009722043505,-0.4308828187562768,-0.4200339600354855,-0.5743188330960229,-0.6549643895563719,2.3577760127179537,0.8840329019783991,18.901770231125305,0.09092675256512195,2.6253472240576583,0.854184002190985,21.188134426402172,0.04769246339043385,3.0654973944154795,0.8005824753867646,21.830957398024545,0.039458631249611874,12.840352186513185,0.04564239270159598
LR,Carhart,167,-0.01748320193937949,-0.4155810442531942,-0.4041524354217161,-0.5630726302395446,-0.6566992434142629,2.342778036676233,0.8856317001367333,19.081164879004827,0.0865884416828786,2.6172418170590857,0.8551225995914814,21.22645872488941,0.047161046732292926,3.0057884076975054,0.8081199736940518,21.64042478823133,0.04175304075696171,12.973839202794323,0.04345326850620024
LR,FF5,167,-0.011899460542394035,-0.2791689562375658,-0.2752091895340162,-0.36586025891515134,-0.42210440249688913,2.7099296508287063,0.8442730483133747,17.709601752567053,0.12479671636409824,3.03157855567345,0.8048730813069382,19.302847331405935,0.08147727890534738,3.087835775387539,0.7977445484157233,19.654243753187075,0.0739157585158536,13.388170328000287,0.037269592763123804
LR,FF6,167,-0.0117901508522587,-0.2757480527030734,-0.2723692867180825,-0.36639183296111766,-0.4331892080489886,2.7087649361084063,0.8444109284302205,17.73470462469838,0.12398644905715624,3.035458225835587,0.8043834740060132,19.318804379835232,0.0811197565266753,3.0694997539599242,0.8000747066597674,19.31860728053855,0.08112416420946685,13.40985963472653,0.036969874469802155
D&M,CAPM,167,0.10294888736686489,1.8616456206453529,1.7996640490850981,1.885488281237652,2.1068181187287305,2.936528429744536,0.8167700127099964,5.570716758038074,0.9361592896148885,3.0065676443363976,0.8080220708050811,5.032319527130074,0.9568907429785358,4.389959897290222,0.6240601497203491,5.522706491436209,0.9382090243071755,3.0000861484166177,0.8088360179110641
D&M,FF3,167,0.10127702489256642,1.6897374895788966,1.6674183959750009,1.7174385240541596,1.98323295199867,2.8175079951671838,0.8313782572352373,5.3145897974848335,0.9466377624668499,2.770699821368937,0.8370269318095899,4.6869574162522145,0.9676262581491972,4.232694383681904,0.6452191479232472,4.85894695454556,0.9625248997540888,2.831425824665616,0.8296878218004429
D&M,Carhart,167,0.10009308540318201,1.6403709968500557,1.625163565168463,1.6696171796184784,1.9805619212118224,2.8790003543069798,0.8238731992820748,5.401128522133058,0.9432229785154742,3.019805671440154,0.8063569353352322,4.976219867564964,0.9587685112768894,4.3808614126123935,0.6252807954700168,5.385743813871983,0.9438394117179887,2.869031783536172,0.8250961424398234
D&M,FF5,167,0.12274620814740031,2.050674182822929,2.0781033835364773,2.041300485164335,2.3436473277675054,2.3176878774270793,0.8882873800266012,4.7859178141259315,0.9647497197512613,2.140729138407823,0.9063112604447525,4.794589086373067,0.9644901082974714,2.7934238965137483,0.8342917841636617,5.224262087477026,0.9500657415481575,2.566026651026256,0.8610062812353367
D&M,FF6,167,0.12415570236943742,2.0201396347443765,2.0519067720812862,2.0282558531565735,2.441884516890228,2.1756629295436447,0.9028546077897367,4.62725656735306,0.9692855729360775,2.4266222677274127,0.8765877208817299,5.017531487389848,0.9573908339392543,2.9213173403650874,0.8186556052475729,5.632125607920143,0.9334799523726077,2.5510231676225077,0.8627142262005141
WML,CAPM,167,0.01280839414784414,0.17676655335786345,0.17463801311539587,0.1924488347126965,0.25794045445498165,6.155368462041001,0.40601274180846597,16.240101040497137,0.18048483994243775,5.405275936464288,0.4929785047070562,17.518708902981164,0.13110472813310145,3.968183549523026,0.6809822133506236,15.852984004633175,0.198062844175127,12.02226663582386,0.06147390264194963
WML,FF3,167,0.010718278881786485,0.12914121373030651,0.1309705410639339,0.1396859820684567,0.1822034762777041,7.455803818821458,0.2807414284965969,18.18090502836825,0.110307013841612,6.634681596301917,0.35595583358100746,19.00976856490549,0.08829297717788821,5.949107119720967,0.4289152565415174,16.620942363699537,0.16442101247939875,13.323107343995444,0.03818246866232333
WML,Carhart,167,0.013884407944873799,0.1650038049844385,0.16822550013125048,0.17824245351387233,0.22814397671955872,6.83971438838435,0.3359251452673785,18.13330207731976,0.1117025529635368,7.007182917633209,0.3201834375197803,19.387463648468916,0.07959704140675763,6.032916995088243,0.4195128226761559,17.353435473126044,0.13677892616237763,13.696136722262954,0.03322092802586085
WML,FF5,167,0.027751455309602394,0.33967945484884404,0.34670746178709055,0.3575849662633271,0.5054760180252129,7.1262773226774305,0.30932695233086827,17.829467299400946,0.12096744342555456,6.343491311473064,0.38583168756253167,19.241111380836784,0.08287350080638058,5.292666431746712,0.5068610422016515,15.524861419879787,0.21397975178425183,12.271895075091056,0.05617086946567362
WML,FF6,167,0.029068556104825078,0.35226853842268047,0.36051230112641197,0.37114603878092045,0.5178333804773205,6.873775221982022,0.3326784011384749,17.824283800285883,0.12113096729204081,7.361184283026324,0.28873221136716626,19.735363007793556,0.07226054340740483,5.581800397824013,0.4716256672442728,15.00722593369884,0.24104152212043756,12.49353843383297,0.05182192276613473
