strategy,subperiod,start,end,n,sharpe,cum,mdd,sharpe_lo,sharpe_med,sharpe_hi
M2 (1990-1999 train),Overall,2000-01-31,2010-12-31,132,0.24495479062463088,0.39705736034944494,-0.6490938520042043,-0.5015482841929784,0.21264765186419962,0.8637093737736345
M2 (1990-1999 train),Dot-com bust,2000-03-01,2002-10-31,32,-0.4196952470528354,-0.4664080918136131,-0.6490938520042041,-2.110307609832246,-0.8551544249892975,0.36142081291484396
M2 (1990-1999 train),2003-2007 bull,2002-11-01,2007-09-30,59,0.8559942450684335,0.8375240828982848,-0.2063179148294609,-0.11857576517733318,0.7864971948960885,1.7759153220225776
M2 (1990-1999 train),GFC crash,2007-10-01,2009-02-28,17,-0.4077900784734286,-0.22944326662334114,-0.4319301206498775,-3.6646236433925323,-1.1999814353938016,0.5428901196831005
M2 (1990-1999 train),GFC rebound,2009-03-01,2009-12-31,10,0.8367188082924752,0.33575577209244667,-0.2002927575299488,-2.730512773627932,0.04983981940508564,2.303019193680184
M2 (1990-1999 train),Post-GFC calm,2010-01-01,2010-12-31,12,1.379116084387674,0.2571911144287897,-0.07655800985978418,-0.23904251867603568,1.185195635392111,3.3272762523065373
M2 (1990-2004 train),Overall,2005-01-31,2010-12-31,72,0.3052918039627515,0.3238680717716169,-0.4082892836260708,-0.5755230567855018,0.32037707438441937,1.036400144882705
M2 (1990-2004 train),2003-2007 bull,2002-11-01,2007-09-30,33,0.958788665929528,0.2713990260360746,-0.06482507695838753,-0.009797432095375657,0.8714093780036162,1.8323957174374266
M2 (1990-2004 train),GFC crash,2007-10-01,2009-02-28,17,-0.2779721709674127,-0.20156187564300088,-0.40828928362607053,-1.9916978316560752,-0.8573731638757183,0.6541713997087331
M2 (1990-2004 train),GFC rebound,2009-03-01,2009-12-31,10,0.5735947540663481,0.164198380232355,-0.17314234048323493,-2.887790717356747,-0.7704000705593371,2.0558259069279554
M2 (1990-2004 train),Post-GFC calm,2010-01-01,2010-12-31,12,0.8188051073282608,0.12019744398876608,-0.06698952934639547,-0.09798050431465409,1.0039456669073978,2.0471028470969688
Fixed 12-mo mom,Overall,2000-01-31,2010-12-31,132,-0.17521055355922868,-0.7294615668256356,-0.7878259340015676,-0.7437416915329436,-0.16450294914911073,0.47131490466728737
Fixed 12-mo mom,Dot-com bust,2000-03-01,2002-10-31,32,-0.15050261298203244,-0.36878423171899055,-0.4281913888847888,-0.5919535998262505,0.08264073232550154,1.217618592970994
Fixed 12-mo mom,2003-2007 bull,2002-11-01,2007-09-30,59,-0.16076170599222228,-0.175346787207028,-0.46763571763800027,-1.3387373062686974,-0.5434970837221498,0.41100655144418613
Fixed 12-mo mom,GFC crash,2007-10-01,2009-02-28,17,0.5671950092001968,0.22916605073268692,-0.27909530529995513,0.1173412624123097,1.3406916760166863,2.811701518183848
Fixed 12-mo mom,GFC rebound,2009-03-01,2009-12-31,10,-1.8649155309734287,-0.6260693571736353,-0.37041909602063333,-4.0178319967509735,-1.8837396985689998,0.6346454895755449
Fixed 12-mo mom,Post-GFC calm,2010-01-01,2010-12-31,12,0.2504286615022095,0.029754076907976046,-0.12628750059032517,-1.41838409098653,0.28441998894138876,2.4595406782325697
Fixed 1-mo mom,Overall,2000-01-31,2010-12-31,132,-0.25652000501327665,-0.6464082175702115,-0.7395005388016904,-0.8120672488703045,-0.31234143938418,0.20643977378571612
Fixed 1-mo mom,Dot-com bust,2000-03-01,2002-10-31,32,-0.40426051558346693,-0.3885707657922315,-0.39305961438046044,-0.9631622154446376,-0.19432315394365696,0.53367760069493
Fixed 1-mo mom,2003-2007 bull,2002-11-01,2007-09-30,59,-0.25662785555960466,-0.18656475249580273,-0.3339129395088351,-1.2500347665327833,-0.4017238123315049,0.5162485219580831
Fixed 1-mo mom,GFC crash,2007-10-01,2009-02-28,17,0.24644039307982726,0.04500742705822569,-0.19953035080194248,-0.9235583983087682,0.42365080665877713,2.0277338457823797
Fixed 1-mo mom,GFC rebound,2009-03-01,2009-12-31,10,-1.963066562793933,-0.39118464402876574,-0.20258467628847998,-4.642640240399084,-2.335296208730953,-1.2351722532036629
Fixed 1-mo mom,Post-GFC calm,2010-01-01,2010-12-31,12,-0.1446832544188003,-0.03743378093974681,-0.13068612555867035,-1.468024765168395,-0.12630749089406412,1.9762217536049151
Market (VW buy-hold),Overall,2000-01-31,2010-12-31,132,0.1924533287459894,0.21943512709463264,-0.5003781552254719,-0.5293734717491662,0.1464651896246258,0.8820427618147448
Market (VW buy-hold),Dot-com bust,2000-03-01,2002-10-31,32,-0.7619067631664124,-0.3655257140200727,-0.4460015518851155,-1.8736472926611296,-0.9283637365452668,-0.11477402714139479
Market (VW buy-hold),2003-2007 bull,2002-11-01,2007-09-30,59,1.4568616391330818,0.9000689464360179,-0.04844434300910552,0.995485296348974,1.744999367031559,2.5729010072527267
Market (VW buy-hold),GFC crash,2007-10-01,2009-02-28,17,-1.7901917619902394,-0.4557879298216789,-0.47698939220954545,-3.705942965845165,-2.072416760157891,-0.6447223646700251
Market (VW buy-hold),GFC rebound,2009-03-01,2009-12-31,10,2.7119379403257433,0.3773499533749354,-0.03357208083704521,1.8247673338031793,3.2727559963084096,5.931204250076617
Market (VW buy-hold),Post-GFC calm,2010-01-01,2010-12-31,12,1.2361470501921574,0.24133282196660222,-0.1295283266367098,-0.9821335125606545,0.7672557805231421,3.466736908140694
