name,sharpe,ann_ret,ann_vol,pi_share
Baseline,1.1091347772902065,0.21905596720436682,0.19663284637472003,45.022316
MV g=0.5,0.7457416404926454,0.1224698034349545,0.1761218517441096,35.062103
MV g=1.0,0.13842049903914908,0.0074237899657128015,0.20325943153585108,23.314909
MV g=1.5,-0.06682699237800906,-0.03882528323229717,0.22009166358026952,19.621687
MV g=2.0,-0.2781441471942201,-0.09084592618572362,0.2366750515710127,14.442275
MV g=2.5,-0.3493522183880323,-0.10892864336458263,0.24154870375113538,12.631681
MV g=3.0,-0.36534627959203136,-0.11339054406543625,0.24349175256937533,12.004228
MV g=3.5,-0.3509731452476127,-0.11123653901971997,0.24544622487936696,10.3911495
MV g=4.0,-0.35641603524557647,-0.11268449573425576,0.2460299582506324,9.004893
MV g=4.5,-0.3815669342237487,-0.11723671924180878,0.24453854855512702,9.071234
MV g=5.0,-0.3952061671122667,-0.11987594603959895,0.24398082920709996,8.038683
MV g=5.5,-0.39085156555604983,-0.11954202215264598,0.24506878868299298,7.613536
MV g=6.0,-0.41791484542774376,-0.12656212032402137,0.24682097729533503,7.8969054
MV g=6.5,-0.40070869686974864,-0.12168570492935615,0.24479076769795355,6.9698324
MV g=7.0,-0.3989252907611682,-0.12326406360230824,0.24814448647058548,7.5076475
MV g=7.5,-0.40658329338202176,-0.12487113054133259,0.2480343991200187,6.6679487
MV g=8.0,-0.4419683455368511,-0.1346518827044031,0.2510682064099737,6.643861
MV g=8.5,-0.4274638427254605,-0.13081125227713752,0.2500120709367083,6.9907107
MV g=9.0,-0.38838490326647696,-0.11918540437829206,0.24496763844735336,7.3342338
MV g=9.5,-0.4118462854185382,-0.12454636585865786,0.24543802809666038,6.410734
MV g=10.0,-0.43510187702539194,-0.12925373517617245,0.2449093852996456,6.213452
Log,0.5741151327285472,0.09762430151716295,0.1968107987579573,48.13748
LogMV g=0.5,0.0695251840203416,-0.011793446904890037,0.23494610015508924,32.52056
LogMV g=1.0,-0.15355508518043268,-0.06668216888856449,0.24568703103330367,23.900436
LogMV g=1.5,-0.164358053507117,-0.06858197094148866,0.24455504547722368,17.619902
LogMV g=2.0,-0.2247328431881655,-0.08616191173282595,0.2525261233787427,14.851089
LogMV g=2.5,-0.24953260555278614,-0.09357332608368585,0.2560888871591221,13.14435
LogMV g=3.0,-0.2994703306889429,-0.10549407681199341,0.2563828122462772,11.936868
LogMV g=3.5,-0.3098759320285619,-0.10853793401409495,0.25759100985508776,9.952497
LogMV g=4.0,-0.4042812545450089,-0.12937381183422791,0.25612773749682494,9.183771
LogMV g=4.5,-0.34445068006623003,-0.11432563979965749,0.25385321996555726,8.829309
LogMV g=5.0,-0.3471748968338359,-0.1146405592655051,0.253295710655815,8.549352
LogMV g=5.5,-0.3669593573337725,-0.11983029087405372,0.2545092918757482,7.471679
LogMV g=6.0,-0.4220303719486305,-0.13312580626780934,0.25586250245736003,7.7519984
LogMV g=6.5,-0.4006993031289812,-0.12850894439946914,0.2561138606770444,7.893553
LogMV g=7.0,-0.4387666905472048,-0.13709119104360956,0.2561218840339973,6.8779955
LogMV g=7.5,-0.47771788244275737,-0.1472495242668327,0.25836947482693245,6.678386
LogMV g=8.0,-0.46573738403048487,-0.1445352567149425,0.25826045096370226,7.206969
LogMV g=8.5,-0.4377825809125681,-0.13764768992200882,0.25731736617255924,6.4049044
LogMV g=9.0,-0.4437971783740914,-0.1388836476954658,0.2570881209942571,6.13065
LogMV g=9.5,-0.42260940480348647,-0.1306920077810093,0.25154875665505977,6.5228567
LogMV g=10.0,-0.42571154162069824,-0.13064520678563807,0.2502560094886966,6.111533
