date,market,fixed_mom_12,fixed_mom_1,method0_formula,method1_lr,method1b_ridge,method2_xgb
2011-01-31,0.014651335134121458,0.018320130452851975,0.02243710469817288,-0.0250142231968122,0.0029934436926425606,0.016323642170303382,0.00766781858568233
2011-02-28,0.04458073807824869,-0.028209603884935316,0.01667290500512211,-0.028439287044787768,-0.04125216609697622,-0.04945464055950468,-0.04017858541322044
2011-03-31,-0.07181040648214086,0.044599453521039806,0.00813657891838002,0.044599453521039806,0.031200917864692562,0.022483032969951338,-0.006111497561411941
2011-04-30,-0.015735222020821837,-0.024242042998008136,-0.03792428197072,-0.024242042998008136,-1.872668359311435e-05,-0.023134309273267623,-0.04408260734428717
2011-05-31,-0.01243118202478979,0.02889650626068313,0.022031904661080595,0.023692392203691532,0.007846216621844034,-0.018001960182975032,0.04954398788218962
2011-06-30,0.013223535655923945,0.07271034747350649,0.03721340276403561,0.06563917940377362,-0.005551490109210526,0.030694089498765606,0.06145802036543386
2011-07-31,-0.008434410875433826,-0.07788670141134106,0.06192724457091418,-0.03421749944361221,-0.04202857442461154,-0.09161811645115046,-0.003599946336394765
2011-08-31,-0.07592456705307948,-0.04568203714947083,0.0006419522380670677,0.0009530825045766286,-0.0560353795236841,-0.026050951254835204,-0.010870079619335253
2011-09-30,-0.0001493145290912259,0.020844952904191017,-0.09893832022782169,-0.09893832022782169,0.09468629501845646,0.020974515391422935,-0.04609180579959687
2011-10-31,0.0018125056429260345,0.012844806690301728,0.03280191005483717,0.03280191005483717,-0.02695351572032353,0.03746511627055309,0.05284477427506996
2011-11-30,-0.04482371589900504,0.021989651159282423,-0.06439365397456095,-0.06439365397456095,0.027584116307303858,0.010573166132736433,0.005317772094681564
2011-12-31,0.004821078210874274,-0.030544474598536046,-0.01110052359774637,-0.01110052359774637,0.0076878558885995225,0.0029721120442658755,0.005683413193062189
2012-01-31,0.03270843671149402,-0.14372813893094,-0.07879204252961645,-0.07879204252961645,-0.0026121772461097656,0.007141348268610329,0.033239557499246605
