subperiod,start,end,n,sharpe,ann_ret,cum,mdd,monthly_mean
2003-2007 bull,2002-11-01,2007-09-30,33,0.958788665929528,0.09124101686360797,0.2713990260360759,-0.06482507695838768,0.007674675166892846
GFC crash,2007-10-01,2009-02-28,17,-0.27797217096741295,-0.1469119967083684,-0.2015618756430012,-0.40828928362607075,-0.008087548635615484
GFC rebound,2009-03-01,2009-12-31,10,0.5735947540663475,0.2001413211066283,0.164198380232355,-0.17314234048323507,0.02194027191009131
Post-GFC calm,2010-01-01,2010-12-31,12,0.8188051073282613,0.12019744398876653,0.12019744398876653,-0.06698952934639546,0.010372293776019349
