date,pi_filter
1990-12-31,0.9999999221221546
1991-01-31,0.9999999415613149
1991-02-28,0.9999746911596165
1991-03-28,0.9998260119331434
1991-04-30,0.9984195081529
1991-05-31,0.9655583410174932
1991-06-28,0.818537542719603
1991-07-31,0.6823632417429097
1991-08-30,0.3529160956843426
1991-09-30,0.13628493975178713
1991-10-31,0.10742154681935945
1991-11-29,0.1012624733049238
1991-12-31,0.08427395462041294
1992-01-31,0.19785235136969145
1992-02-28,0.10674217954076237
1992-03-31,0.08216464681929957
1992-04-30,0.004790258267842907
1992-05-29,5.53069892225218e-05
1992-06-30,2.3750672284623663e-05
1992-07-31,3.12651505874359e-05
1992-08-31,1.7366437745668e-05
1992-09-30,4.855969989753888e-05
1992-10-30,0.000191720669070253
1992-11-30,0.0004995745559052244
1992-12-31,8.902986244083442e-05
1993-01-29,0.00028327176190436743
1993-02-26,6.644841809133751e-06
1993-03-31,5.740016638937973e-06
1993-04-30,1.4097525247409412e-06
1993-05-28,2.019125518544862e-06
1993-06-30,5.722824777639756e-06
1993-07-30,3.7475161069523533e-07
1993-08-31,0.00035872800293290793
1993-09-30,2.0810510431881738e-07
1993-10-29,1.7062134976671395e-07
1993-11-30,1.522946925961986e-08
1993-12-31,5.028976224991835e-08
1994-01-31,7.41235370552567e-08
1994-02-28,1.1085272686448231e-08
1994-03-31,5.682462588034057e-08
1994-04-29,2.774715577051841e-08
1994-05-31,2.720241704976703e-08
1994-06-30,7.36338279060895e-07
1994-07-29,8.327565110098346e-08
1994-08-31,2.9561769499157017e-07
1994-09-30,4.0281816510586664e-07
1994-10-31,7.813845888691488e-07
1994-11-30,2.2849513349712287e-06
1994-12-30,0.00022041537243117895
1995-01-31,3.635171621455732e-05
1995-02-28,1.2165689567149908e-05
1995-03-31,2.1019935133810095e-05
1995-04-28,2.371183548937778e-05
1995-05-31,3.508542977823748e-05
1995-06-30,4.670829025366232e-05
1995-07-31,3.4587266547682336e-05
1995-08-31,9.3359029854303e-06
1995-09-29,7.090903530594653e-06
1995-10-31,1.6760547316334376e-06
1995-11-30,1.9142059910991944e-06
1995-12-29,1.3162420281834326e-06
1996-01-31,3.992132364118574e-06
1996-02-29,2.852176165257011e-06
1996-03-29,7.524417729866872e-07
1996-04-30,2.3724707430225404e-06
1996-05-31,2.7757607731254185e-06
1996-06-28,7.191732948782684e-08
1996-07-31,5.444326174497058e-07
1996-08-30,9.625961406882483e-08
1996-09-30,2.3497618633931403e-07
1996-10-31,1.4852858745621213e-07
1996-11-29,1.6085754095728662e-07
1996-12-31,1.570764726788361e-07
1997-01-31,3.2521648730469027e-06
1997-02-28,7.526722802661005e-07
1997-03-31,2.877659477823253e-06
1997-04-30,3.8043153407823454e-06
1997-05-30,1.675686678664232e-05
1997-06-30,2.412419367276205e-05
1997-07-31,6.699262251659886e-05
1997-08-29,0.0002937847861347637
1997-09-30,0.0003304664988491933
1997-10-31,0.0014038751241887176
1997-11-28,2.4085364596804584e-05
1997-12-31,0.00016667533164333947
1998-01-30,0.0008527749861290004
1998-02-27,0.00032288154757694447
1998-03-31,0.0007547602023293165
1998-04-30,0.001705465614294242
1998-05-29,0.00023637731318379405
1998-06-30,0.0004110641836607711
1998-07-31,0.0031265286184977152
1998-08-31,0.9999999999988363
1998-09-30,0.9999999999998499
1998-10-30,0.9999962980805129
1998-11-30,0.9999873722369433
1998-12-31,0.9996935587498257
1999-01-29,0.9999854736124181
1999-02-26,0.9998662868740281
1999-03-31,0.998866963959913
1999-04-30,0.9994399811922837
1999-05-28,0.9911700890572664
1999-06-30,0.9488682955363004
1999-07-30,0.9827700942107976
1999-08-31,0.9726970045771598
1999-09-30,0.9992825142868555
1999-10-29,0.9553854518595106
1999-11-30,0.9991135074785664
1999-12-31,0.9998448013669972
2000-01-31,0.9999965495676746
2000-02-29,0.9999950855374649
2000-03-31,0.9591951006557606
2000-04-28,0.9983063363670597
2000-05-31,0.9999972321369114
2000-06-30,0.9999082061248592
2000-07-31,0.9978718590552706
2000-08-31,0.7575922629334322
2000-09-29,0.8628117496197844
2000-10-31,0.9995645214546992
2000-11-30,1.0
2000-12-29,1.0
2001-01-31,1.0
2001-02-28,1.0
2001-03-30,1.0
2001-04-30,1.0
2001-05-31,1.0
2001-06-29,1.0
2001-07-31,1.0
2001-08-31,1.0
2001-09-28,1.0
2001-10-31,1.0
2001-11-30,1.0
2001-12-31,1.0
2002-01-31,0.9999999999865714
2002-02-28,0.9999999999998924
2002-03-28,0.9999999967560104
2002-04-30,0.9999999999998689
2002-05-31,0.9999999999994733
2002-06-28,1.0
2002-07-31,1.0
2002-08-30,1.0
2002-09-30,1.0
2002-10-31,1.0
2002-11-29,1.0
2002-12-31,1.0
2003-01-31,1.0
2003-02-28,1.0
2003-03-31,1.0
2003-04-30,0.9999999999998974
2003-05-30,0.999986966072763
2003-06-30,0.9999839376472633
2003-07-31,0.9998295742852674
2003-08-29,0.9997537766160726
2003-09-30,0.999274451091183
2003-10-31,0.9978008674387427
2003-11-28,0.9925969240059299
2003-12-31,0.9734398258074343
2004-01-30,0.9125229230215137
2004-02-27,0.4684694665905407
2004-03-31,0.06104831106684718
2004-04-30,0.007059797065597867
2004-05-28,0.000425017583206021
2004-06-30,0.0004751512420755132
2004-07-30,0.0007134539721178422
2004-08-31,0.0005626035314811708
2004-09-30,0.000293626244402042
2004-10-29,0.00016153018750199164
2004-11-30,0.0006102163313338546
2004-12-31,0.00012219598256348995
2005-01-31,7.356857321217419e-05
2005-02-28,5.587320011888775e-05
2005-03-31,7.881570479813681e-05
2005-04-29,0.00022069030874888464
2005-05-31,0.0007396532065280866
2005-06-30,0.001912426597173192
2005-07-29,0.0015040850892047571
2005-08-31,0.0007950297199194376
2005-09-30,0.002919300692654862
2005-10-31,0.0069039223189754795
2005-11-30,0.023602534855271494
2005-12-30,0.0465395589591393
2006-01-31,0.06394318810009568
2006-02-28,0.07366421821857885
2006-03-31,0.047810574360010634
2006-04-28,0.031499732437932
2006-05-31,0.008707618388176132
2006-06-30,0.005076059173571293
2006-07-31,0.007743498812640558
2006-08-31,0.0063677204793733365
2006-09-29,0.01646943870385934
2006-10-31,0.007508304356649492
2006-11-30,0.0016902538961086069
2006-12-29,0.003690928070012119
2007-01-31,0.02323943713221204
2007-02-28,0.01638252730340254
2007-03-30,0.07592209546190852
2007-04-30,0.08893971350437294
2007-05-31,0.06722936665817869
2007-06-29,0.05016511906998166
2007-07-31,0.05000280879351693
2007-08-31,0.0336340646446007
2007-09-28,0.025501654917930085
2007-10-31,0.00856245742830238
2007-11-30,0.11335064965365957
2007-12-31,0.8348323097471512
2008-01-31,0.9999997304595509
2008-02-29,0.9999999999618961
2008-03-31,0.9999999999996408
2008-04-30,0.9999999999216681
2008-05-30,0.999999994248347
2008-06-30,0.9999999999999978
2008-07-31,1.0
2008-08-29,1.0
2008-09-30,1.0
2008-10-31,1.0
2008-11-28,1.0
2008-12-31,1.0
2009-01-30,1.0
2009-02-27,1.0
2009-03-31,1.0
2009-04-30,1.0
2009-05-29,1.0
2009-06-30,1.0
2009-07-31,1.0
