combo,n_features,fold,hmm_seed,n_xgb_seeds,val_ir,val_sharpe,n_val_months,hmm_sec,xgb_sec
DD+VOL+REL_N,3,112,3,5,0.8082798492432565,0.2087209879203672,12,81.7,28.3
DD+VOL+REL_N,3,113,1,5,0.8835240724169147,1.4831350102740488,12,84.9,30.5
DD+TERM,2,1,1,5,0.9211120568351537,1.5153192744660249,24,17.5,6.8
DD+VOL+REL_N,3,113,2,5,0.5808541086246694,1.177718172484537,12,85.5,30.1
DD+VOL+REL_N,3,113,3,5,0.6160210287945314,1.2858649451458504,12,85.4,29.8
DD+TERM,2,1,2,5,0.6816217244116539,1.3771529551611,24,17.3,7.0
DD+TERM,2,1,3,5,-0.2654514146162177,1.0700040744978954,24,17.1,7.0
DD+VOL+REL_N,3,114,1,5,1.0844607662309147,1.967932429357049,12,88.0,31.4
DD+TERM,2,2,1,5,0.3266246058480494,0.3896654870566283,24,22.7,8.8
DD+TERM,2,2,2,5,0.34780817646482015,0.4081579224366206,24,22.3,9.1
DD+VOL+REL_N,3,114,2,5,0.21116663076190828,1.5355679291971371,12,88.0,31.6
DD+TERM,2,2,3,5,0.5502482933412196,0.5847591498630835,24,22.6,9.0
DD+VOL+REL_N,3,114,3,5,0.13549889090196052,1.4451618256327337,12,87.2,31.2
DD+TERM,2,3,1,5,0.36370689508120163,-0.28914689601360594,24,28.1,10.2
DD+TERM,2,3,2,5,0.5026942077419622,-0.22814851645289283,24,27.7,10.2
DD+TERM,2,3,3,5,0.6786656644462821,-0.07978756116984807,24,27.4,10.1
DD+TERM,2,4,1,5,1.0094893785316459,1.6434348625270248,24,32.2,12.1
DD+TERM,2,4,2,5,1.0236188232202834,1.672770575273459,24,32.6,12.1
DD+TERM,2,4,3,5,1.1642967702788662,1.7603471095540288,24,32.5,12.1
DD+TERM,2,5,1,5,0.024956231063561568,0.8866733320830561,24,37.4,13.6
DD+TERM,2,5,2,5,0.040526359851519304,0.909264283334471,24,37.5,13.7
DD+TERM,2,5,3,5,0.1223279601532397,0.9947511694433816,24,37.9,13.6
DD+TERM,2,6,1,5,-0.05742602709992515,-0.31000161648381325,30,43.4,15.5
DD+TERM,2,6,2,5,-0.25394872811692665,-0.40740192068267833,30,42.7,15.9
DD+TERM,2,6,3,5,-0.11728567572635994,-0.3325966429683484,30,42.9,15.6
DD+TERM,2,7,1,5,1.6375636949503682,1.60739043094533,18,49.5,17.3
DD+TERM,2,7,2,5,1.3260728526701024,1.534790099808899,18,49.6,17.5
DD+TERM,2,7,3,5,0.924162339461815,1.3493378993727563,18,49.3,17.4
DD+TERM,2,101,1,5,-0.4718652648669097,-0.01989306996244155,12,53.3,18.4
DD+TERM,2,101,2,5,0.028611764761746546,0.2052780997548153,12,53.4,18.6
DD+TERM,2,101,3,5,-0.34723271166000225,0.029041723327914958,12,53.3,18.9
DD+TERM,2,102,1,5,-2.2194949553642958,0.29317098385661505,12,56.3,19.8
DD+TERM,2,102,2,5,-2.296918466912504,0.01663874525906376,12,56.3,19.6
