date,year,rule,combo,strat_ret,bench_ret,pi
2011-01-31,2011,rule_r,DD,0.037102991750027514,0.03422642638983876,0.0018223451756563082
2011-02-28,2011,rule_r,DD,0.03398530672373194,0.0033341656011252174,0.001819743112422116
2011-03-31,2011,rule_r,DD,0.024536308067636566,0.029856483475008536,0.0018196287896445342
2011-04-29,2011,rule_r,DD,-0.030382496727899666,-0.01222913831761714,0.0018196237665041681
2011-05-31,2011,rule_r,DD,-0.011387309824143564,-0.01667960773332828,0.0020873662624300844
2011-06-30,2011,rule_r,DD,-0.01902229662999264,-0.02209391528812852,0.007455178653197006
2011-07-29,2011,rule_r,DD,-0.0974518871912892,-0.05647971532180564,0.16162736328015131
2011-08-31,2011,rule_r,DD,-0.1571314795867968,-0.07262228490059644,0.99999978123927
2011-09-30,2011,rule_r,DD,0.20387373432242972,0.1099468906915501,1.0
2011-10-31,2011,rule_r,DD,0.001461129011168896,-0.001534352628261269,0.9999979422656681
2011-11-30,2011,rule_r,DD,-0.012737563368590263,0.007587140129311832,0.9999996852517329
2011-12-30,2011,rule_r,DD,0.03444477462870488,0.0480247955181498,0.9999990465164963
2011-01-31,2011,argmax,DD+VOL,0.034608520283216045,0.03422642638983876,0.0014842082282399958
2011-02-28,2011,argmax,DD+VOL,0.030662391880579495,0.0033341656011252174,0.0020937140938178233
2011-03-31,2011,argmax,DD+VOL,0.04421856218054369,0.029856483475008536,0.004221859864438985
2011-04-29,2011,argmax,DD+VOL,-0.029141657880134123,-0.01222913831761714,0.0009885205163071903
2011-05-31,2011,argmax,DD+VOL,-0.0049523811712145135,-0.01667960773332828,0.001791026385369444
2011-06-30,2011,argmax,DD+VOL,-0.013725185319644487,-0.02209391528812852,0.010128109452282423
2011-07-29,2011,argmax,DD+VOL,-0.09189843318570547,-0.05647971532180564,0.16197473249720076
2011-08-31,2011,argmax,DD+VOL,-0.16240466403257164,-0.07262228490059644,0.9999991463662954
2011-09-30,2011,argmax,DD+VOL,0.20332124956289382,0.1099468906915501,1.0
2011-10-31,2011,argmax,DD+VOL,-0.020253089168379677,-0.001534352628261269,0.9999965292321968
2011-11-30,2011,argmax,DD+VOL,-0.02342528403082211,0.007587140129311832,0.999999389841337
2011-12-30,2011,argmax,DD+VOL,0.05793272051533311,0.0480247955181498,0.9999986675619637
2012-01-31,2012,rule_r,DD,0.04123410991687445,0.04511637751916406,0.9136601108214398
2012-02-29,2012,rule_r,DD,0.0344445436572529,0.031143664689281994,0.1967282717876127
2012-03-30,2012,rule_r,DD,-0.0146718070589804,-0.007538422900749915,0.013066217339420592
2012-04-30,2012,rule_r,DD,-0.1294230128653974,-0.060852882227490634,0.002573318638738387
2012-05-31,2012,rule_r,DD,0.02817222010578129,0.037969372471791274,0.9021850419495133
2012-06-29,2012,rule_r,DD,0.01440140614466161,0.010175532416782618,0.5953839785193406
2012-07-31,2012,rule_r,DD,0.05684397448809435,0.02532845813174698,0.12606661078945605
2012-08-31,2012,rule_r,DD,0.017394551927596383,0.026025544690747256,0.008487376747747726
2012-09-28,2012,rule_r,DD,-0.014181873129495412,-0.016915947757991854,0.002459447848318473
2012-10-31,2012,rule_r,DD,0.024518365864755184,0.007014877644883604,0.002427119739810546
2012-11-30,2012,rule_r,DD,-0.008675354652802756,0.010282307151326768,0.0021127484456012367
2012-12-31,2012,rule_r,DD,0.002268070155530924,0.05479265600750827,0.002160779036243877
2012-01-31,2012,argmax,DD+SKEW+TERM,0.057639049793623824,0.04511637751916406,0.9137698149428524
2012-02-29,2012,argmax,DD+SKEW+TERM,0.03397936686484992,0.031143664689281994,0.1747910868738013
