rule_id,n_stockmonths,n_plurality_months,mean_pi,panic_share,plurality_sharpe,plurality_sharpe_lo95,plurality_sharpe_hi95,ci_excludes_zero
0,33836,63,0.934,0.936,1.634,1.115,2.428,True
1,51763,104,0.011,0.0,0.707,0.135,1.262,True
