date,mom_1,mom_2,mom_3,mom_4,mom_5,mom_6,mom_7,mom_8,mom_9,mom_10,mom_11,mom_12
2014-05-30,-0.1756,-0.2199,-0.2100,-0.0756,-0.0732,-0.2259,-0.4199,-0.4161,-0.4660,-0.4830,-0.5000,-0.3989
2014-06-30,-0.2609,-0.4809,-0.5222,-0.5646,-0.5615,-0.6069,-0.6877,-0.7970,-0.7677,-0.7593,-0.7799,-0.7104
2014-07-31,0.0912,-0.3233,-0.4744,-0.5672,-0.6407,-0.7503,-0.7463,-0.8328,-0.9112,-0.8757,-0.8923,-0.8136
2014-08-29,-0.0606,-0.2140,-0.2607,-0.2957,-0.3823,-0.5550,-0.6550,-0.6579,-0.7321,-0.7763,-0.7755,-0.6699
2014-09-30,-0.0799,-0.2749,-0.2479,-0.3855,-0.5779,-0.7138,-0.7800,-0.7871,-0.7533,-0.7635,-0.8270,-0.7095
2014-10-31,-0.2952,-0.3925,-0.3638,-0.3141,-0.3897,-0.5388,-0.6287,-0.7172,-0.6620,-0.6021,-0.6642,-0.5982
2014-11-28,0.0728,-0.1624,-0.1691,-0.1841,-0.2295,-0.3643,-0.5049,-0.5724,-0.6210,-0.5572,-0.5316,-0.4357
2014-12-31,0.1933,0.1097,0.0122,0.0003,-0.1400,-0.1853,-0.3074,-0.4295,-0.5083,-0.5212,-0.5369,-0.4276
2015-01-30,0.0489,-0.1725,-0.3526,-0.4364,-0.5586,-0.5711,-0.5484,-0.5817,-0.6233,-0.6446,-0.6461,-0.4742
2015-02-27,0.0581,-0.0551,-0.0589,-0.0860,-0.2459,-0.3513,-0.4373,-0.4611,-0.5365,-0.5662,-0.6032,-0.5299
2015-03-31,0.2287,-0.1225,-0.1491,-0.2658,-0.4085,-0.5157,-0.5846,-0.6535,-0.6662,-0.6932,-0.7360,-0.6284
2015-04-30,0.1448,-0.0186,0.0002,-0.0264,-0.2107,-0.3596,-0.4248,-0.4681,-0.4508,-0.4436,-0.4782,-0.3954
2015-05-29,0.5241,0.3823,0.3930,0.3448,0.2701,0.0400,-0.1430,-0.2528,-0.3289,-0.3630,-0.3659,-0.2874
2015-06-30,-0.0545,0.0846,0.0486,0.0889,-0.0894,-0.2091,-0.3646,-0.4839,-0.5794,-0.5926,-0.6786,-0.5551
2015-07-31,-0.0735,-0.2523,-0.1239,-0.1629,-0.2248,-0.3419,-0.3989,-0.4972,-0.5756,-0.5758,-0.5598,-0.4788
2015-08-31,-0.0913,-0.1883,-0.1541,-0.0885,-0.1831,-0.2346,-0.3152,-0.3803,-0.4537,-0.4707,-0.4984,-0.4432
2015-09-30,0.0384,0.1574,0.2080,0.1861,0.1738,0.0851,-0.0265,-0.1380,-0.2156,-0.2222,-0.2466,-0.1871
2015-10-30,-0.6227,-0.2067,0.0716,0.2285,0.2986,0.2444,0.2201,0.2075,0.1758,0.1847,0.1754,0.2227
2015-11-30,0.0762,0.0449,0.0168,0.0123,-0.0500,-0.1207,-0.1649,-0.2250,-0.2847,-0.2886,-0.3115,-0.2539
2015-12-31,-0.3241,-0.3087,-0.1934,0.1133,0.0788,0.0302,-0.0587,-0.0598,-0.1037,-0.1146,-0.1316,-0.0600
2016-01-29,0.8625,0.3268,0.1090,0.0866,-0.0015,-0.0270,-0.0717,-0.1096,-0.1477,-0.1587,-0.2367,-0.1277
2016-02-29,1.1481,0.7062,0.4310,0.2855,0.2345,0.1460,0.0451,0.0041,-0.0605,-0.0863,-0.1258,-0.1124
2016-03-31,-0.4375,-0.2864,-0.0687,0.0620,0.0009,-0.0789,-0.1252,-0.1049,-0.0947,-0.1017,-0.1375,-0.0871
2016-04-29,0.6516,0.3231,0.1110,-0.1355,-0.2680,-0.2749,-0.4971,-0.4460,-0.4358,-0.4825,-0.5931,-0.5056
2016-05-31,0.3240,0.1068,0.1399,-0.0277,-0.1578,-0.2758,-0.3457,-0.4608,-0.3563,-0.2237,-0.2309,-0.1903
2016-06-30,0.2862,0.1147,0.0707,-0.0645,-0.3038,-0.4034,-0.4781,-0.5260,-0.5901,-0.4674,-0.3262,-0.2491
2016-07-29,-0.0261,0.0202,0.0525,-0.0162,-0.1536,-0.3172,-0.3762,-0.4220,-0.4503,-0.4074,-0.3152,-0.1300
2016-08-31,0.1743,0.1309,0.1846,0.1498,0.0468,-0.0681,-0.1196,-0.1793,-0.2430,-0.2190,-0.2042,-0.0023
2016-09-30,-0.1140,-0.2060,-0.1776,-0.2753,-0.4070,-0.5022,-0.6137,-0.5971,-0.5923,-0.5865,-0.5942,-0.4773
2016-10-31,0.1082,-0.0402,0.0600,-0.0360,-0.1589,-0.1868,-0.1878,-0.3490,-0.5234,-0.5534,-0.5369,-0.4050
2016-11-30,0.0455,-0.0004,0.0358,0.0619,-0.0386,-0.1567,-0.1627,-0.1914,-0.2989,-0.2966,-0.2626,-0.1378
2016-12-30,-0.1627,-0.3580,-0.3041,-0.2990,-0.2697,-0.3550,-0.4845,-0.4007,-0.3914,-0.5056,-0.6413,-0.5562
2017-01-31,0.0008,-0.2911,-0.2901,-0.3234,-0.4072,-0.4121,-0.4315,-0.5141,-0.4582,-0.4333,-0.5388,-0.5306
2017-02-28,-0.0716,-0.0988,-0.1303,-0.1490,-0.2239,-0.3659,-0.3681,-0.3999,-0.4524,-0.3505,-0.3253,-0.2866
2017-03-31,-0.0710,-0.1484,-0.0862,-0.1448,-0.2928,-0.3469,-0.3242,-0.3334,-0.3421,-0.2967,-0.2181,-0.1019
2017-04-28,-0.1325,-0.2433,-0.1650,-0.1653,-0.3917,-0.5383,-0.5791,-0.6116,-0.5939,-0.5715,-0.5546,-0.3899
2017-05-31,0.0525,-0.1229,-0.1438,-0.1191,-0.2483,-0.4812,-0.5766,-0.6023,-0.6239,-0.5617,-0.5337,-0.4669
2017-06-30,-0.0292,-0.0420,-0.0262,-0.0165,-0.0931,-0.1790,-0.3885,-0.4573,-0.4844,-0.4511,-0.4767,-0.3726
2017-07-31,0.0869,-0.2104,-0.1414,-0.1673,-0.2305,-0.3036,-0.3841,-0.5463,-0.6180,-0.6023,-0.5571,-0.4867
2017-08-31,-0.0203,-0.1197,-0.1288,-0.0997,-0.2647,-0.3919,-0.4333,-0.5023,-0.6090,-0.6117,-0.5858,-0.3912
2017-09-29,0.0178,-0.0229,0.0526,0.0059,-0.0507,-0.1777,-0.2486,-0.3036,-0.3305,-0.3068,-0.3101,-0.1901
2017-10-31,-0.0119,-0.2139,-0.1753,-0.1544,-0.2810,-0.3709,-0.4845,-0.5445,-0.5707,-0.5796,-0.6135,-0.5533
2017-11-30,0.0193,-0.0291,-0.0620,-0.0745,-0.1502,-0.3302,-0.4645,-0.5000,-0.5139,-0.5202,-0.5508,-0.3765
2017-12-29,0.1738,0.0388,0.1688,0.0957,0.0125,-0.0615,-0.2568,-0.4016,-0.4165,-0.4563,-0.4668,-0.4215
2018-01-31,0.1471,0.0327,0.0462,0.1383,0.0091,-0.0632,-0.1337,-0.2294,-0.2926,-0.2558,-0.2698,-0.2093
2018-02-28,0.0729,-0.0875,-0.0465,-0.1211,-0.1576,-0.2808,-0.3589,-0.4185,-0.4671,-0.4968,-0.4681,-0.3943
2018-03-29,-0.0488,-0.2859,0.0712,0.3349,0.2992,0.2807,0.1352,0.0553,0.0521,0.0920,0.0497,0.1304
2018-04-30,0.0393,-0.1695,-0.1842,-0.1509,-0.3061,-0.4376,-0.4808,-0.5401,-0.5677,-0.5729,-0.5919,-0.5755
2018-05-31,-0.0497,-0.1319,-0.0939,-0.1233,-0.2043,-0.4020,-0.4967,-0.5306,-0.5514,-0.5569,-0.5654,-0.4770
2018-06-29,-0.0032,-0.0357,-0.0767,-0.0878,-0.2628,-0.3347,-0.4522,-0.4598,-0.4499,-0.4419,-0.4415,-0.4178
2018-07-31,0.1987,-0.0260,0.0122,-0.0485,-0.1801,-0.3135,-0.3900,-0.5091,-0.5273,-0.4623,-0.4811,-0.4267
2018-08-31,0.1372,0.1499,0.1506,0.1696,0.0474,-0.0779,-0.1842,-0.2516,-0.3449,-0.3265,-0.2709,-0.1675
2018-09-28,-0.0084,-0.1108,0.0810,0.0466,0.0182,-0.0757,-0.1476,-0.2137,-0.2509,-0.2583,-0.3377,-0.1848
2018-10-31,0.0932,-0.0541,0.0740,0.1540,-0.0454,-0.1402,-0.1500,-0.2011,-0.2091,-0.1866,-0.1742,-0.1161
2018-11-30,-0.0407,-0.0093,0.1215,0.2713,0.2311,-0.0209,-0.1739,-0.2293,-0.2563,-0.2694,-0.2967,-0.1819
