cluster,mom_1,mom_2,mom_3,mom_4,mom_5,mom_6,mom_7,mom_8,mom_9,mom_10,mom_11,mom_12,n_months,pi_bar,sharpe,sharpe_lo95,sharpe_hi95
0,0.063971,0.172371,0.127653,0.134687,0.171189,0.232442,0.271863,0.305474,0.307197,0.286511,0.269158,0.196858,38,1.0,1.4082,0.6426,2.3634
1,-0.644138,-0.672595,-0.698386,-0.758748,-0.80849,-0.777924,-0.792062,-0.804586,-0.816971,-0.81189,-0.810676,-0.833843,21,1.0,1.8103,0.8719,2.9782
