strategy,point_sharpe,ci_low,ci_high,boot_mean,boot_std
XGB,1.110004783317007,0.6733231465178651,1.5294138406215423,1.1136513063056368,0.21689777367470706
LR,-0.011917219310536999,-0.4113271310185389,0.4220743985672905,-0.0050406770143137805,0.2106297423021506
DET,0.11243594538864563,-0.3596356482437816,0.590018442839694,0.11773761435710535,0.24419874659995053
Fixed 12-mo mom,0.06495228753200069,-0.43159415334367224,0.5859503854032166,0.07369163289816374,0.2589850850357285
Fixed 1-mo mom,0.26397662610565914,-0.2050479566468373,0.7338909810295705,0.2651596717629537,0.23942810619418467
