date,hhi,dominant_rule,dominant_share
2022-11-30,0.5105631422390481,2,0.5726744186046512
2022-12-30,0.579881173428948,2,0.6998514115898959
2023-01-31,0.7247180800000002,2,0.8352
2023-02-28,0.720063989353162,0,0.8317107093184979
2023-03-31,0.5076643990929706,0,0.5619047619047619
2023-04-28,1.0,0,1.0
2023-05-31,1.0,0,1.0
2023-06-30,1.0,1,1.0
2023-07-31,1.0,1,1.0
2023-08-31,1.0,1,1.0
2023-09-29,0.5071195537038344,0,0.5596638655462185
2023-10-31,0.5216659725114535,2,0.6040816326530613
2023-11-30,0.536131344664123,2,0.6344086021505376
2023-12-29,0.5884493907026185,0,0.7102966841186736
2024-01-31,0.6558608195932267,0,0.7791601866251944
2024-02-29,0.5258417986041963,0,0.6136701337295691
2024-03-28,0.6529544581212123,0,0.7765451664025357
2024-04-30,0.5551906596260388,0,0.6661184210526315
2024-05-31,0.7050151825436057,0,0.8201680672268907
2024-06-28,0.6259671143841028,0,0.750965250965251
2024-07-31,0.5479929617223079,0,0.6549079754601227
2024-08-30,0.7011424039780522,0,0.8171296296296297
2024-09-30,0.5769092925297995,0,0.6960985626283368
2024-10-31,0.6365984695524978,0,0.7613412228796844
2024-11-29,0.6887792132384962,0,0.8072289156626506
