cluster,mom_1,mom_2,mom_3,mom_4,mom_5,mom_6,mom_7,mom_8,mom_9,mom_10,mom_11,mom_12,n_months,pi_bar,sharpe,sharpe_lo95,sharpe_hi95
0,0.178388,0.291647,0.300985,0.343783,0.44157,0.55407,0.636703,0.706314,0.6671,0.610359,0.561236,0.433374,66,0.0,0.576,-0.0956,1.3682
1,-0.202919,-0.189764,-0.21211,-0.235655,-0.210988,-0.163855,-0.13911,-0.104217,-0.134686,-0.171776,-0.181383,-0.258605,42,0.0,1.1742,0.2118,1.9136
