strategy,model,T,LB6_stat,LB6_p,LB12_stat,LB12_p,t_nw3,t_nw6,t_nw12,t_nw24
XGB,CAPM,167,8.234234080173437,0.22144012677574243,15.588543953429859,0.21081636256998845,,,,
XGB,FF3,167,9.445072481505344,0.15005109329215596,17.606245356459418,0.12817978577053254,,,,
XGB,Carhart,167,10.462813110577644,0.10646674441093522,17.195218118162003,0.14240025050871513,,,,
XGB,FF5,167,9.654628210378512,0.13997020752614014,17.71834243671019,0.12451408271585045,,,,
XGB,FF6,167,10.74238054853527,0.09667233208002325,17.506011911957444,0.13153357512359332,4.770784260261217,4.812068495344633,4.879254199260569,4.7390708702951985
D&M,CAPM,167,2.936528429744536,0.8167700127099964,5.570716758038074,0.9361592896148885,,,,
D&M,FF3,167,2.8175079951671838,0.8313782572352373,5.3145897974848335,0.9466377624668499,,,,
D&M,Carhart,167,2.8790003543069798,0.8238731992820748,5.401128522133058,0.9432229785154742,,,,
D&M,FF5,167,2.3176878774270793,0.8882873800266012,4.7859178141259315,0.9647497197512613,,,,
D&M,FF6,167,2.1756629295436447,0.9028546077897367,4.62725656735306,0.9692855729360775,,,,
WML,CAPM,167,6.155368462041001,0.40601274180846597,16.240101040497137,0.18048483994243775,,,,
WML,FF3,167,7.455803818821458,0.2807414284965969,18.18090502836825,0.110307013841612,,,,
WML,Carhart,167,6.83971438838435,0.3359251452673785,18.13330207731976,0.1117025529635368,,,,
WML,FF5,167,7.1262773226774305,0.30932695233086827,17.829467299400946,0.12096744342555456,,,,
WML,FF6,167,6.873775221982022,0.3326784011384749,17.824283800285883,0.12113096729204081,,,,
LR,CAPM,167,2.6658700480152446,0.849461874142649,18.993018722122436,0.08869706596660043,,,,
LR,FF3,167,2.3577760127179537,0.8840329019783991,18.901770231125305,0.09092675256512195,,,,
LR,Carhart,167,2.342778036676233,0.8856317001367333,19.081164879004827,0.0865884416828786,,,,
LR,FF5,167,2.7099296508287063,0.8442730483133747,17.709601752567053,0.12479671636409824,,,,
LR,FF6,167,2.7087649361084063,0.8444109284302205,17.73470462469838,0.12398644905715624,,,,
