feature,F_statistic,p_value
mom_overall,82.50452522394282,2.5821019958438803e-12
cs_mom_long,65.63066630220573,8.809428601406691e-11
cs_mom_mid,63.20188824064288,1.5274311525964305e-10
cs_mom_short,24.600536372956427,7.923498151362942e-06
cs_disp_long,13.64029788419661,0.0005321346345327119
cs_disp_mid,11.46551595073466,0.0013567586159612239
cs_disp_short,5.695123044786339,0.020686150474148852
pi_panic_freq_12mo,3.4952626270469374,0.06718002901576572
cs_skew_short,1.7089586030458757,0.19687163821618045
past_sharpe_12mo,1.3732302772859906,0.24659889186895811
cs_skew_long,1.0338363809618953,0.313966936896347
cs_skew_mid,0.6717575416254608,0.4161804371250824
pi_panic_freq_6mo,0.0018991148921679321,0.9654070364578915
