cluster,mom_1,mom_2,mom_3,mom_4,mom_5,mom_6,mom_7,mom_8,mom_9,mom_10,mom_11,mom_12,n_months,pi_bar,mean_pi_panic,sharpe,sharpe_lo95,sharpe_hi95
0,0.140509,0.25255,0.240283,0.260504,0.334672,0.423292,0.485258,0.539882,0.508911,0.461797,0.424796,0.318203,115,0.280376,0.278261,0.9285,0.2398,1.4484
1,-0.461606,-0.48729,-0.509452,-0.538104,-0.551506,-0.509529,-0.498604,-0.483367,-0.492998,-0.503844,-0.504312,-0.555425,52,0.531916,0.519231,1.4545,0.704,2.3793
